domain_identifier,control_id
IRO,IRO-09
IRO,IRO-09.2
IRO,IRO-10
IRO,IRO-10.2
IRO,IRO-10.4
IRO,IRO-10.5
IRO,IRO-12
IRO,IRO-12.3
IRO,IRO-13
IRO,IRO-16
MDM,MDM-01
MNT,MNT-01
MNT,MNT-02
MNT,MNT-03
MNT,MNT-03.1
MNT,MNT-04.3
MNT,MNT-05
MNT,MNT-05.1
MNT,MNT-05.3
MNT,MNT-05.4
MNT,MNT-05.5
MON,MON-01
MON,MON-01.1
MON,MON-01.10
MON,MON-01.12
MON,MON-01.15
MON,MON-01.16
MON,MON-01.2
MON,MON-01.3
MON,MON-01.4
MON,MON-01.5
MON,MON-01.7
MON,MON-01.8
MON,MON-02
MON,MON-02.1
MON,MON-02.2
MON,MON-02.4
MON,MON-02.7
MON,MON-02.9
MON,MON-03
MON,MON-03.2
MON,MON-03.3
MON,MON-03.7
MON,MON-05
MON,MON-07
MON,MON-07.1
MON,MON-08
MON,MON-08.1
MON,MON-08.2
MON,MON-10
MON,MON-11.1
MON,MON-11.3
MON,MON-15
MON,MON-16
MON,MON-16.1
MON,MON-16.2
MON,MON-16.3
MON,MON-16.4
MON,MON-17
NET,NET-01
NET,NET-02
NET,NET-02.2
NET,NET-03
NET,NET-03.1
NET,NET-03.3
NET,NET-03.5
NET,NET-03.7
NET,NET-03.8
NET,NET-04
NET,NET-04.1
NET,NET-04.6
NET,NET-04.7
NET,NET-05.1
NET,NET-06
NET,NET-07
NET,NET-08
NET,NET-08.1
NET,NET-08.2
NET,NET-09
NET,NET-10
NET,NET-12
NET,NET-12.1
NET,NET-12.2
NET,NET-14
NET,NET-14.2
NET,NET-14.5
NET,NET-14.6
NET,NET-14.8
NET,NET-15
NET,NET-15.1
NET,NET-15.5
NET,NET-18
OPS,OPS-01
OPS,OPS-01.1
OPS,OPS-02
OPS,OPS-03
OPS,OPS-05
PES,PES-01
PES,PES-01.1
PES,PES-01.2
PES,PES-02
PES,PES-02.1
PES,PES-03
PES,PES-03.1
PES,PES-03.2
PES,PES-03.3
PES,PES-03.4
PES,PES-04
PES,PES-04.1
PES,PES-05
PES,PES-05.1
PES,PES-05.2
PES,PES-06
PES,PES-06.1
PES,PES-06.2
PES,PES-06.3
PES,PES-06.4
PES,PES-06.5
PES,PES-06.6
PES,PES-07
PES,PES-07.3
PES,PES-07.4
PES,PES-07.5
PES,PES-08
PES,PES-09
PES,PES-10
PES,PES-12
PES,PES-12.1
PES,PES-12.2
PES,PES-18
PRI,PRI-01
PRI,PRI-01.1
PRI,PRI-01.11
PRI,PRI-01.3
PRI,PRI-01.4
PRI,PRI-01.5
PRI,PRI-01.6
PRI,PRI-02
PRI,PRI-02.1
PRI,PRI-03
PRI,PRI-03.10
PRI,PRI-03.12
PRI,PRI-03.13
PRI,PRI-03.3
PRI,PRI-03.5
PRI,PRI-03.6
PRI,PRI-03.7
PRI,PRI-03.9
PRI,PRI-04
PRI,PRI-04.1
PRI,PRI-05
PRI,PRI-05.1
PRI,PRI-05.3
PRI,PRI-05.4
PRI,PRI-05.5
PRI,PRI-05.7
PRI,PRI-06
PRI,PRI-06.1
PRI,PRI-06.2
PRI,PRI-06.3
PRI,PRI-06.4
PRI,PRI-06.5
PRI,PRI-06.6
PRI,PRI-06.7
PRI,PRI-07
PRI,PRI-07.1
PRI,PRI-07.3
PRI,PRI-07.4
PRI,PRI-07.5
PRI,PRI-08
PRI,PRI-10
PRI,PRI-12
PRI,PRI-14.1
PRI,PRI-15
PRI,PRI-17
PRI,PRI-17.3
PRI,PRI-21
PRI,PRI-21.1
PRM,PRM-01
PRM,PRM-01.1
PRM,PRM-02
PRM,PRM-03
PRM,PRM-04
PRM,PRM-05
PRM,PRM-06
PRM,PRM-07
PRM,PRM-08
RSK,RSK-01
RSK,RSK-01.1
RSK,RSK-01.2
RSK,RSK-01.3
RSK,RSK-01.4
RSK,RSK-01.5
RSK,RSK-02
RSK,RSK-02.1
RSK,RSK-03
RSK,RSK-03.1
RSK,RSK-04
RSK,RSK-04.1
RSK,RSK-04.2
RSK,RSK-05
RSK,RSK-06
RSK,RSK-06.1
RSK,RSK-06.2
RSK,RSK-07
RSK,RSK-08
RSK,RSK-09
RSK,RSK-09.1
RSK,RSK-10
RSK,RSK-11
RSK,RSK-12
SAT,SAT-01
SAT,SAT-01.1
SAT,SAT-02
SAT,SAT-02.2
SAT,SAT-03
SAT,SAT-03.2
SAT,SAT-03.3
SAT,SAT-03.5
SAT,SAT-03.6
SAT,SAT-03.7
SAT,SAT-03.8
SAT,SAT-04
SEA,SEA-01
SEA,SEA-01.1
SEA,SEA-01.2
SEA,SEA-02
SEA,SEA-02.1
SEA,SEA-02.3
SEA,SEA-03
SEA,SEA-04
SEA,SEA-04.1
SEA,SEA-07
SEA,SEA-07.1
SEA,SEA-20
TDA,TDA-01
TDA,TDA-01.1
TDA,TDA-01.2
TDA,TDA-02.1
TDA,TDA-02.11
TDA,TDA-02.3
TDA,TDA-02.5
TDA,TDA-02.6
TDA,TDA-04.2
TDA,TDA-05
TDA,TDA-05.1
TDA,TDA-06
TDA,TDA-06.1
TDA,TDA-06.2
TDA,TDA-06.3
TDA,TDA-06.5
TDA,TDA-07
TDA,TDA-08
TDA,TDA-08.1
TDA,TDA-09
TDA,TDA-09.1
TDA,TDA-09.2
TDA,TDA-09.3
TDA,TDA-09.4
TDA,TDA-09.5
TDA,TDA-10
TDA,TDA-10.1
TDA,TDA-13
TDA,TDA-14
TDA,TDA-14.1
TDA,TDA-14.2
TDA,TDA-15
TDA,TDA-17
THR,THR-01
THR,THR-02
THR,THR-03
THR,THR-04
THR,THR-05
THR,THR-06
THR,THR-07
THR,THR-09
THR,THR-10
TPM,TPM-01
TPM,TPM-01.1
TPM,TPM-02
TPM,TPM-03
TPM,TPM-03.1
TPM,TPM-03.2
TPM,TPM-03.3
TPM,TPM-04
TPM,TPM-04.1
TPM,TPM-04.2
TPM,TPM-04.3
TPM,TPM-04.4
TPM,TPM-05
TPM,TPM-05.1
TPM,TPM-05.2
TPM,TPM-05.3
TPM,TPM-05.4
TPM,TPM-05.5
TPM,TPM-05.6
TPM,TPM-05.7
TPM,TPM-05.8
TPM,TPM-06
TPM,TPM-08
TPM,TPM-09
TPM,TPM-10
TPM,TPM-11
VPM,VPM-01
VPM,VPM-01.1
VPM,VPM-02
VPM,VPM-03
VPM,VPM-03.1
VPM,VPM-04
VPM,VPM-04.3
VPM,VPM-05
VPM,VPM-05.1
VPM,VPM-05.4
VPM,VPM-05.6
VPM,VPM-05.8
VPM,VPM-06
VPM,VPM-06.1
VPM,VPM-06.2
VPM,VPM-06.6
VPM,VPM-06.7
VPM,VPM-06.8
VPM,VPM-07
VPM,VPM-07.1
WEB,WEB-01
WEB,WEB-01.1
WEB,WEB-03
WEB,WEB-06
WEB,WEB-10
WEB,WEB-13
