scf_control_id,iso_clause_id
GOV-01,7.5.1
GOV-01,7.5.1(a)
GOV-01,7.5.1(b)
GOV-01,7.5.2
GOV-01,7.5.3
GOV-01,7.5.3(a)
GOV-01,7.5.3(b)
GOV-01.1,9.2.2(c)
GOV-01.1,9.3.1
GOV-01.1,9.3.2
GOV-01.1,9.3.2(a)
GOV-01.1,9.3.2(b)
GOV-01.1,9.3.2(c)
GOV-01.1,9.3.2(d)
GOV-01.1,9.3.2(d)(1)
GOV-01.1,9.3.2(d)(2)
GOV-01.1,9.3.2(d)(3)
GOV-01.1,9.3.2(e)
GOV-01.2,5.1
GOV-01.2,9.3.3
GOV-02,5.1
GOV-02,5.2
GOV-02,5.2(a)
GOV-02,5.2(b)
GOV-02,5.2(c)
GOV-02,5.2(d)
GOV-02,7.5.1
GOV-02,7.5.1(a)
GOV-02,7.5.1(b)
GOV-02,7.5.2
GOV-02,7.5.3
GOV-02,7.5.3(a)
GOV-02,7.5.3(b)
GOV-02,A.2
GOV-02,A.2.2
GOV-02,A.2.3
GOV-03,7.5.2
GOV-03,A.2.4
GOV-04,5.3
GOV-04,5.3(a)
GOV-04,5.3(b)
GOV-04,A.3.2
GOV-04.1,5.1
GOV-04.1,A.3
GOV-04.2,5.1
GOV-04.2,A.3
GOV-05,5.1
GOV-05,9.3.2(d)
GOV-05,9.3.2(d)(1)
GOV-05,9.3.2(d)(2)
GOV-05,9.3.2(d)(3)
GOV-08,6.2
GOV-09,5.1
GOV-09,6.2
GOV-09,8.1
GOV-11,6.2
GOV-14,5.1
GOV-15,5.1
GOV-15,8.1
GOV-15.1,8.1
GOV-15.2,8.1
GOV-15.3,8.1
GOV-15.5,8.1
GOV-16.1,6.1.2(c)
GOV-16.1,6.1.2(d)
GOV-16.1,6.1.2(d)(1)
GOV-16.1,6.1.2(d)(2)
GOV-16.1,6.1.2(d)(3)
GOV-16.1,6.1.2(e)
GOV-16.1,6.1.2(e)(1)
GOV-16.1,6.1.2(e)(2)
AAT-01,4.1
AAT-01,4.2
AAT-01,4.4
AAT-01,5.1
AAT-01,7.4
AAT-01,8.1
AAT-01,8.2
AAT-01,A.2.2
AAT-01,A.4
AAT-01,A.6.2.2
AAT-01.1,4.1
AAT-01.1,4.2
AAT-01.1,8.1
AAT-01.1,A.10.4
AAT-01.1,A.5
AAT-01.1,A.5.3
AAT-01.1,A.5.4
AAT-01.1,A.5.5
AAT-01.2,7.1
AAT-01.2,A.4
AAT-01.2,A.6.1.2
AAT-01.2,A.7
AAT-01.3,4.1
AAT-02,8.2
AAT-02,A.4.4
AAT-02,A.4.5
AAT-02.1,6.1.1
AAT-02.1,8.2
AAT-02.1,A.5.3
AAT-02.1,A.5.4
AAT-02.1,A.5.5
AAT-02.2,5.1
AAT-02.2,8.1
AAT-02.2,A.6.2.2
AAT-03,4.1
AAT-03,A.10.4
AAT-03.1,4.1
AAT-03.1,4.2
AAT-03.1,A.6.2.3
AAT-04,5.1
AAT-04,6.2
AAT-04,6.2(a)
AAT-04,6.2(b)
AAT-04,6.2(c)
AAT-04,6.2(d)
AAT-04,6.2(e)
AAT-04,6.2(f)
AAT-04,6.2(g)
AAT-04,A.10.4
AAT-04,A.6.2.3
AAT-04,A.9
AAT-04,A.9.2
AAT-04,A.9.3
AAT-04,A.9.4
AAT-04.2,A.5.3
AAT-04.2,A.5.4
AAT-04.2,A.5.5
AAT-04.3,4.3
AAT-04.3,9.2.2(a)
AAT-04.3,A.4.4
AAT-04.3,A.4.5
AAT-05,7.2
AAT-07,6.1.1
AAT-07,6.1.2
AAT-07,6.1.2(a)
AAT-07,6.1.2(b)
AAT-07,6.1.2(c)
AAT-07,6.1.2(d)
AAT-07,6.1.2(d)(1)
AAT-07,6.1.2(d)(2)
AAT-07,6.1.2(d)(3)
AAT-07,6.1.2(e)
AAT-07,6.1.2(e)(1)
AAT-07,6.1.2(e)(2)
AAT-07,6.1.3
AAT-07,6.1.3(a)
AAT-07,6.1.3(b)
AAT-07,6.1.3(c)
AAT-07,6.1.3(d)
AAT-07,6.1.3(e)
AAT-07,6.1.3(f)
AAT-07,6.1.3(g)
AAT-07,6.1.4
AAT-07,8.2
AAT-07.1,8.4
AAT-07.1,A.5.3
AAT-07.1,A.5.4
AAT-07.1,A.5.5
