scf_control_id,nis2_article_id
GOV-01,Article_21
GOV-01.1,Article_21
GOV-02,Article_21
GOV-05,Article_21
GOV-15,Article_21
GOV-15.1,Article_21
GOV-15.2,Article_21
AST-01,Article_21
AST-02,Article_21
BCD-01,Article_21
BCD-11,Article_21
BCD-12,Article_21
CPL-01,Article_21
CPL-01.1,Article_21
CPL-03,Article_21
CPL-03.2,Article_21
CFG-02,Article_21
CRY-01,Article_21
HRS-01,Article_21
IAC-01,Article_21
IAC-06,Article_21
IRO-01,Article_21
IRO-01,Article_23
IRO-02,Article_21
IRO-02,Article_23
IRO-02.4,Article_23
IRO-10,Article_23
IRO-10.4,Article_23
IRO-13,Article_23
IRO-16,Article_23
IAO-04,Article_21
IAO-05,Article_21
MNT-01,Article_21
NET-01,Article_21
PRM-04,Article_21
PRM-05,Article_21
PRM-07,Article_21
RSK-01,Article_21
RSK-04,Article_21
RSK-06,Article_21
RSK-09,Article_21
SEA-01,Article_21
SAT-01,Article_21
TDA-01,Article_21
TDA-06,Article_21
TDA-15,Article_21
TPM-01,Article_21
TPM-01.1,Article_21
TPM-02,Article_21
TPM-03,Article_21
TPM-03.1,Article_21
TPM-03.2,Article_21
TPM-03.3,Article_21
TPM-04,Article_21
TPM-04.1,Article_21
TPM-04.4,Article_21
TPM-05,Article_21
TPM-05.2,Article_21
TPM-05.4,Article_21
TPM-05.5,Article_21
TPM-05.6,Article_21
TPM-05.7,Article_21
TPM-06,Article_21
TPM-08,Article_21
TPM-09,Article_21
TPM-10,Article_21
VPM-01,Article_21
VPM-02,Article_21
VPM-04,Article_21
VPM-05.1,Article_21
GOV-01,Article_1
GOV-01,Article_6
GOV-01.1,Article_1
GOV-01.2,Article_1
GOV-01.2,Article_2
GOV-01.3,Article_1
GOV-02,Article_1
GOV-02,Article_7
GOV-02,Article_9
GOV-03,Article_1
GOV-03,Article_2
GOV-03,Article_6
GOV-04,Article_1
GOV-05,Article_1
GOV-08,Article_1
GOV-09,Article_1
GOV-15,Article_6
GOV-17,Article_1
AST-01,Article_12
AST-02,Article_12
AST-02.1,Article_12
AST-04,Article_6
AST-04.1,Article_12
AST-04.3,Article_12
AST-05,Article_12
BCD-01,Article_12
BCD-01,Article_3
CHG-01,Article_6
CHG-02,Article_6
CHG-07,Article_6
CHG-07.1,Article_6
CPL-01.4,Article_2
CPL-02.1,Article_2
CPL-02.2,Article_2
CPL-03.1,Article_2
CFG-01,Article_6
CFG-02,Article_12
CFG-02,Article_6
CFG-02.1,Article_6
CFG-03,Article_6
MON-01,Article_2
MON-01,Article_3
MON-01.2,Article_3
MON-01.3,Article_3
MON-01.8,Article_3
MON-01.16,Article_2
MON-01.16,Article_3
MON-02,Article_3
MON-02.4,Article_3
MON-02.9,Article_3
MON-03,Article_3
MON-07.1,Article_3
MON-10,Article_3
MON-16.4,Article_3
MON-17,Article_3
CRY-01,Article_9
CRY-09,Article_9
CRY-09.3,Article_9
CRY-09.4,Article_9
CRY-11,Article_9
DCH-02,Article_12
DCH-02,Article_2
DCH-02.1,Article_12
DCH-07,Article_12
DCH-07.2,Article_12
DCH-12,Article_12
DCH-18,Article_1
DCH-18.2,Article_6
END-01,Article_6
END-04,Article_6
END-04.1,Article_6
HRS-01,Article_10
HRS-01.1,Article_10
HRS-02,Article_10
HRS-02.1,Article_10
HRS-03,Article_1
HRS-03,Article_10
HRS-03,Article_2
HRS-03,Article_3
HRS-03.1,Article_10
HRS-03.1,Article_8
HRS-04,Article_10
HRS-04.1,Article_10
HRS-05,Article_1
HRS-05,Article_10
HRS-05.1,Article_12
HRS-05.7,Article_1
HRS-06.1,Article_10
HRS-07,Article_10
HRS-07.1,Article_10
HRS-07.2,Article_10
HRS-09,Article_10
HRS-09,Article_12
HRS-09.1,Article_12
HRS-10,Article_10
HRS-11,Article_1
HRS-15,Article_3
IAC-07.1,Article_1
IAC-07.2,Article_10
IAC-20.4,Article_6
IAC-21,Article_6
IRO-01,Article_3
IRO-02,Article_3
IRO-02.4,Article_3
IRO-04,Article_3
IRO-04,Article_6
IRO-06,Article_3
IRO-07,Article_3
IRO-09,Article_3
IRO-09,Article_6
IRO-09.2,Article_3
IRO-10,Article_3
IRO-10.2,Article_3
IRO-13,Article_3
IAO-01,Article_6
IAO-01.1,Article_6
IAO-02,Article_6
IAO-02.4,Article_6
IAO-05,Article_6
MNT-05,Article_6
NET-01,Article_1
NET-01,Article_6
NET-04,Article_6
NET-06,Article_6
NET-08.1,Article_6
NET-10,Article_6
NET-14,Article_6
NET-18,Article_6
PRM-05,Article_6
PRM-06,Article_6
RSK-01,Article_2
RSK-01,Article_6
RSK-01,Article_7
RSK-01.1,Article_2
RSK-01.2,Article_2
RSK-01.3,Article_2
RSK-01.5,Article_2
RSK-03,Article_2
RSK-03.1,Article_2
RSK-04,Article_2
RSK-04,Article_6
RSK-04.2,Article_2
RSK-04.2,Article_6
RSK-04.2,Article_7
RSK-05,Article_2
RSK-06,Article_2
RSK-06.2,Article_6
RSK-07,Article_2
RSK-08,Article_2
RSK-11,Article_2
SEA-01,Article_6
SEA-07.1,Article_6
OPS-01.1,Article_7
OPS-01.1,Article_9
SAT-01,Article_8
SAT-01.1,Article_8
SAT-02,Article_8
SAT-03,Article_8
SAT-03.2,Article_3
SAT-03.6,Article_8
TDA-01,Article_6
TDA-02.11,Article_6
TDA-07,Article_6
TDA-09,Article_6
TDA-10,Article_6
TDA-10.1,Article_6
TDA-13,Article_10
TDA-14.1,Article_6
TPM-01,Article_6
TPM-04.1,Article_2
TPM-05,Article_1
TPM-05,Article_3
TPM-05,Article_6
TPM-05,Article_8
TPM-05.4,Article_10
TPM-05.4,Article_8
TPM-06,Article_10
THR-03,Article_6
VPM-01,Article_6
VPM-02,Article_6
VPM-04.3,Article_6
VPM-05,Article_6
VPM-05.4,Article_6
VPM-05.6,Article_6
VPM-05.8,Article_6
VPM-06,Article_6
VPM-06.1,Article_6
