framework_name,framework_version,domain_identifier
Secure Controls Framework,2025.4,AST
Secure Controls Framework,2025.4,BCD
Secure Controls Framework,2025.4,CFG
Secure Controls Framework,2025.4,CHG
Secure Controls Framework,2025.4,CLD
Secure Controls Framework,2025.4,CPL
Secure Controls Framework,2025.4,CRY
Secure Controls Framework,2025.4,DCH
Secure Controls Framework,2025.4,END
Secure Controls Framework,2025.4,GOV
Secure Controls Framework,2025.4,HRS
Secure Controls Framework,2025.4,IAC
Secure Controls Framework,2025.4,IAO
Secure Controls Framework,2025.4,IRO
Secure Controls Framework,2025.4,MNT
Secure Controls Framework,2025.4,MON
Secure Controls Framework,2025.4,NET
Secure Controls Framework,2025.4,OPS
Secure Controls Framework,2025.4,PES
Secure Controls Framework,2025.4,PRI
Secure Controls Framework,2025.4,PRM
Secure Controls Framework,2025.4,RSK
Secure Controls Framework,2025.4,SAT
Secure Controls Framework,2025.4,SEA
Secure Controls Framework,2025.4,TDA
Secure Controls Framework,2025.4,THR
Secure Controls Framework,2025.4,TPM
Secure Controls Framework,2025.4,VPM
Secure Controls Framework,2025.4,WEB
