scf_control_id,nerc_cip_requirement_id
GOV-01,CIP-003-R1
GOV-03,CIP-003-R1
AST-01,CIP-003-R1
AST-01,CIP-003-R2
AST-01,CIP-011-R1
AST-01.1,CIP-011-R1
AST-02,CIP-011-R1
BCD-01,CIP-003-R1
BCD-01,CIP-009-R1
BCD-01,CIP-009-R2
BCD-01.5,CIP-009-R1
BCD-04,CIP-009-R2
BCD-11,CIP-009-R1
BCD-11.1,CIP-009-R1
BCD-11.1,CIP-009-R2
CHG-01,CIP-003-R1
CHG-02.2,CIP-010-R1
CPL-01,CIP-003-R1
CFG-01,CIP-003-R1
CFG-01,CIP-010-R1
CFG-02,CIP-010-R1
CFG-02,CIP-010-R2
CFG-02.1,CIP-010-R1
CFG-02.1,CIP-010-R2
CFG-02.7,CIP-010-R1
CFG-02.9,CIP-010-R1
CFG-03,CIP-007-R1
MON-10,CIP-006-R1
MON-10,CIP-006-R2
MON-16.3,CIP-006-R1
CRY-01,CIP-006-R1
DCH-01,CIP-003-R1
DCH-01,CIP-011-R1
DCH-18,CIP-006-R1
END-01,CIP-011-R1
END-04,CIP-007-R3
END-04.4,CIP-007-R3
END-12,CIP-007-R1
END-14.5,CIP-007-R3
HRS-01,CIP-003-R1
HRS-03,CIP-008-R1
HRS-03,CIP-009-R1
HRS-03.1,CIP-004-R2
IAC-01,CIP-003-R1
IAC-04,CIP-005-R1
IAC-06,CIP-005-R2
IAC-20.6,CIP-013-R1
IAC-25,CIP-005-R2
IAC-25,CIP-005-R3
IRO-01,CIP-003-R1
IRO-01,CIP-008-R1
IRO-02,CIP-008-R1
IRO-02.4,CIP-008-R1
IRO-03,CIP-008-R1
IRO-04,CIP-008-R1
IRO-04,CIP-008-R2
IRO-06,CIP-008-R2
IRO-07,CIP-008-R1
IRO-08,CIP-008-R2
IRO-08,CIP-009-R1
IRO-09,CIP-008-R2
IRO-10.4,CIP-013-R1
IAO-05,CIP-007-R2
MNT-05.5,CIP-005-R3
NET-01,CIP-003-R1
NET-01,CIP-005-R1
NET-03,CIP-005-R1
NET-04,CIP-005-R1
NET-08,CIP-005-R1
NET-14,CIP-005-R2
NET-14.2,CIP-005-R2
NET-14.6,CIP-005-R2
NET-14.6,CIP-005-R3
NET-14.8,CIP-005-R2
NET-14.8,CIP-005-R3
PES-01,CIP-003-R1
PES-01.1,CIP-006-R1
PES-01.2,CIP-006-R1
PES-02.1,CIP-006-R1
PES-03,CIP-006-R1
PES-03.1,CIP-006-R1
PES-03.3,CIP-006-R1
PES-05,CIP-006-R1
PES-05.1,CIP-006-R1
PES-06,CIP-006-R1
PES-06,CIP-006-R2
PES-06.2,CIP-006-R2
PES-06.3,CIP-006-R1
PES-06.3,CIP-006-R2
PES-12,CIP-006-R1
PES-12.1,CIP-006-R1
RSK-01,CIP-013-R1
RSK-02.1,CIP-002-R1
RSK-09,CIP-013-R1
RSK-09,CIP-013-R2
SEA-01,CIP-003-R1
OPS-01.1,CIP-006-R1
SAT-01,CIP-003-R1
SAT-02,CIP-004-R1
SAT-02,CIP-004-R2
SAT-03,CIP-004-R2
TDA-02.11,CIP-013-R1
TPM-03,CIP-013-R1
TPM-05.1,CIP-013-R1
TPM-11,CIP-013-R1
VPM-01,CIP-003-R1
VPM-01,CIP-007-R1
VPM-01,CIP-007-R2
VPM-02,CIP-007-R2
VPM-05,CIP-007-R1
VPM-05,CIP-007-R2
VPM-06,CIP-010-R3
