scf_control_id,nist_ai_rmf_id
GOV-01.1,GV.GV-02
GOV-01.2,GV.GV-02
GOV-02,GV.ST-01
GOV-02,GV.ST-03
GOV-02,GV.GV-02
GOV-04,GV.ST-01
GOV-04,GV.GV-01
GOV-04,GV.GV-02
GOV-04,GV.GV-04
GOV-04.1,GV.ST-01
GOV-04.1,MP.AI-03
GOV-04.1,GV.GV-01
GOV-04.1,GV.GV-04
GOV-04.1,MG.IR-01
GOV-04.2,GV.ST-01
GOV-04.2,GV.GV-01
GOV-05,GV.MT-03
GOV-05,GV.GV-02
GOV-05,MEASURE 1.0
GOV-05,MEASURE 1.1
GOV-05,MEASURE 1.2
GOV-05,MEASURE 4.0
GOV-05,MEASURE 4.3
GOV-05.1,MEASURE 4.1
GOV-05.1,MEASURE 4.3
GOV-05.2,MEASURE 4.1
GOV-05.2,MEASURE 4.3
GOV-08,MG.IR-02
GOV-14,GOVERN 4.0
GOV-15,GOVERN 4.0
AAT-01,GV.ST-01
AAT-01,GV.GV-01
AAT-01,GV.GV-02
AAT-01.1,GV.ST-01
AAT-01.2,GV.ST-03
AAT-01.3,MANAGE 2.2
AAT-02,GV.RM-01
AAT-02.1,MP.RK-01
AAT-02.2,MAP 4.2
AAT-03,MG.IR-01
AAT-03.1,MG.IR-02
AAT-03.1,MG.IR-01
AAT-04,MG.IR-01
AAT-04,MP.BC-01
AAT-04.1,MP.BC-01
AAT-04.2,MP.BC-01
AAT-04.3,MAP 3.3
AAT-04.4,MAP 4.0
AAT-06,MP.IM-01
AAT-07,MS.AA-02
AAT-07.1,MS.AA-04
AAT-07.2,MS.AA-04
AAT-07.3,MP.AI-01
AAT-08,GV.GV-01
AAT-08,GV.ST-01
AAT-08,GV.MS-01
AAT-09,GV.ST-01
AAT-10,MS.IN-03
AAT-10.1,MS.AA-06
AAT-10.2,MAP 2.3
AAT-10.2,MEASURE 2.1
AAT-10.3,MS.AA-06
AAT-10.4,MEASURE 2.6
AAT-10.5,MP.AI-05
AAT-10.6,MEASURE 2.8
AAT-10.7,MEASURE 2.10
AAT-10.8,MEASURE 2.11
AAT-10.9,GV.ST-03
AAT-10.9,MEASURE 2.9
AAT-10.10,MS.AA-01
AAT-10.10,MEASURE 2.13
AAT-10.11,MEASURE 2.13
AAT-10.12,MEASURE 2.3
AAT-10.13,MANAGE 4.1
AAT-10.13,MEASURE 2.4
AAT-10.13,MEASURE 2.6
AAT-10.14,MANAGE 4.2
AAT-11,GV.GV-04
AAT-11,GV.GV-02
AAT-11.1,GV.ST-01
AAT-11.1,GOVERN 5.2
AAT-11.1,MANAGE 4.1
AAT-11.2,MANAGE 4.1
AAT-11.2,MEASURE 1.3
AAT-11.2,MEASURE 2.6
AAT-11.3,MANAGE 4.1
AAT-11.3,MEASURE 3.3
AAT-11.4,MANAGE 4.3
AAT-12,GV.ST-01
AAT-13,GV.MS-01
AAT-13.1,MAP 3.4
AAT-14,GV.GV-01
AAT-14.1,MAP 2.1
AAT-14.2,MAP 2.2
AAT-15,MS.AA-01
AAT-15.1,MS.AA-01
AAT-15.1,MANAGE 1.2
AAT-15.1,MANAGE 1.4
AAT-15.2,MS.AA-01
AAT-15.2,MANAGE 1.2
AAT-15.2,MG.IR-01
AAT-16,MEASURE 2.4
AAT-16.1,MEASURE 4.1
AAT-16.2,MEASURE 1.0
AAT-16.2,MEASURE 1.1
AAT-16.2,MEASURE 1.2
AAT-16.2,MEASURE 3.0
AAT-16.3,MEASURE 1.1
AAT-16.4,MEASURE 4.0
AAT-16.5,MEASURE 4.2
AAT-16.6,MEASURE 4.3
AAT-16.7,MANAGE 3.2
AAT-17,MS.IN-03
AAT-17,MEASURE 3.1
AAT-17.1,MS.IN-03
AAT-17.2,MEASURE 2.12
AAT-17.3,MG.IR-01
AAT-18,MEASURE 3.2
AAT-18.1,GV.RM-01
AST-01,MP.AI-03
AST-01.2,GV.ST-01
AST-01.2,MP.AI-03
AST-01.2,GV.GV-04
AST-02,GV.RM-01
AST-09,GOVERN 1.7
AST-30,GOVERN 1.7
AST-31,MAP 2.0
AST-31.1,MAP 2.0
BCD-01,MG.IR-01
BCD-02,GV.RM-01
BCD-16,MG.IR-01
CHG-05,GV.GV-04
CPL-01,GV.ST-01
CPL-01.2,GV.ST-01
CPL-01.2,MAP 3.3
CPL-02,GV.MT-03
CPL-03,GV.MT-03
CPL-04,GV.MT-03
DCH-02,GV.RM-01
HRS-01,GV.ST-01
HRS-03,MP.AI-03
HRS-03,GV.GV-01
HRS-03.1,GV.ST-01
HRS-03.2,GV.ST-01
HRS-03.2,GV.MS-01
HRS-03.2,MAP 3.4
HRS-04.1,MP.AI-03
HRS-04.1,GV.ST-01
HRS-05.1,MP.AI-03
HRS-05.1,GV.ST-01
HRS-05.4,MP.AI-03
HRS-05.4,GV.ST-01
IRO-01,MG.IR-01
IRO-02,MG.IR-01
IRO-02.4,MG.IR-01
IRO-04,MG.IR-01
IRO-04,MANAGE 4.0
IRO-10,MANAGE 4.3
IAO-01,MS.IN-03
IAO-01,MS.AA-01
IAO-02,MS.AA-06
IAO-02.2,MAP 2.3
IAO-02.2,MEASURE 3.1
IAO-02.2,MEASURE 3.2
IAO-03,MANAGE 4.0
IAO-05,MS.AA-01
IAO-05,MANAGE 1.2
IAO-05,MANAGE 1.3
IAO-05,MANAGE 1.4
IAO-05,MANAGE 3.1
IAO-05,MANAGE 4.0
IAO-05,MEASURE 3.0
IAO-05,MEASURE 3.1
IAO-05,MEASURE 3.2
IAO-06,MS.AA-06
IAO-07,MS.AA-01
PRI-01,GV.GV-01
PRI-05.4,GV.GV-01
PRM-01,MANAGE 2.1
PRM-01,MANAGE 2.2
PRM-01.1,MG.IR-02
PRM-02,MANAGE 2.1
PRM-03,MANAGE 2.1
PRM-05,GV.GV-01
PRM-06,MG.IR-01
PRM-06,MAP 2.1
PRM-07,GOVERN 1.7
PRM-07,MANAGE 2.2
RSK-01,GV.ST-01
RSK-01,GV.MT-03
RSK-01,GV.RM-01
RSK-01.1,GV.ST-01
RSK-01.2,GV.ST-01
RSK-01.2,MANAGE 2.1
RSK-01.3,GV.ST-01
RSK-01.3,MAP 1.5
RSK-01.3,MP.BC-01
RSK-02.1,MANAGE 1.2
RSK-02.1,MS.AA-04
RSK-03,GV.RM-01
RSK-03,MG.IR-01
RSK-04,GV.MT-03
RSK-04,GV.RM-01
RSK-04.1,GV.MT-03
RSK-04.1,MANAGE 1.4
RSK-04.1,MEASURE 3.0
RSK-04.1,MEASURE 3.1
RSK-04.1,MEASURE 3.2
RSK-05,MANAGE 1.2
RSK-06,MANAGE 1.2
RSK-06,MANAGE 4.0
RSK-06.1,MANAGE 1.3
RSK-06.1,MG.IR-01
RSK-06.1,MANAGE 4.0
RSK-06.2,MANAGE 2.1
RSK-08,GV.MT-03
RSK-08,MG.IR-01
RSK-08,MS.AA-04
RSK-09,GV.MS-02
RSK-09.1,MANAGE 3.1
RSK-09.2,GV.ST-01
RSK-09.2,GV.MS-02
RSK-09.2,MANAGE 3.1
RSK-10,MG.IR-01
RSK-10,MEASURE 2.10
RSK-12,GOVERN 4.0
SEA-01,GV.ST-03
SEA-01.1,GV.ST-03
SEA-01.2,MP.AI-05
SEA-02.3,GOVERN 1.7
OPS-01,GV.ST-03
OPS-01,GV.ST-01
OPS-01,GV.GV-02
OPS-01.1,GV.ST-01
OPS-01.1,GV.ST-03
OPS-01.1,GV.GV-02
SAT-01,MP.AI-03
SAT-01,GV.ST-01
SAT-03,MP.AI-03
SAT-03,GOVERN 2.2
SAT-03.5,GOVERN 2.2
SAT-03.6,GOVERN 2.2
TDA-01,GV.ST-03
TDA-01,MS.AA-02
TDA-01,GV.ST-01
TDA-01,MP.AI-01
TDA-01.1,GV.ST-03
TDA-01.1,MS.AA-02
TDA-01.1,GV.ST-01
TDA-01.1,GOVERN 5.2
TDA-01.1,MP.AI-01
TDA-01.1,MANAGE 2.2
TDA-01.1,MAP 2.1
TDA-02.3,GV.ST-01
TDA-04,GV.ST-01
TDA-05,GV.ST-01
TDA-17,GOVERN 1.7
TPM-01,GV.MS-02
TPM-04.1,MANAGE 3.1
TPM-08,GV.MS-02
TPM-08,MANAGE 3.1
