scf_control_id,gdpr_article_id
GOV-02,ART-024
BCD-01,ART-032
CPL-01.2,ART-003
CPL-01.3,ART-005
CPL-01.3,ART-012
CPL-01.3,ART-030
CPL-01.3,ART-031
CPL-02,ART-032
CPL-02.2,ART-032
CRY-01,ART-032
DCH-25,ART-044
DCH-25,ART-045
DCH-25,ART-046
DCH-25,ART-049
HRS-02,ART-032
HRS-03,ART-032
IAC-08,ART-032
IRO-04.1,ART-033
IRO-09,ART-033
IRO-10,ART-034
IRO-10.2,ART-033
PRI-01,ART-012
PRI-01,ART-005
PRI-01,ART-009
PRI-01.4,ART-027
PRI-01.4,ART-035
PRI-01.4,ART-037
PRI-01.4,ART-038
PRI-01.4,ART-039
PRI-01.5,ART-045
PRI-01.5,ART-046
PRI-01.6,ART-024
PRI-01.6,ART-025
PRI-01.6,ART-032
PRI-01.6,ART-005
PRI-02,ART-012
PRI-02,ART-013
PRI-02,ART-014
PRI-02.1,ART-013
PRI-02.1,ART-014
PRI-03,ART-021
PRI-03,ART-007
PRI-03,ART-009
PRI-03.4,ART-007
PRI-03.6,ART-008
PRI-03.9,ART-018
PRI-03.11,ART-018
PRI-03.11,ART-019
PRI-04,ART-005
PRI-04,ART-008
PRI-04.1,ART-010
PRI-04.1,ART-009
PRI-05,ART-005
PRI-05.2,ART-005
PRI-05.7,ART-013
PRI-05.7,ART-014
PRI-05.8,ART-005
PRI-06,ART-012
PRI-06,ART-015
PRI-06,ART-016
PRI-06,ART-017
PRI-06,ART-018
PRI-06.4,ART-012
PRI-06.5,ART-017
PRI-06.6,ART-020
PRI-06.7,ART-020
PRI-07.1,ART-028
PRI-07.1,ART-029
PRI-07.1,ART-046
PRI-14,ART-030
RSK-01,ART-032
RSK-10,ART-035
RSK-10,ART-036
SEA-02.1,ART-004
