scf_control_id,nist_pmf_id
GOV-01,GV-PM-P1
GOV-02,GV-PM-P1
GOV-02,GV-PM-P4
GOV-03,GV-RM-P1
GOV-04,ID-IM-P3
GOV-04,GV-AT-P2
GOV-05,GV-PM-P4
GOV-05,GV-MT-P2
GOV-05,PR.PO-P6
GOV-08,ID.IM-P5
GOV-08,CM-AW-P3
GOV-08,GV-RM-P2
AST-01,ID-IM-P1
AST-01.1,ID-IM-P2
AST-01.2,ID-IM-P3
AST-01.2,ID-IM-P2
AST-02,ID-IM-P1
AST-02.1,ID-IM-P1
AST-02.8,ID-IM-P1
AST-02.8,ID.IM-P4
AST-02.8,ID.IM-P5
AST-02.8,ID-IM-P2
AST-03,ID-IM-P3
AST-03.1,ID-IM-P3
AST-04,ID-IM-P1
BCD-01,CM-BC-P1
BCD-02,GV-MT-P6
BCD-04,PR.PO-P8
BCD-04.1,PR.PO-P8
BCD-11,PR.PO-P3
BCD-11.1,CT-DP-P4
BCD-12.2,PR.PT-P4
CAP-01,GV-PM-P5
CAP-03,GV-PM-P5
CHG-01,PR.PO-P2
CHG-02,PR.PO-P2
CPL-01,GV-PM-P6
CPL-01,GV-PM-P4
CPL-02,GV-PM-P4
CPL-02,GV-MT-P2
CPL-03,ID.DE-P5
CPL-03.2,GV-MT-P2
CFG-01,CT-PO-P1
CFG-02,CT-PO-P1
CFG-03,PR.PT-P2
MON-01,CT-PO-P1
MON-01.7,CT-DP-P4
MON-02.2,CT-PO-P1
CRY-01,CT-DP-P1
CRY-03,CT-DP-P1
CRY-04,CT-DP-P4
CRY-05,CT-DP-P1
CRY-05.1,CT-DP-P1
CRY-05.2,CT-DP-P1
CRY-06,CT-DP-P1
DCH-01,GV-PM-P1
DCH-04.1,CT-DM-P7
DCH-05,CT-DM-P7
DCH-05.1,CT-DM-P7
DCH-05.6,CT.DP-P1
DCH-05.6,CT.DP-P2
DCH-05.6,CT.DP-P3
DCH-05.6,CT-DM-P8
DCH-05.6,CT.DP-P5
DCH-05.8,CT.DP-P1
DCH-05.8,CT.DP-P2
DCH-05.8,CT.DP-P3
DCH-05.8,CT-DM-P8
DCH-05.8,CT.DP-P5
DCH-05.9,CT-DM-P7
DCH-06.2,ID-IM-P1
DCH-08,CT-DM-P5
DCH-09.3,CT-DM-P5
DCH-12,PR.PT-P1
DCH-21,CT-DM-P5
DCH-22.1,CT.DM-P3
END-06,CT-DP-P4
END-06,PR.DS-P8
END-06.1,CT-DP-P4
END-06.1,PR.DS-P8
END-06.2,CT-DP-P4
END-06.2,PR.DS-P8
END-06.3,CT-DP-P4
END-06.3,PR.DS-P8
END-06.4,CT-DP-P4
END-06.4,PR.DS-P8
HRS-01,GV-PM-P7
HRS-03,ID-IM-P3
HRS-03,GV-AT-P2
HRS-03.1,GV-AT-P2
HRS-04.1,ID-IM-P3
HRS-04.1,GV-AT-P2
HRS-05.4,GV-MT-P6
HRS-11,PR.AC-P4
HRS-12,ID-IM-P3
IAC-01,CT-PO-P1
IAC-02,CT-PO-P1
IAC-02,CT-PO-P2
IAC-03,CT-PO-P1
IAC-04,CT-PO-P2
IAC-05,CT-PO-P1
IAC-07.1,ID-IM-P3
IAC-09.6,CT.DP-P1
IAC-09.6,CT.DP-P2
IAC-09.6,CT.DP-P3
IAC-09.6,CT-DM-P8
IAC-09.6,CT.DP-P5
IAC-21,PR.AC-P4
IRO-02,GV-PM-P4
IRO-04,CM-BC-P1
IRO-04.1,GV-PM-P4
IRO-06,PR.PO-P8
IRO-06.1,PR.PO-P8
IRO-12,PR.DS-P5
IRO-13,GV-PM-P4
IAO-03,GV-MT-P6
IAO-03,ID-IM-P2
IAO-03,GV-PM-P4
IAO-03.2,ID.DE-P3
MNT-01,PR.MA-P1
MNT-05,PR.MA-P2
NET-01,CT-PO-P1
NET-02,CT-DP-P4
NET-02,CT-PO-P1
NET-06,CT-DP-P4
NET-14,PR.AC-P3
NET-14.2,CT-DP-P4
PES-01,CT-PO-P1
PES-01,GV-PM-P4
PES-03,CT-PO-P1
PES-03.1,CT-PO-P1
PES-03.2,CT-PO-P1
PES-03.4,CT-PO-P1
PES-04,CT-PO-P1
PES-04.1,CT-PO-P1
PES-06,CT-PO-P1
PES-06.3,CT-PO-P1
PES-13,PR.DS-P5
PRI-01,GV-PM-P1
PRI-01,GV-PM-P6
PRI-01,GV-PM-P4
PRI-01,GV-PM-P7
PRI-01.1,GV-PM-P6
PRI-01.2,GV-PM-P4
PRI-01.2,GV-AT-P1
PRI-01.3,GV-PM-P1
PRI-01.3,GV-PM-P4
PRI-01.3,GV-AT-P1
PRI-01.4,GV-PM-P6
PRI-01.4,GV-PM-P4
PRI-01.4,GV-AT-P2
PRI-02,GV-PM-P4
PRI-02,GV-AT-P1
PRI-02.1,GV-PM-P4
PRI-02.2,CT-DM-P7
PRI-03,GV-PM-P4
PRI-03.1,GV-PM-P4
PRI-03.2,GV-PM-P4
PRI-03.3,GV-PM-P4
PRI-04.1,CT-DM-P8
PRI-05,CT-DM-P5
PRI-05.1,GV-PM-P4
PRI-05.2,CT-DP-P4
PRI-05.4,CT-PO-P1
PRI-05.4,CT-DM-P8
PRI-05.4,GV-PM-P4
PRI-05.5,ID-IM-P1
PRI-05.6,ID-IM-P1
PRI-06,CT-PO-P1
PRI-06.1,CM.AW-P8
PRI-06.1,CT.DM-P3
PRI-06.2,GV-AT-P1
PRI-06.2,GV-PM-P4
PRI-06.2,CT-PO-P1
PRI-06.3,CM.AW-P8
PRI-06.4,GV-PM-P4
PRI-06.4,GV-PM-P1
PRI-06.4,CT-PO-P1
PRI-06.5,CT.DM-P4
PRI-06.6,CT-PO-P1
PRI-06.6,CT.DM-P2
PRI-06.6,CT.DM-P6
PRI-06.7,CT.DM-P2
PRI-06.7,CT.DM-P6
PRI-07,GV-PM-P4
PRI-07.1,ID.DE-P3
PRI-07.2,CM-AW-P3
PRI-07.3,CM.AW-P5
PRI-07.3,CM.AW-P7
PRI-07.4,CT-PO-P1
PRI-07.5,CT-PO-P1
PRI-09,CT-PO-P2
PRI-09,GV-MT-P6
PRI-10,CT-PO-P1
PRI-10.2,ID.RA-P2
PRI-11,CT-DM-P7
PRI-12,CT.DM-P3
PRI-13,CT-PO-P1
PRI-14,CT-PO-P2
PRI-14,GV-MT-P6
PRI-14,CM.AW-P7
PRI-14.1,CT-PO-P2
PRM-04,CT-PO-P1
PRM-04,GV-PM-P4
PRM-04,CT.DM-P2
PRM-04,CT.DM-P3
PRM-04,CT.DM-P4
PRM-04,CT-DM-P5
PRM-04,CT.DM-P6
PRM-04,CT-DM-P7
PRM-04,CT.DM-P9
PRM-04,CT.DM-P10
PRM-05,GV-PM-P4
PRM-05,CT.DM-P9
PRM-05,CT.DM-P10
PRM-06,ID.IM-P5
PRM-06,GV-PM-P4
PRM-06,CT.DM-P9
PRM-06,CT.DM-P10
PRM-07,CT-PO-P1
PRM-07,GV-PM-P4
PRM-07,CT-DM-P7
PRM-08,GV-PM-P4
PRM-08,CT-DM-P7
PRM-08,CT-PO-P1
RSK-01,GV-RM-P1
RSK-01,GV-PM-P1
RSK-01.1,GV-RM-P1
RSK-01.1,GV-RM-P2
RSK-03,GV-RM-P1
RSK-04,GV-RM-P1
RSK-04,ID.DE-P5
RSK-04,GV.MT-P1
RSK-04.1,GV-RM-P1
RSK-05,GV-RM-P1
RSK-06,GV-RM-P1
RSK-06,ID.RA-P5
RSK-06.1,GV-RM-P1
RSK-06.1,ID.RA-P5
RSK-07,ID.DE-P5
RSK-07,GV.MT-P1
RSK-09,ID.DE-P2
RSK-09,ID.DE-P3
RSK-09.1,ID.DE-P5
RSK-09.1,GV.MT-P1
RSK-10,GV-MT-P6
RSK-10,ID.RA-P1
RSK-10,ID.RA-P2
RSK-10,ID.RA-P3
RSK-10,ID.RA-P4
RSK-10,ID.RA-P5
RSK-10,ID.DE-P2
RSK-10,ID.DE-P3
RSK-10,GV-PM-P1
RSK-10,GV.MT-P1
RSK-10,GV-PM-P4
SEA-01,CT-PO-P1
SEA-01,GV-AT-P2
SEA-01,GV-PM-P4
SEA-01,CT-DM-P7
SEA-01.1,GV-AT-P2
SEA-02,GV-AT-P2
SEA-02.1,GV-AT-P2
SEA-09.1,CT-DM-P8
OPS-01.1,GV-PM-P4
OPS-01.1,GV-AT-P1
OPS-02,CM-AW-P3
OPS-02,GV-MT-P6
OPS-02,GV-PM-P4
OPS-03,ID.IM-P5
SAT-01,GV-AT-P2
SAT-02,GV-AT-P2
SAT-03,GV-AT-P2
TDA-01.2,CT-DP-P4
TDA-02.3,CT.DM-P9
TDA-02.3,CT.DM-P10
TDA-06,GV-PM-P4
TDA-06,CT-DM-P7
TDA-06,CT-PO-P1
TDA-06,CT.DM-P9
TDA-06,CT.DM-P10
TDA-06.1,GV-MT-P6
TDA-07,PR.DS-P7
TDA-08,PR.DS-P7
TDA-09,CT.DM-P9
TDA-09,CT.DM-P10
TDA-10.1,CT-DP-P4
TDA-14.1,CT-DP-P4
TPM-01,GV-PM-P12
TPM-02,GV-MT-P6
TPM-04.1,ID.DE-P5
TPM-05,ID.DE-P3
TPM-05,GV-PM-P12
TPM-05,GV-AT-P2
TPM-06,ID-IM-P3
TPM-06,GV-PM-P12
TPM-06,GV-AT-P2
VPM-01,CT-PO-P1
WEB-06,CT-PO-P1
