scf_control_id,pci_dss_v4_req_id
THR-06,6.3.1
VPM-01,6.3
VPM-01,6.3.1
VPM-01,6.3.3
VPM-01,11.3
VPM-01.1,6.3.1
VPM-01.1,6.3.2
VPM-01.1,11.3.1
VPM-01.1,11.3.1.1
VPM-01.1,11.3.1.2
VPM-01.1,11.3.1.3
VPM-01.1,11.3.2
VPM-01.1,11.3.2.1
VPM-02,11.3
VPM-02,11.3.1
VPM-02,11.3.1.1
VPM-02,11.3.1.2
VPM-02,11.3.1.3
VPM-02,11.3.2
VPM-02,11.3.2.1
VPM-03,6.3.1
VPM-03,11.3
VPM-04,6.3.3
VPM-04,11.3
VPM-05,6.3.3
VPM-05.1,6.3
VPM-05.1,6.3.1
VPM-05.1,6.3.2
VPM-05.1,6.3.3
VPM-05.1,6.4
VPM-05.1,6.4.1
VPM-05.1,6.4.2
VPM-05.1,6.4.3
VPM-06,6.4.1
VPM-06,11.3
VPM-06,11.3.1
VPM-06,11.3.1.1
VPM-06,11.3.1.2
VPM-06,11.3.1.3
VPM-06,11.3.2
VPM-06,11.3.2.1
VPM-06.1,11.3.1
VPM-06.2,11.3.1
VPM-06.2,11.3.2.1
VPM-06.6,6.4.1
VPM-06.6,11.3.2
VPM-06.6,11.3.2.1
VPM-06.7,11.3.1
VPM-06.7,11.3.1.2
VPM-06.7,11.3.1.3
VPM-06.8,1.4.5
VPM-07,11.4
VPM-07,11.4.1
VPM-07,11.4.2
VPM-07,11.4.3
VPM-07,11.4.4
VPM-07,11.4.5
VPM-07,11.4.6
VPM-07,11.4.7
VPM-07,A3.2.4
VPM-07.1,11.4.1
VPM-07.1,11.4.2
VPM-07.1,11.4.3
VPM-07.1,11.4.5
VPM-07.1,11.4.6
WEB-01,6.4
WEB-01,6.4.1
WEB-01,6.4.2
WEB-01.1,6.4.3
WEB-03,6.4
WEB-03,6.4.1
WEB-03,6.4.2
WEB-06,8.3.10
WEB-10,A2.1
WEB-10,A2.1.1
WEB-10,A2.1.2
WEB-13,11.6
WEB-13,11.6.1
