scf_control_id,pci_dss_v4_req_id
MON-01.4,10.4.1
MON-01.4,10.4.1.1
MON-01.4,10.4.3
MON-01.4,10.7
MON-01.4,10.7.1
MON-01.4,10.7.2
MON-01.4,10.7.3
MON-01.5,11.2
MON-01.7,10.3.4
MON-01.7,10.4
MON-01.7,11.5
MON-01.7,11.5.2
MON-01.7,11.6.1
MON-01.8,10.4
MON-01.8,10.4.1
MON-01.8,10.4.1.1
MON-01.8,10.4.2
MON-01.8,10.4.2.1
MON-01.8,10.4.3
MON-01.8,12.4.2
MON-01.10,3.1
MON-01.16,10.1
MON-01.16,10.4.3
MON-01.16,10.7
MON-01.16,10.7.1
MON-01.16,10.7.2
MON-01.16,10.7.3
MON-02,10.3.3
MON-02,10.4
MON-02,10.4.1
MON-02,10.4.1.1
MON-02.1,10.4.1.1
MON-02.1,12.10.5
MON-02.2,10.3.3
MON-02.2,10.4
MON-02.2,10.4.1
MON-02.2,10.4.1.1
MON-02.7,10.6
MON-02.7,10.6.1
MON-02.7,10.6.2
MON-02.7,10.6.3
MON-03,10.2
MON-03,10.2.1
MON-03,10.2.1.1
MON-03,10.2.1.2
MON-03,10.2.1.3
MON-03,10.2.1.4
MON-03,10.2.1.5
MON-03,10.2.1.6
MON-03,10.2.1.7
MON-03,10.2.2
MON-03,6.4.2
MON-03.2,10.2
MON-03.2,10.2.1
MON-03.2,10.2.1.1
MON-03.2,10.2.1.2
MON-03.2,10.2.1.3
MON-03.2,10.2.1.4
MON-03.2,10.2.1.5
MON-03.2,10.2.1.6
MON-03.2,10.2.1.7
MON-03.2,10.2.2
MON-03.3,10.2.1.1
MON-03.3,10.2.1.2
MON-03.3,10.2.1.3
MON-03.3,10.2.1.4
MON-03.3,10.2.1.5
MON-03.3,10.2.1.6
MON-03.3,10.2.1.7
MON-03.7,7.2.6
MON-07,10.2
MON-07,10.6
MON-07,10.6.1
MON-07,10.6.2
MON-07,10.6.3
MON-07.1,10.6
MON-07.1,10.6.1
MON-07.1,10.6.2
MON-07.1,10.6.3
MON-08,10.3
MON-08,10.3.1
MON-08,10.3.2
MON-08.1,10.3.3
MON-08.2,10.3
MON-08.2,10.3.1
MON-08.2,10.3.2
MON-10,10.5
MON-10,10.5.1
MON-11.1,11.5.1.1
MON-15,11.5.1.1
MON-16,3.1
CRY-01,2.2.7
CRY-01,3.3.2
CRY-01,8.3.2
CRY-01,12.3.3
CRY-01.5,12.3.3
CRY-02,2.2.7
CRY-02,3.6.1.1
CRY-02,3.6.1.2
CRY-03,4.2
CRY-03,4.2.1
CRY-03,4.2.1.2
CRY-03,8.3.2
CRY-03,A2.1
CRY-03,A2.1.1
CRY-03,A2.1.2
CRY-04,3.7.5
CRY-05,3.3.2
CRY-05,3.5
CRY-05,3.5.1.2
CRY-05,3.5.1.3
CRY-05,8.3.2
CRY-05,9.4
CRY-05.1,9.4
CRY-06,2.2.7
CRY-07,2.3.1
CRY-07,2.3.2
CRY-07,4.2.1.2
CRY-08.1,3.6.1
CRY-09,3.5.1.1
CRY-09,3.6
CRY-09,3.6.1
CRY-09,3.6.1.1
CRY-09,3.6.1.2
CRY-09,3.6.1.3
CRY-09,3.6.1.4
CRY-09,3.7
CRY-09,3.7.1
CRY-09,3.7.2
CRY-09,3.7.3
CRY-09,3.7.4
CRY-09,3.7.5
CRY-09,3.7.6
CRY-09,3.7.7
CRY-09,4.2.1.1
CRY-09.3,2.3.2
CRY-09.3,3.6.1
CRY-09.3,3.7.5
CRY-09.4,3.6.1
CRY-09.6,3.7.9
DCH-01,9.4
DCH-01,9.4.1
DCH-01.1,9.4.1
DCH-01.2,3.5
DCH-01.2,3.5.1
DCH-02,9.4.2
DCH-03.1,7.1
DCH-03.2,3.4.1
DCH-06,9.1
DCH-06,9.4
DCH-06,9.4.1
DCH-06,9.4.1.2
DCH-06.1,9.1
DCH-06.1,9.4
DCH-06.1,9.4.1
DCH-06.1,9.4.1.2
DCH-06.2,9.4.1.2
DCH-06.2,9.4.5
DCH-06.2,9.4.5.1
DCH-06.3,A3.2.5
DCH-06.3,A3.2.5.1
DCH-06.4,9.4
DCH-06.5,3.3
DCH-06.5,3.3.1
DCH-06.5,3.3.1.1
DCH-06.5,3.3.1.2
DCH-06.5,3.3.1.3
DCH-06.5,3.3.3
DCH-07,9.4
DCH-07,9.4.3
DCH-07.1,9.4.3
DCH-08,9.4
DCH-08,9.4.6
DCH-09,9.4.7
DCH-09.1,9.4.7
DCH-13.1,1.5.1
DCH-15,1.4.4
DCH-18,3.2
DCH-18,3.2.1
DCH-18,9.4.6
DCH-18,9.4.7
DCH-18,10.5
DCH-18,10.5.1
DCH-18,11.4.1
END-01,1.5
END-01,1.5.1
END-01,5.1
END-02,1.5
END-02,1.5.1
END-04,5.2
END-04,5.2.1
END-04,5.2.2
END-04,5.3
END-04,5.3.1
END-04,5.3.2
END-04,5.3.2.1
END-04,5.3.3
END-04,5.3.4
END-04,5.3.5
END-04.1,5.3
END-04.1,5.3.1
END-04.2,5.1.2
END-04.3,5.3.4
END-04.6,5.2.3
END-04.6,5.2.3.1
END-04.7,5.3
END-04.7,5.3.2
END-04.7,5.3.2.1
END-04.7,5.3.3
END-04.7,5.3.5
END-05,1.5.1
END-06,10.3.4
END-06,11.5
END-06,11.5.2
END-06,11.6.1
END-06.2,10.7
END-06.2,10.7.1
END-06.2,10.7.2
END-06.2,10.7.3
END-08,5.4
END-08,5.4.1
END-16,2.2.3
END-16,3.4.1
END-16,10.7.1
END-16,11.4.5
END-16,11.4.6
END-16.1,2.2.3
HRS-01,12.2
HRS-01,12.2.1
HRS-01,12.7
HRS-01,12.7.1
HRS-02,12.7
HRS-02,12.7.1
HRS-02.1,12.7
HRS-02.1,12.7.1
HRS-03,1.1.2
HRS-03,2.1.2
HRS-03,3.1.2
HRS-03,3.7.8
HRS-03,4.1.2
HRS-03,5.1.2
HRS-03,6.1.2
HRS-03,7.1.2
HRS-03,8.1.2
HRS-03,9.1.2
HRS-03,10.1.2
HRS-03,11.1.2
HRS-03,12.1.3
HRS-03,12.10.1
HRS-03,A3.1.3
HRS-03.1,1.1.2
HRS-03.1,2.1.2
HRS-03.1,3.1.2
HRS-03.1,4.1.2
HRS-03.1,5.1.2
HRS-03.1,6.1.2
HRS-03.1,7.1.2
HRS-03.1,8.1.2
HRS-03.1,9.1.2
HRS-03.1,10.1.2
HRS-03.1,11.1.2
HRS-03.1,12.1.3
HRS-03.1,12.6.3
HRS-03.2,6.2.2
HRS-04,12.7
HRS-04,12.7.1
HRS-04.1,12.7
HRS-04.1,12.7.1
HRS-04.2,8.3.8
HRS-04.2,9.5.1
HRS-04.2,9.5.1.3
HRS-04.2,12.6
HRS-04.2,12.6.1
HRS-04.2,12.6.3
HRS-04.2,12.6.3.1
HRS-05,12.1.3
HRS-05,12.2
HRS-05,12.2.1
HRS-05.1,12.1.3
HRS-05.1,12.2
HRS-05.1,12.2.1
HRS-05.3,12.2
HRS-05.3,12.2.1
HRS-05.7,12.6.3
HRS-09,8.2.5
HRS-09.2,8.2.5
HRS-11,6.5.4
IAC-01,7.1
IAC-01,7.2
IAC-01,7.2.1
IAC-01,7.3
IAC-01,7.3.1
IAC-01,7.3.2
IAC-01,7.3.3
IAC-01,8.1
IAC-01,8.2
IAC-01,8.3.3
IAC-01,8.3.8
IAC-01,8.5.1
IAC-01,8.6.1
IAC-02,7.1
IAC-02,7.2
IAC-02,7.2.1
IAC-02,7.3
IAC-02,7.3.1
IAC-02,7.3.2
IAC-02,7.3.3
IAC-02,8.1
IAC-02,8.2
IAC-02,8.3
IAC-02,8.3.3
IAC-02,8.3.9
IAC-02.1,8.2.2
IAC-02.2,8.5.1
IAC-03,7.2.1
IAC-03.2,8.2.3
IAC-05,8.2.3
IAC-05.1,8.2.3
IAC-05.1,8.6.1
IAC-06,8.2.3
IAC-06,8.4
IAC-06,8.4.2
IAC-06,8.4.3
IAC-06,8.5.1
IAC-06.1,8.4.1
IAC-06.1,8.4.2
IAC-06.1,8.4.3
IAC-06.2,8.4.2
IAC-06.2,8.4.3
IAC-06.3,8.4.2
IAC-06.4,8.4.2
IAC-07,7.2.3
IAC-07,8.2.4
IAC-07,8.3.5
IAC-07.1,7.2.3
IAC-07.1,8.2.4
IAC-07.1,8.2.5
IAC-07.2,8.2.4
IAC-07.2,8.2.5
IAC-08,1.3
IAC-08,7.1
IAC-08,7.2
IAC-08,7.2.1
IAC-08,7.2.2
IAC-08,7.2.5
IAC-08,7.3
IAC-08,7.3.1
IAC-08,7.3.2
IAC-08,7.3.3
IAC-09,8.2
IAC-09,8.2.1
IAC-09.1,8.2
IAC-09.1,8.2.1
IAC-10,8.2.4
IAC-10,8.3
IAC-10,8.3.1
IAC-10,8.3.10.1
IAC-10,8.3.11
IAC-10,8.3.3
IAC-10,8.3.5
IAC-10,8.3.7
IAC-10,8.3.9
IAC-10,8.6.3
IAC-10.1,8.3
IAC-10.1,8.3.1
IAC-10.1,8.3.10.1
IAC-10.1,8.3.3
IAC-10.1,8.3.5
IAC-10.1,8.3.6
IAC-10.1,8.3.7
IAC-10.1,8.3.9
IAC-10.1,8.6.3
IAC-10.2,8.3.1
IAC-10.2,8.3.11
IAC-10.5,8.3.11
IAC-10.6,8.6.2
IAC-10.7,8.3.11
IAC-10.8,2.2.2
IAC-10.8,2.3.1
IAC-10.8,6.5.2
IAC-12,3.6.1.1
IAC-12,3.6.1.2
IAC-14,8.2.8
IAC-15,8.2.4
IAC-15,8.3.10
IAC-15,8.6
IAC-15,8.6.1
IAC-15.3,8.2.6
IAC-15.5,8.2.2
IAC-15.7,8.6
IAC-15.7,8.6.1
IAC-16,7.2.3
IAC-16,7.2.5
IAC-16.1,7.2.4
IAC-17,7.2.4
IAC-17,7.2.5.1
IAC-18,8.3.11
IAC-19,8.2.2
IAC-19,8.6.1
IAC-20,7.2.1
IAC-20,7.2.2
IAC-20,7.2.5
IAC-20,7.2.6
IAC-20.1,7.2.1
