scf_control_id,nist_csf_2_0_id
GOV-01,GV
GOV-01,GV.RM-01
GOV-01,GV.RM-03
GOV-01,GV.RR-01
GOV-01,GV.SC
GOV-01,GV.SC-01
GOV-01,GV.SC-03
GOV-01,GV.SC-09
GOV-01,ID.RA
GOV-01,PR
GOV-01,PR.IR
GOV-01.1,GV.OV
GOV-01.1,GV.OV-01
GOV-01.1,GV.OV-02
GOV-01.1,GV.OV-03
GOV-01.1,GV.RM-01
GOV-01.1,GV.RM-03
GOV-01.1,GV.RR-01
GOV-01.1,GV.SC
GOV-01.1,GV.SC-01
GOV-01.1,GV.SC-03
GOV-01.1,GV.SC-09
GOV-01.1,ID
GOV-01.1,ID.RA
GOV-01.1,PR
GOV-01.1,PR.IR
GOV-01.2,GV.OV
GOV-01.2,GV.OV-01
GOV-01.2,GV.OV-03
GOV-01.2,GV.SC
GOV-01.2,GV.SC-09
GOV-01.2,ID
GOV-02,GV.PO
GOV-02,GV.PO-01
GOV-02,GV.SC-01
GOV-02,GV.SC-03
GOV-02,ID.RA
GOV-02.1,ID.RA-07
GOV-03,GV.OV
GOV-03,GV.OV-01
GOV-03,GV.OV-02
GOV-03,GV.PO-02
GOV-04,GV.RM
GOV-04,GV.RM-05
GOV-04,GV.RR-01
GOV-04,GV.RR-02
GOV-04.1,GV.RM-05
GOV-04.1,GV.RR-01
GOV-05,GV
GOV-05,GV.OV
GOV-05,GV.OV-01
GOV-05,GV.OV-03
GOV-05,GV.SC
GOV-05,GV.SC-09
GOV-05,ID.IM-03
GOV-05.2,GV.RM-01
GOV-07,ID.RA-02
GOV-08,GV.OC
GOV-08,GV.OC-01
GOV-08,GV.OC-04
GOV-08,GV.OV-01
GOV-08,GV.SC-03
GOV-09,GV.SC-03
GOV-16,DE.AE-04
AST-01,GV.SC-04
AST-01,ID.AM
AST-01,ID.AM-08
AST-01.1,GV.OC
AST-01.1,GV.SC-04
AST-01.1,ID.AM
AST-01.2,GV.OC
AST-01.2,GV.OC-02
AST-01.2,ID.AM
AST-01.2,ID.AM-08
AST-02,ID.AM
AST-02,ID.AM-01
AST-02,ID.AM-02
AST-03,ID.AM
AST-03.1,ID.AM
AST-04,ID.AM-03
AST-04.1,ID.AM-05
AST-04.2,ID.AM-03
AST-15,ID.RA-09
AST-18,ID.RA-09
BCD-01,GV.SC-08
BCD-01,ID.IM-04
BCD-01,PR.IR-02
BCD-01,PR.IR-03
BCD-01,RC
BCD-01,RC.RP
BCD-01,RC.RP-02
BCD-01,RC.RP-04
BCD-01,RS.MA-05
BCD-01.1,RC.CO
BCD-01.2,GV.SC-08
BCD-01.2,RC.CO
BCD-01.4,RC.RP
BCD-01.4,RC.RP-02
BCD-01.4,RC.RP-04
BCD-01.5,RC.RP-01
BCD-01.5,RS.MA-05
BCD-01.6,RC.CO-03
BCD-02,GV.OC-04
BCD-02,GV.OC-05
BCD-02,ID.AM-05
BCD-02,RC.RP
BCD-02,RC.RP-02
BCD-02,RC.RP-04
BCD-02.1,RC.RP
BCD-02.1,RC.RP-02
BCD-02.1,RC.RP-04
BCD-05,ID.IM-02
BCD-05,ID.IM-03
BCD-06,ID.IM-04
BCD-11,PR.DS-11
BCD-11.1,PR.DS-11
BCD-11.5,PR.DS-11
BCD-11.6,PR.DS-11
