scf_control_id,dpdpa_section_id
GOV-01.1,SEC-18
GOV-01.1,SEC-23
GOV-01.1,SEC-26
GOV-01.1,SEC-27
GOV-01.1,SEC-28
GOV-01.1,SEC-08
GOV-01.2,SEC-10
GOV-04,SEC-19
CPL-01,SEC-07
CPL-01,SEC-08
CPL-02.1,SEC-10
CPL-02.2,SEC-10
CPL-03.1,SEC-10
CPL-07,SEC-13
CPL-07.1,SEC-13
DCH-09.3,SEC-08
DCH-18,SEC-08
HRS-01,SEC-21
HRS-01,SEC-22
HRS-03,SEC-10
HRS-03,SEC-06
IRO-04.1,SEC-08
IRO-09,SEC-08
IRO-10,SEC-08
PRI-01.4,SEC-10
PRI-01.6,SEC-08
PRI-01.8,SEC-10
PRI-01.8,SEC-05
PRI-01.8,SEC-08
PRI-01.9,SEC-06
PRI-02,SEC-05
PRI-02,SEC-06
PRI-02.1,SEC-04
PRI-02.1,SEC-05
PRI-02.1,SEC-07
PRI-02.1,SEC-08
PRI-03,SEC-04
PRI-03,SEC-06
PRI-03,SEC-07
PRI-03,SEC-08
PRI-03.4,SEC-05
PRI-03.4,SEC-06
PRI-03.4,SEC-08
PRI-03.6,SEC-14
PRI-03.6,SEC-06
PRI-03.6,SEC-09
PRI-03.9,SEC-05
PRI-03.9,SEC-09
PRI-03.10,SEC-06
PRI-04.1,SEC-04
PRI-05.2,SEC-08
PRI-05.4,SEC-07
PRI-05.4,SEC-08
PRI-06,SEC-11
PRI-06.1,SEC-12
PRI-06.5,SEC-12
PRI-06.5,SEC-08
PRI-06.7,SEC-11
PRI-07,SEC-08
PRI-07.1,SEC-08
PRI-12.1,SEC-12
PRI-14.1,SEC-11
RSK-10,SEC-10
TPM-05,SEC-08
TPM-05.2,SEC-08
