SCF_Control,SCF_ID,NIST_AI_RMF
Cybersecurity Data Privacy Governance,GOV,NIST AI RMF Govern Function
Cybersecurity Data Privacy Governance,GOV,NIST AI RMF Measure Function
Artificial and Autonomous Technology,AAT,NIST AI RMF Govern Function
Artificial and Autonomous Technology,AAT,NIST AI RMF Map Function
Artificial and Autonomous Technology,AAT,NIST AI RMF Measure Function
Artificial and Autonomous Technology,AAT,NIST AI RMF Manage Function
Asset Management,AST,NIST AI RMF Govern Function
Asset Management,AST,NIST AI RMF Map Function
Business Continuity Disaster Recovery,BCD,NIST AI RMF Manage Function
Business Continuity Disaster Recovery,BCD,NIST AI RMF Measure Function
Capacity Performance Planning,CAP,NIST AI RMF Govern Function
Capacity Performance Planning,CAP,NIST AI RMF Map Function
Change Management,CHG,NIST AI RMF Govern Function
Change Management,CHG,NIST AI RMF Manage Function
Cloud Security,CLD,NIST AI RMF Govern Function
Cloud Security,CLD,NIST AI RMF Map Function
Cloud Security,CLD,NIST AI RMF Manage Function
Compliance,CPL,NIST AI RMF Govern Function
Compliance,CPL,NIST AI RMF Measure Function
Configuration Management,CFG,NIST AI RMF Govern Function
Configuration Management,CFG,NIST AI RMF Map Function
Configuration Management,CFG,NIST AI RMF Manage Function
Continuous Monitoring,MON,NIST AI RMF Measure Function
Continuous Monitoring,MON,NIST AI RMF Manage Function
Cryptographic Protections,CRY,NIST AI RMF Manage Function
Cryptographic Protections,CRY,NIST AI RMF Map Function
Data Classification Handling,DCH,NIST AI RMF Govern Function
Data Classification Handling,DCH,NIST AI RMF Map Function
Data Classification Handling,DCH,NIST AI RMF Manage Function
Embedded Technology,EMB,NIST AI RMF Govern Function
Embedded Technology,EMB,NIST AI RMF Map Function
Embedded Technology,EMB,NIST AI RMF Manage Function
Embedded Technology,EMB,NIST AI RMF Measure Function
Endpoint Security,END,NIST AI RMF Map Function
Endpoint Security,END,NIST AI RMF Manage Function
Human Resources Security,HRS,NIST AI RMF Govern Function
Human Resources Security,HRS,NIST AI RMF Measure Function
Identification Authentication,IAC,NIST AI RMF Map Function
Identification Authentication,IAC,NIST AI RMF Manage Function
Incident Response,IRO,NIST AI RMF Manage Function
Incident Response,IRO,NIST AI RMF Measure Function
Information Assurance,IAO,NIST AI RMF Measure Function
Information Assurance,IAO,NIST AI RMF Manage Function
Maintenance,MNT,NIST AI RMF Manage Function
Maintenance,MNT,NIST AI RMF Map Function
Mobile Device Management,MDM,NIST AI RMF Map Function
Mobile Device Management,MDM,NIST AI RMF Manage Function
Network Security,NET,NIST AI RMF Map Function
Network Security,NET,NIST AI RMF Manage Function
Physical Environmental Security,PES,NIST AI RMF Manage Function
Physical Environmental Security,PES,NIST AI RMF Map Function
Data Privacy,PRI,NIST AI RMF Govern Function
Data Privacy,PRI,NIST AI RMF Map Function
Data Privacy,PRI,NIST AI RMF Manage Function
Data Privacy,PRI,NIST AI RMF Measure Function
Project Resource Management,PRM,NIST AI RMF Govern Function
Project Resource Management,PRM,NIST AI RMF Map Function
Risk Management,RSK,NIST AI RMF Govern Function
Risk Management,RSK,NIST AI RMF Map Function
Risk Management,RSK,NIST AI RMF Measure Function
Secure Engineering Architecture,SEA,NIST AI RMF Map Function
Secure Engineering Architecture,SEA,NIST AI RMF Manage Function
Security Operations,OPS,NIST AI RMF Measure Function
Security Operations,OPS,NIST AI RMF Manage Function
Security Awareness Training,SAT,NIST AI RMF Govern Function
Security Awareness Training,SAT,NIST AI RMF Measure Function
Technology Development Acquisition,TDA,NIST AI RMF Map Function
Technology Development Acquisition,TDA,NIST AI RMF Manage Function
Technology Development Acquisition,TDA,NIST AI RMF Govern Function
Third-Party Management,TPM,NIST AI RMF Govern Function
Third-Party Management,TPM,NIST AI RMF Map Function
Third-Party Management,TPM,NIST AI RMF Manage Function
Threat Management,THR,NIST AI RMF Map Function
Threat Management,THR,NIST AI RMF Measure Function
Vulnerability Patch Management,VPM,NIST AI RMF Manage Function
Vulnerability Patch Management,VPM,NIST AI RMF Map Function
Web Security,WEB,NIST AI RMF Map Function
Web Security,WEB,NIST AI RMF Manage Function
