scf_control_id,vcdpa_section_id
GOV-17,59.1-580
CPL-01,59.1-581
CPL-01.4,59.1-579
DCH-22.1,59.1-577
DCH-23,59.1-581
PRI-01,59.1-578
PRI-01.3,59.1-581
PRI-01.5,59.1-579
PRI-01.6,59.1-578
PRI-01.6,59.1-579
PRI-01.11,59.1-577
PRI-01.11,59.1-578
PRI-01.11,59.1-579
PRI-02,59.1-578
PRI-02,59.1-581
PRI-02.1,59.1-578
PRI-03,59.1-578
PRI-03.3,59.1-577
PRI-03.3,59.1-578
PRI-03.5,59.1-577
PRI-03.5,59.1-578
PRI-03.6,59.1-577
PRI-03.6,59.1-578
PRI-03.7,59.1-577
PRI-03.9,59.1-578
PRI-03.10,59.1-579
PRI-03.12,59.1-578
PRI-03.13,59.1-578
PRI-04,59.1-578
PRI-04.1,59.1-578
PRI-05.3,59.1-581
PRI-05.4,59.1-577
PRI-05.4,59.1-578
PRI-05.7,59.1-578
PRI-06,59.1-577
PRI-06.1,59.1-577
PRI-06.3,59.1-577
PRI-06.4,59.1-577
PRI-06.5,59.1-577
PRI-06.6,59.1-577
PRI-06.7,59.1-577
PRI-07.1,59.1-578
PRI-07.1,59.1-579
PRI-07.1,59.1-581
PRI-07.3,59.1-579
PRI-17,59.1-577
PRI-17.3,59.1-577
PRI-21,59.1-577
PRI-21.1,59.1-577
RSK-10,59.1-580
SEA-02.1,59.1-575
TPM-01.1,59.1-578
TPM-05,59.1-579
TPM-05.2,59.1-579
