SCF_Control,SCF_ID,VCDPA
Cybersecurity Data Privacy Governance,GOV,VCDPA 59.1 Consumer Rights
Cybersecurity Data Privacy Governance,GOV,VCDPA 59.1-603 Security Standards
Cybersecurity Data Privacy Governance,GOV,VCDPA 59.1-604 Obligations of Business
Artificial and Autonomous Technology,AAT,VCDPA 59.1 Consumer Rights
Artificial and Autonomous Technology,AAT,VCDPA 59.1-603 Security Standards
Asset Management,AST,VCDPA 59.1-603 Security Standards
Asset Management,AST,VCDPA 59.1-604 Obligations of Business
Business Continuity Disaster Recovery,BCD,VCDPA 59.1-603 Security Standards
Business Continuity Disaster Recovery,BCD,VCDPA 59.1-604 Obligations of Business
Capacity Performance Planning,CAP,VCDPA 59.1-603 Security Standards
Capacity Performance Planning,CAP,VCDPA 59.1-604 Obligations of Business
Change Management,CHG,VCDPA 59.1-603 Security Standards
Change Management,CHG,VCDPA 59.1-604 Obligations of Business
Cloud Security,CLD,VCDPA 59.1-603 Security Standards
Cloud Security,CLD,VCDPA 59.1 Consumer Rights
Cloud Security,CLD,VCDPA 59.1-604 Obligations of Business
Compliance,CPL,VCDPA 59.1 Consumer Rights
Compliance,CPL,VCDPA 59.1-603 Security Standards
Compliance,CPL,VCDPA 59.1-604 Obligations of Business
Configuration Management,CFG,VCDPA 59.1-603 Security Standards
Configuration Management,CFG,VCDPA 59.1-604 Obligations of Business
Continuous Monitoring,MON,VCDPA 59.1-603 Security Standards
Continuous Monitoring,MON,VCDPA 59.1-604 Obligations of Business
Cryptographic Protections,CRY,VCDPA 59.1-603 Security Standards
Cryptographic Protections,CRY,VCDPA 59.1-604 Obligations of Business
Data Classification Handling,DCH,VCDPA 59.1-604 Obligations of Business
Data Classification Handling,DCH,VCDPA 59.1-603 Security Standards
Data Classification Handling,DCH,VCDPA 59.1 Consumer Rights
Embedded Technology,EMB,VCDPA 59.1-603 Security Standards
Embedded Technology,EMB,VCDPA 59.1-604 Obligations of Business
Endpoint Security,END,VCDPA 59.1-603 Security Standards
Endpoint Security,END,VCDPA 59.1-604 Obligations of Business
Human Resources Security,HRS,VCDPA 59.1 Consumer Rights
Human Resources Security,HRS,VCDPA 59.1-603 Security Standards
Identification Authentication,IAC,VCDPA 59.1-603 Security Standards
Identification Authentication,IAC,VCDPA 59.1-604 Obligations of Business
Incident Response,IRO,VCDPA 59.1-603 Security Standards
Incident Response,IRO,VCDPA 59.1-604 Obligations of Business
Information Assurance,IAO,VCDPA 59.1-603 Security Standards
Information Assurance,IAO,VCDPA 59.1-604 Obligations of Business
Maintenance,MNT,VCDPA 59.1-603 Security Standards
Maintenance,MNT,VCDPA 59.1-604 Obligations of Business
Mobile Device Management,MDM,VCDPA 59.1-603 Security Standards
Mobile Device Management,MDM,VCDPA 59.1-604 Obligations of Business
Network Security,NET,VCDPA 59.1-603 Security Standards
Network Security,NET,VCDPA 59.1-604 Obligations of Business
Physical Environmental Security,PES,VCDPA 59.1-603 Security Standards
Physical Environmental Security,PES,VCDPA 59.1-604 Obligations of Business
Data Privacy,PRI,VCDPA 59.1 Consumer Rights
Data Privacy,PRI,VCDPA 59.1-603 Security Standards
Data Privacy,PRI,VCDPA 59.1-604 Obligations of Business
Project Resource Management,PRM,VCDPA 59.1 Consumer Rights
Project Resource Management,PRM,VCDPA 59.1-603 Security Standards
Risk Management,RSK,VCDPA 59.1 Consumer Rights
Risk Management,RSK,VCDPA 59.1-603 Security Standards
Secure Engineering Architecture,SEA,VCDPA 59.1-603 Security Standards
Secure Engineering Architecture,SEA,VCDPA 59.1-604 Obligations of Business
Security Operations,OPS,VCDPA 59.1-603 Security Standards
Security Operations,OPS,VCDPA 59.1-604 Obligations of Business
Security Awareness Training,SAT,VCDPA 59.1 Consumer Rights
Security Awareness Training,SAT,VCDPA 59.1-603 Security Standards
Technology Development Acquisition,TDA,VCDPA 59.1-603 Security Standards
Technology Development Acquisition,TDA,VCDPA 59.1-604 Obligations of Business
Third-Party Management,TPM,VCDPA 59.1 Consumer Rights
Third-Party Management,TPM,VCDPA 59.1-603 Security Standards
Third-Party Management,TPM,VCDPA 59.1-604 Obligations of Business
Threat Management,THR,VCDPA 59.1-603 Security Standards
Threat Management,THR,VCDPA 59.1-604 Obligations of Business
Vulnerability Patch Management,VPM,VCDPA 59.1-603 Security Standards
Vulnerability Patch Management,VPM,VCDPA 59.1-604 Obligations of Business
Web Security,WEB,VCDPA 59.1-603 Security Standards
Web Security,WEB,VCDPA 59.1-604 Obligations of Business
