scf_control_id,nist_rmf_control_id
GOV-01,PM-1
GOV-02,AC-1
GOV-02,AT-1
GOV-02,AU-1
GOV-02,CA-1
GOV-02,CM-1
GOV-02,CP-1
GOV-02,IA-1
GOV-02,IR-1
GOV-02,MA-1
GOV-02,MP-1
GOV-02,PE-1
GOV-02,PL-1
GOV-02,PM-1
GOV-02,PS-1
GOV-02,PT-1
GOV-02,RA-1
GOV-02,SA-1
GOV-02,SC-1
GOV-02,SI-1
GOV-02,SR-1
GOV-03,AC-1
GOV-03,AT-1
GOV-03,AU-1
GOV-03,CA-1
GOV-03,CM-1
GOV-03,CP-1
GOV-03,IA-1
GOV-03,IR-1
GOV-03,MA-1
GOV-03,MP-1
GOV-03,PE-1
GOV-03,PL-1
GOV-03,PM-1
GOV-03,PS-1
GOV-03,PT-1
GOV-03,RA-1
GOV-03,SA-1
GOV-03,SC-1
GOV-03,SI-1
GOV-03,SR-1
GOV-04,PL-9
GOV-04,PM-2
GOV-04,PM-6
GOV-04,PM-29
GOV-05,PM-6
GOV-06,IR-6
GOV-07,PM-15
GOV-10,PM-23
GOV-10,PM-24
GOV-11,PM-32
AST-01,PM-5
AST-02,CM-8
AST-02,PM-5
AST-02.1,CM-8(1)
AST-02.2,CM-8(3)
AST-02.3,CM-8
AST-02.4,CM-8(6)
AST-02.5,IA-3(4)
AST-02.5,SC-7(19)
AST-02.7,SC-18(2)
AST-02.8,CM-13
AST-02.9,CM-8(2)
AST-02.9,CM-8(7)
AST-02.10,CM-8(8)
AST-02.11,CM-8(9)
AST-03,SA-4(12)
AST-03.1,CM-8(4)
AST-03.2,SR-4
AST-03.2,SR-4(1)
AST-03.2,SR-4(2)
AST-04,PL-2
AST-04,SA-4(1)
AST-04,SA-4(2)
AST-04.1,PE-22
AST-04.1,SA-5
AST-09,SR-12
AST-14,SC-43
AST-15,SR-9
AST-15,SR-9(1)
AST-15.1,SR-10
BCD-01,CP-1
BCD-01,CP-2
BCD-01,IR-4(3)
BCD-01,PM-8
BCD-01,CP-10
BCD-01.1,CP-2(1)
BCD-01.2,CP-2(7)
BCD-01.3,CP-2(6)
BCD-01.4,CP-6(2)
BCD-01.4,CP-10
BCD-02,CP-2(8)
BCD-02.1,CP-2(3)
BCD-02.2,CP-2(5)
BCD-02.3,CP-2(3)
BCD-03,CP-3
BCD-03.1,CP-3(1)
BCD-03.2,CP-3(2)
BCD-04,CP-4
BCD-04.1,CP-4(1)
BCD-04.2,CP-4(2)
BCD-05,CP-4
BCD-06,CP-2
BCD-07,CP-13
BCD-08,CP-6
BCD-08,PE-23
BCD-08.1,CP-6(1)
BCD-08.2,CP-6(3)
BCD-09,CP-7
BCD-09,PE-23
BCD-09.1,CP-7(1)
BCD-09.2,CP-7(2)
BCD-09.3,CP-7(3)
BCD-09.4,CP-7(4)
BCD-09.5,CP-7(6)
BCD-10,CP-8
BCD-10,CP-8(2)
BCD-10,CP-11
BCD-10.1,CP-8(1)
BCD-10.2,CP-8(3)
BCD-10.3,CP-8(4)
BCD-10.4,SC-47
BCD-11,CP-9
BCD-11,SC-28(2)
BCD-11.1,CP-9(1)
BCD-11.2,CP-9(3)
BCD-11.4,CP-9(8)
BCD-11.4,SC-28(1)
BCD-11.5,CP-9(2)
BCD-11.6,CP-9(5)
BCD-11.7,CP-9(6)
BCD-11.8,CP-9(7)
BCD-12,CP-10
BCD-12.1,CP-10(2)
BCD-12.2,SI-13
BCD-12.4,CP-10(4)
BCD-13,CP-10(6)
CAP-01,SC-5
CAP-01,SC-5(3)
CAP-02,SC-5
CAP-02,SC-5(1)
CAP-02,SC-5(2)
CAP-02,SC-6
CAP-03,CP-2(2)
CAP-03,SC-5
CAP-03,SC-5(2)
CHG-01,CM-3
CHG-02,CM-3
CHG-02,SA-8(31)
CHG-02.1,CM-3(1)
CHG-02.2,CM-3(2)
CHG-02.2,CM-3(7)
CHG-02.2,SA-8(31)
CHG-02.3,CM-3(4)
CHG-02.4,CM-3(5)
CHG-02.5,CM-3(6)
CHG-03,CM-4
CHG-04,CM-5
CHG-04.1,CM-5(1)
CHG-04.2,CM-14
CHG-04.2,SI-7(15)
CHG-04.3,AC-5
CHG-04.3,CM-5(4)
CHG-04.4,CM-5(5)
CHG-04.5,CM-5(6)
CHG-05,CM-9
CHG-06,CM-3(2)
CHG-06,SI-6
CHG-06,SA-8(31)
CHG-06.1,SI-6(3)
CLD-03,SC-7(29)
CLD-09,SA-9(5)
CLD-09,SA-9(8)
CPL-01,PL-1
CPL-01,PM-8
CPL-02,CA-7
CPL-02,CA-7(1)
CPL-02,PM-14
CPL-03,CA-2
CPL-03.1,CA-7(1)
CPL-03.2,CA-2
CPL-03.2,RA-3
CFG-01,CM-1
CFG-01,CM-9
CFG-01.1,CM-9(1)
CFG-02,AU-2
CFG-02,CM-2
CFG-02,CM-6
CFG-02,PL-10
CFG-02,SA-8
CFG-02,SA-15(5)
CFG-02.1,AU-2
CFG-02.1,CM-2
CFG-02.2,CM-2(2)
CFG-02.2,CM-6(1)
CFG-02.3,CM-2(3)
CFG-02.4,CM-2(6)
CFG-02.5,CM-2(7)
CFG-02.5,CM-7(6)
CFG-02.5,CM-7(7)
CFG-02.5,CM-7(9)
CFG-02.7,CM-6
CFG-02.8,CM-6(2)
CFG-02.9,PL-11
CFG-03,CM-7
CFG-03.1,CM-7(1)
CFG-03.2,CM-7(2)
CFG-03.3,CM-7(4)
CFG-03.3,CM-7(5)
CFG-03.3,SC-18(4)
CFG-03.4,SC-7(7)
CFG-04,CM-10
CFG-04.1,CM-10(1)
CFG-05,CM-11
CFG-05,CM-11(2)
CFG-05.1,CM-8(3)
CFG-05.1,CM-11(3)
CFG-05.2,CM-11(2)
CFG-06,CM-3(8)
CFG-06,CM-11(3)
CFG-06.1,CM-3(8)
CFG-06.1,CM-11(3)
CFG-08,AC-3(11)
MON-01,AU-1
MON-01,PM-31
MON-01,SI-4
MON-01.1,SI-4(1)
MON-01.1,SI-4(25)
MON-01.2,SI-4(2)
MON-01.2,SC-48
MON-01.3,SI-4(4)
MON-01.4,SI-4(5)
MON-01.5,SI-4(14)
MON-01.5,SI-4(15)
MON-01.6,SI-4(23)
MON-01.7,SI-4(24)
MON-01.8,AU-2
MON-01.11,IR-4(5)
MON-01.11,SI-4(7)
MON-01.12,SI-4(12)
MON-01.13,SI-4(13)
MON-01.14,SI-4(19)
MON-01.15,SI-4(20)
MON-01.17,AU-14(3)
MON-02,AU-2
MON-02,AU-6
MON-02,IR-4(4)
MON-02,SI-4
MON-02.1,AU-6(3)
MON-02.1,AU-6(9)
MON-02.1,IR-4(4)
MON-02.1,SI-4(16)
MON-02.2,AU-6(4)
MON-02.3,AU-6(5)
MON-02.3,SI-4(17)
MON-02.4,AU-6(6)
MON-02.5,AU-6(7)
MON-02.6,AU-6
MON-02.7,AU-12(1)
MON-02.8,AU-12(3)
MON-03,AU-2
MON-03,AU-3
MON-03.1,AU-3(1)
MON-03.1,AU-6(1)
MON-03.3,AU-6(8)
MON-03.5,AU-3(3)
MON-03.6,PL-9
MON-04,AU-4
MON-05,AU-5
MON-05.1,AU-5(2)
MON-05.1,SI-4(12)
MON-05.2,AU-5(1)
MON-06,AU-7
MON-06,AU-7(1)
MON-06,AU-12
MON-06.1,AU-12(4)
MON-06.2,CA-7(3)
MON-07,AU-8
MON-07.1,SC-45
MON-07.1,SC-45(1)
MON-08,AU-9
MON-08.1,AU-4(1)
MON-08.1,AU-9(2)
MON-08.2,AU-9(4)
MON-08.3,AU-9(3)
MON-08.4,AU-9(5)
MON-09,AU-10
MON-09.1,AU-10(1)
MON-09.1,AU-10(2)
MON-10,AU-11
MON-11,AU-13
MON-11.1,SI-4(18)
MON-11.2,SI-4(22)
MON-11.3,SI-4(24)
MON-12,AU-14
MON-13,AU-5(5)
MON-14,AU-16
MON-14,AU-16(1)
MON-14.1,AU-16(2)
MON-15,SC-31
MON-16,AC-2(12)
MON-16,IR-4(13)
MON-16,SI-4(11)
CRY-01,SC-8(1)
CRY-01,SC-8(2)
CRY-01,SC-13
CRY-01,SI-7(6)
CRY-01.1,SC-8(1)
CRY-01.2,SC-13
CRY-01.3,SC-8(2)
CRY-01.4,SC-8(4)
CRY-02,IA-7
CRY-03,SC-8
CRY-03,SC-8(1)
CRY-04,SC-8
CRY-04,SC-16(1)
CRY-04,SC-28(1)
CRY-05,SC-13
CRY-05,SC-28
CRY-05,SC-28(1)
CRY-05.2,SC-28(2)
CRY-07,AC-18
CRY-07,SC-40
CRY-08,SC-12
CRY-08,SC-17
CRY-09,SC-28(3)
CRY-09.1,SC-12(2)
CRY-09.2,SC-12(3)
CRY-09.3,SC-12(1)
CRY-09.7,SA-9(6)
CRY-10,SC-16
CRY-10,SC-16(1)
CRY-11,SC-23(5)
DCH-01,MP-1
DCH-01.1,SA-4(12)
DCH-03,MP-2
DCH-03.3,AC-3(9)
DCH-04,MP-3
DCH-04.1,MP-3
DCH-05,AC-16
DCH-05.1,AC-16(1)
DCH-05.2,AC-16(2)
DCH-05.3,AC-16(3)
DCH-05.4,AC-16(4)
DCH-05.5,AC-16(5)
DCH-05.6,AC-16(6)
DCH-05.7,AC-16(7)
DCH-05.8,AC-16(8)
DCH-05.9,AC-16(9)
DCH-05.10,AC-16(10)
DCH-06,MP-4
DCH-07,MP-5
DCH-07.1,MP-5(3)
DCH-07.2,SC-28(1)
DCH-08,MP-6
DCH-09,MP-6
DCH-09,MP-6(3)
DCH-09.1,MP-6(1)
DCH-09.2,MP-6(2)
DCH-09.3,MP-6
DCH-09.3,MP-6(3)
DCH-09.4,MP-6(3)
DCH-09.5,MP-6(7)
DCH-10,MP-7
DCH-10,SC-8(2)
DCH-10.2,MP-7
DCH-11,MP-8
DCH-11,MP-8(3)
DCH-13,AC-20
DCH-13.1,AC-20(1)
DCH-13.2,AC-20(2)
DCH-13.2,AC-20(5)
DCH-13.3,PM-17
DCH-13.4,AC-20(3)
DCH-14,AC-21
DCH-14.1,AC-21(2)
DCH-14.2,CA-3(6)
DCH-15,AC-22
DCH-16,AC-23
DCH-18,MP-7
DCH-18,SI-12
DCH-18.1,SI-12(1)
DCH-18.2,PM-25
DCH-18.2,SI-12(2)
DCH-18.2,SA-8(33)
DCH-18.2,SA-15(12)
DCH-19,SA-9(5)
DCH-19,SA-9(8)
DCH-21,SI-12(3)
DCH-22,PM-22
DCH-22,SI-18
DCH-22,SI-18(1)
DCH-22.1,SI-18(4)
DCH-22.1,SI-18(5)
DCH-22.2,PT-2(1)
DCH-22.2,PT-3(1)
DCH-22.2,SI-18(2)
DCH-22.3,SI-18(3)
DCH-22.3,SI-19(1)
DCH-23,SI-19
DCH-23.1,SI-19(1)
DCH-23.2,SI-19(2)
DCH-23.3,SI-19(3)
DCH-23.4,SI-19(4)
