scf_control_id,iso_control_id
NET-03,8.21
NET-03.3,8.12
NET-03.5,8.12
NET-04,5.14
NET-04,8.3
NET-04,8.20
NET-04.1,5.14
NET-04.1,8.20
NET-06,8.20
NET-06,8.22
NET-06.1,8.22
NET-08,8.21
NET-08.1,8.20
NET-13,5.14
NET-14,6.7
NET-14.5,6.7
NET-14.5,7.9
NET-15,8.21
NET-18,5.14
NET-18,8.23
PES-01,5.14
PES-01,5.15
PES-01,5.18
PES-01,7.1
PES-01,7.5
PES-02,5.15
PES-02,5.18
PES-02,7.1
PES-02.1,5.15
PES-02.1,5.18
PES-03,5.15
PES-03,5.18
PES-03,7.1
PES-03,7.4
PES-03.1,7.1
PES-03.1,7.2
PES-03.3,7.2
PES-04,5.15
PES-04,7.1
PES-04,7.3
PES-04,7.5
PES-04,7.7
PES-04.1,5.15
PES-04.1,7.2
PES-04.1,7.3
PES-04.1,7.6
PES-05,7.4
PES-05.1,7.4
PES-05.2,7.4
PES-06,7.2
PES-07,7.11
PES-07,7.12
PES-07.1,7.11
PES-07.2,7.11
PES-07.3,7.11
PES-07.4,7.11
PES-10,7.2
PES-12,7.3
PES-12,7.5
PES-12,7.8
PES-12,7.12
PES-12.1,7.12
PES-13,8.12
PRI-01,5.1
PRI-01,5.34
PRI-01.3,5.1
PRI-01.6,5.34
PRI-02,5.34
PRI-02.1,5.34
PRI-03,5.33
PRI-04,5.33
PRI-05,5.33
PRI-05,8.10
PRI-05.1,5.33
PRI-05.3,8.11
PRI-05.4,5.33
PRI-05.5,5.9
PRI-07,5.33
PRI-07.1,5.31
PRI-07.1,5.33
PRI-08,5.36
PRI-08,8.8
PRM-01,5.4
PRM-01,5.8
PRM-02,5.4
PRM-04,5.8
PRM-05,5.8
PRM-05,5.9
PRM-05,8.26
PRM-07,5.8
PRM-07,8.25
PRM-07,8.32
RSK-01,7.5
RSK-01.1,5.8
RSK-03,5.8
RSK-04,5.8
RSK-04,7.5
RSK-06,5.8
RSK-06.1,5.8
RSK-08,5.30
RSK-09,5.21
RSK-09,8.30
RSK-09.1,8.30
RSK-10,5.33
SEA-01,8.12
SEA-01,8.26
SEA-01,8.27
SEA-01.1,8.12
SEA-02,5.8
SEA-02,8.26
SEA-17,8.5
SEA-20,8.17
OPS-01,5.37
OPS-01.1,5.37
OPS-03,5.37
SAT-01,6.3
SAT-02,6.3
SAT-03,5.4
SAT-03,6.3
TDA-01,8.25
TDA-01,8.30
TDA-02,8.25
TDA-02,8.29
TDA-02,8.30
TDA-02.3,8.25
TDA-02.3,8.29
TDA-05,8.27
TDA-05,8.30
TDA-06,8.25
TDA-06,8.26
