scf_control_id,tisax_reference_id
GOV-01,1.2.1
GOV-01.1,1.2.1
GOV-02,1.1.1
GOV-02,1.5.1
GOV-02,7.1.1
GOV-02,9.1.1
GOV-02.1,1.5.1
GOV-03,1.5.1
GOV-04,1.2.1
GOV-04,1.2.2
GOV-04.1,1.2.1
GOV-04.1,1.2.2
GOV-04.1,1.2.4
GOV-04.2,1.2.1
GOV-04.2,1.2.2
GOV-05,1.2.1
GOV-08,1.1.1
GOV-09,1.1.1
GOV-09,7.1.2
GOV-15,1.2.1
GOV-15,5.3.1
GOV-15,5.3.2
GOV-15.1,1.2.1
GOV-15.1,1.2.4
GOV-15.1,5.3.1
GOV-15.1,5.3.2
GOV-15.2,5.3.1
GOV-15.2,5.3.2
GOV-15.3,5.3.1
GOV-15.4,5.3.1
AST-01,3.1.3
AST-01,5.3.3
AST-01.1,1.3.1
AST-01.2,1.2.2
AST-01.2,1.3.1
AST-02.1,5.3.3
AST-02.7,1.3.4
AST-03,1.3.1
AST-04.1,1.2.3
AST-04.1,1.2.4
AST-04.1,8.2.4
AST-04.1,8.2.6
AST-09,3.1.3
BCD-01,5.2.8
BCD-02,5.2.8
BCD-11,5.2.9
CHG-01,5.2.1
CHG-02,5.2.1
CHG-02.3,5.2.2
CHG-03,5.2.2
CHG-03,5.3.1
CPL-01,1.1.1
CPL-01,1.2.1
CPL-01,7.1.1
CPL-01,7.1.2
CPL-01.1,1.5.1
CPL-01.2,1.2.1
CPL-02,1.5.1
CPL-02,5.2.6
CPL-02.1,1.5.1
CPL-02.1,5.2.6
CPL-03,1.5.2
CPL-03,5.2.6
CPL-03.2,1.5.2
CPL-03.2,5.2.6
CFG-01,5.3.1
CFG-02,3.1.4
CFG-03.2,1.3.4
CFG-04,1.3.4
CFG-05,1.3.4
MON-01,5.2.4
MON-01.4,5.2.4
MON-01.16,5.2.4
MON-02,5.2.4
MON-02.1,5.2.4
MON-02.2,5.2.4
CRY-01,5.1.1
DCH-01,5.1.2
DCH-01.2,1.3.2
DCH-01.2,8.2.6
DCH-01.4,1.3.2
DCH-02,1.2.3
DCH-02,1.3.2
DCH-02,5.1.2
DCH-02,8.2.4
DCH-02,8.2.6
DCH-06,8.2.6
DCH-07.1,8.2.7
DCH-09.3,8.2.6
END-02,5.2.3
END-04,5.2.3
END-13.2,8.2.6
HRS-01,8.2.5
HRS-02,1.2.2
HRS-02,2.1.1
HRS-02.1,2.1.1
HRS-03,1.2.2
HRS-03,1.2.4
HRS-03,2.1.1
HRS-03,9.7.2
HRS-03.1,2.1.3
HRS-03.2,1.2.2
HRS-03.2,2.1.1
HRS-04,2.1.1
HRS-04.1,2.1.1
HRS-04.2,2.1.3
HRS-04.2,8.2.3
HRS-05,2.1.2
HRS-05,9.7.1
HRS-05.1,8.2.5
HRS-05.1,8.2.7
HRS-06,2.1.2
HRS-06.1,2.1.2
HRS-06.1,6.1.2
IAC-01,4.1.1
IAC-02,4.1.2
IAC-02,4.1.3
IAC-07,4.1.3
IAC-07,4.2.1
IAC-07,8.2.5
IAC-08,4.2.1
IAC-10.5,4.1.3
IAC-10.8,4.1.3
IAC-15.5,4.1.3
IAC-17,4.2.1
IAC-21,4.2.1
IAC-28.1,4.2.1
IRO-02,1.6.1
IRO-02,1.6.2
IRO-02,1.6.3
IRO-02,9.6.2
IRO-03,1.6.1
IRO-04,1.6.3
IRO-04,9.6.2
IRO-07,1.6.3
IRO-09,1.6.2
IRO-10,1.6.2
IRO-10.2,9.6.2
IRO-13,1.6.2
IAO-02,5.3.1
IAO-05,1.5.2
MNT-04.3,3.1.3
MDM-01,3.1.4
NET-01,5.1.2
NET-01,5.2.7
NET-06,5.2.7
NET-14,2.1.4
NET-14.5,2.1.4
PES-01,8.1.2
PES-01.1,8.1.1
PES-01.2,3.1.1
PES-03,8.1.3
PES-03.4,5.3.4
PES-04,5.3.4
PES-04,8.1.5
PES-04,8.1.8
PES-05,8.1.6
PES-05.1,8.1.6
PES-06,8.1.7
PES-10,3.1.3
PES-10,5.3.3
PES-12,8.1.4
PES-18,5.3.4
PES-18,8.1.8
PRI-01,7.1.2
PRI-01.4,9.2.1
PRI-01.5,9.5.1
PRI-01.5,9.5.2
PRI-01.5,9.5.3
PRI-01.6,7.1.2
PRI-04.1,9.5.2
PRI-06.4,9.6.1
PRI-07,9.5.2
PRI-07.1,9.5.2
PRI-15,9.3.1
PRM-04,1.2.3
PRM-04,5.3.1
PRM-05,1.2.3
PRM-05,5.3.2
PRM-05,8.3.1
PRM-07,5.3.1
RSK-01,1.4.1
RSK-01.1,1.4.1
RSK-03,1.4.1
RSK-03.1,1.4.1
RSK-04,1.4.1
RSK-04.1,1.4.1
RSK-10,9.4.1
SEA-01,5.3.1
SEA-01.1,5.3.1
SEA-02,5.3.1
