chapter_id,document_id,chapter_label,title,chapter_kind,source_document
ch_A,doc_app_guidelines,A,Introductory matters,general matters chapter,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
ch_B,doc_app_guidelines,B,Key concepts,general matters chapter,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
ch_C,doc_app_guidelines,C,Permitted general situations,general matters chapter,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
ch_D,doc_app_guidelines,D,Permitted health situations,general matters chapter,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
ch_1,doc_app_guidelines,1,Australian Privacy Principle 1 — Open and transparent management of personal information,APP chapter,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
ch_2,doc_app_guidelines,2,Australian Privacy Principle 2 — Anonymity and pseudonymity,APP chapter,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
ch_3,doc_app_guidelines,3,Australian Privacy Principle 3 — Collection of solicited personal information,APP chapter,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
ch_4,doc_app_guidelines,4,Australian Privacy Principle 4 — Dealing with unsolicited personal information,APP chapter,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
ch_5,doc_app_guidelines,5,Australian Privacy Principle 5 — Notification of the collection of personal information,APP chapter,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
ch_6,doc_app_guidelines,6,Australian Privacy Principle 6 — Use or disclosure of personal information,APP chapter,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
ch_7,doc_app_guidelines,7,Australian Privacy Principle 7 — Direct marketing,APP chapter,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
ch_8,doc_app_guidelines,8,Australian Privacy Principle 8 — Cross-border disclosure of personal information,APP chapter,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
ch_9,doc_app_guidelines,9,"Australian Privacy Principle 9 — Adoption, use or disclosure of government related identifiers",APP chapter,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
ch_10,doc_app_guidelines,10,Australian Privacy Principle 10 — Quality of personal information,APP chapter,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
ch_11,doc_app_guidelines,11,Australian Privacy Principle 11 — Security of personal information,APP chapter,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
ch_12,doc_app_guidelines,12,Australian Privacy Principle 12 — Access to personal information,APP chapter,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
ch_13,doc_app_guidelines,13,Australian Privacy Principle 13 — Correction of personal information,APP chapter,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
