ndbreportsection_id,document_id,ordinal,heading,text,content_type,source_document
rep_s1,doc_ndb_report,1,Privacy Commissioner’s foreword,"Since the launch of the Notifiable Data Breaches (NDB) scheme in 2018, the Office of the Australian Information Commissioner (OAIC) has published statistical information about data breach notifications we have received. Our goal in doing so has been to help entities and the public understand privacy risks identified through the scheme, highlight areas that require attention and provide clarity around our regulatory approach. Six years on, the NDB scheme is now mature, and we are moving into a new era in which our expectations of entities are higher, seen in our recent commencement of civil penalty proceedings against Medibank Private Limited and Australian Clinical Labs Limited. This enforcement action should send a strong message that keeping personal information secure and meeting the requirements of the NDB scheme must be priorities. The OAIC is accelerating our shift to a more risk-based and enforcement and education-focused posture. Entities and the community can expect to see this reflected in a greater focus on directing our regulatory effort where it has the greatest impact, including areas where there is a high risk of harm to the community. You will observe this report is a little different to previous ones. Our office is evolving our approach in sharing our insights and emerging trends with Australians and the regulated community. There is still statistical information; however, we have focused on providing more succinct guidance and trend observations to help entities comply with obligations. From January to June this year, we received 527 data breach notifications. This is the highest number of notifications received since July to December 2020 and an increase of 9% compared to the previous 6 months. Cyber security incidents continue to be a prevalent cause of data breaches, representing 38% of the total, as our increasing reliance on digital tools and online services exposes our details more frequently to malicious cyber actors. This serves as a reminder of how important it is that entities enact measures that guard against common threats, such as malicious actors using compromised credentials, ransomware and phishing, and update these measures as threats arise and change. While 63% of data breaches affected 100 or fewer people, one incident reported affected over 10 million Australians. This is the second breach recorded to affect more than 10 million Australians and is the highest number of individuals affected by a breach since the NDB scheme came into effect. Like the last reporting period, the Australian Government is in the top 5 sectors to notify data breaches. This highlights there is still work to do, both in the private and public sectors. After 6 years of the NDB scheme, we expect entities to comply with their obligations. It is no longer acceptable for privacy to be an afterthought; entities need to be taking a privacy-centric approach in everything they do. Carly Kind Australian Privacy Commissioner",descriptive statistics and commentary — not an obligation,"Office of the Australian Information Commissioner, Notifiable data breaches report: January to June 2024, 16 September 2024 — KB 2/Australia/Notifiable data breaches report January to June 2024.pdf"
rep_s2,doc_ndb_report,2,Statistics notes,"• This report captures notifications received under the NDB scheme from 1 January to 30 June 2024. • Statistics in this report are current as of 31 July 2024. Some data breach notifications are being assessed and adjustments may be made to related statistics. This may affect statistics for the period January to June 2024 published in future reports. Similarly, statistics from before January 2024 in this report may differ from those published in other reports. • Statistical comparisons are to the period 1 July to 31 December 2023 unless otherwise indicated. • Percentages in charts may not total 100% due to rounding. • Where data breaches affect multiple entities, the OAIC may receive multiple notifications relating to the same incident. Notifications relating to the same incident are counted as a single notification (referred to as a ‘primary notification’) in this report to avoid information being duplicated, unless otherwise specified. The volume of secondary notifications may be indicative of the level of multi-party breach reporting. Secondary notifications may relate to a primary notification received in a prior reporting period. • The source of any given breach is based on information provided by the reporting entity. Where more than one source has been identified or is possible, the dominant or most likely source has been selected. Source of breach categories are defined in the glossary at the end of this report. • Notifications made under the My Health Records Act 2012 (Cth) are not included as they are subject to specific notification requirements set out in that legislation.",descriptive statistics and commentary — not an obligation,"Office of the Australian Information Commissioner, Notifiable data breaches report: January to June 2024, 16 September 2024 — KB 2/Australia/Notifiable data breaches report January to June 2024.pdf"
rep_s3,doc_ndb_report,3,Snapshot,May Mar  527 Jan Feb Apr Jun notifications 76 75 Up 9% compared to July – December 2023 Some data breaches affect more than one entity. The OAIC received an additional 17 secondary data breach notifications Top 5 sectors to notify data breaches Health service providers 102 Australian Government Finance (incl. superannuation) 44 Education Retail 63% of data breaches affected 100 people or fewer Sources of data breaches System fault 3% Human error 30% Malicious or criminal attack 67% 38% of all data breaches resulted from cyber security incidents (201 notifications; 57% of malicious or criminal attacks) Cyber incident breakdown Phishing (compromised credentials) 31% Ransomware 24% Compromised or stolen credentials (method unknown) 24% Brute-force attack (compromised credentials) 8% Hacking 7% Malware 5% Top causes of human error breaches PI sent to wrong Unauthorised Failure to use BCC recipient (email) 38% disclosure when sending email (unintended release 10% or publication) 24%,descriptive statistics and commentary — not an obligation,"Office of the Australian Information Commissioner, Notifiable data breaches report: January to June 2024, 16 September 2024 — KB 2/Australia/Notifiable data breaches report January to June 2024.pdf"
rep_s4,doc_ndb_report,4,A strategic approach to responding to data breaches,"The Australian regulatory framework recognises the increasingly sophisticated nature of cyber risk and does not penalise entities for having been subject to a data breach. However, entities are required under the Privacy Act 1988 (Cth) to take reasonable steps to secure personal information from misuse, interference and loss; and from unauthorised access, modification or disclosure. The OAIC will not necessarily take regulatory action in response to every data breach. Rather, the OAIC strives to take a risk-based and harm-focused approach to regulation. The OAIC will be more likely to take regulatory action in response to issues: • that create a risk of substantial harm to individuals and the community, especially to vulnerable people and groups • that concern systemic harms or contraventions • where action is likely to change sectoral or market practices or have an educative or deterrent effect • that are subject to significant public interest or concern • where action will help clarify aspects of policy or law, especially newer provisions of the Acts the OAIC administers. The OAIC reviews information provided about data breaches to identify any systemic privacy risks. For example, the scope and severity of a data breach might be a symptom of an entity’s failure to take reasonable steps to protect personal information it holds, before a data breach eventuates. Where the root cause of a data breach indicates potential non-compliance with other requirements of the Privacy Act, the OAIC may take further regulatory action. Some of the regulatory tools open to the Information Commissioner include opening investigations, accepting enforceable undertakings and issuing determinations. The OAIC’s Privacy regulatory action policy includes the factors considered in prioritising regulatory action and selecting the most appropriate power in the circumstances. Regulatory or enforcement activity is only undertaken in response to a small portion of data breaches. In this reporting period, the Information Commissioner filed civil penalty proceedings in the Federal Court against Medibank Private Limited in relation to its October 2022 data breach. The OAIC also issued an intention and a direction to notify of an eligible data breach in relation to incidents that occurred in previous reporting periods and opened an investigation into the HWL Ebsworth Lawyers data breach. Reasonable steps Several of the Australian Privacy Principles (APPs), such as APPs 1, 8 and 11, and NDB scheme provisions require an entity to take ‘reasonable steps’ to comply with an obligation. In particular: • APP 11.1 requires entities to take reasonable steps to protect personal information from misuse, interference and loss, as well as unauthorised access, modification or disclosure. • APP 11.2 states an organisation must take reasonable steps to destroy or de-identify information it no longer needs for any purpose for which the information may be used or disclosed under the APPs. As outlined in the OAIC’s Australian Privacy Principles guidelines and Guide to securing personal information, what constitutes reasonable steps depends on circumstances such as: • the nature of the entity, its size and resources • the volume and sensitivity of personal information concerned • possible adverse consequences for an individual in case of a breach. Medibank civil penalty action Medibank and its subsidiary ahm experienced a cyber attack in October 2022 in which one or more threat actors accessed the personal information of millions of current and former customers, which was subsequently released on the dark web. The data breach led the OAIC to commence an investigation focused on how Medibank managed and secured personal information and whether the steps it took were reasonable in the circumstances to protect personal information from unauthorised access In the civil penalty proceedings, the Information Commissioner alleges Medibank seriously interfered with the privacy of 9.7 million Australians by failing to take reasonable steps to protect their personal information from misuse and unauthorised access or disclosure in breach of the Privacy Act. The Information Commissioner considers Medibank did not take reasonable steps to protect personal information it held given its size, resources, the nature and volume of the sensitive and personal information it handled, and the risk of serious harm for an individual in the case of a breach. The Information Commissioner alleges it was reasonable for Medibank to adopt a number of measures to protect the information it held, and that there were deficiencies in the form and implementation of Medibank’s cyber security and information security framework. The case is before the Federal Court and is subject to the court’s case management processes.",descriptive statistics and commentary — not an obligation,"Office of the Australian Information Commissioner, Notifiable data breaches report: January to June 2024, 16 September 2024 — KB 2/Australia/Notifiable data breaches report January to June 2024.pdf"
rep_s5,doc_ndb_report,5,Spotlight on key themes and issues,,descriptive statistics and commentary — not an obligation,"Office of the Australian Information Commissioner, Notifiable data breaches report: January to June 2024, 16 September 2024 — KB 2/Australia/Notifiable data breaches report January to June 2024.pdf"
rep_s6,doc_ndb_report,6,Mitigating cyber threats,It is expected that entities will have appropriate and proactive measures in place to mitigate cyber threats and protect the personal information they hold.,descriptive statistics and commentary — not an obligation,"Office of the Australian Information Commissioner, Notifiable data breaches report: January to June 2024, 16 September 2024 — KB 2/Australia/Notifiable data breaches report January to June 2024.pdf"
rep_s7,doc_ndb_report,7,Extended supply chain risks,Entities that outsource the handling of personal information can reduce the impact of a data breach in the supply chain by implementing a robust supplier risk management framework.,descriptive statistics and commentary — not an obligation,"Office of the Australian Information Commissioner, Notifiable data breaches report: January to June 2024, 16 September 2024 — KB 2/Australia/Notifiable data breaches report January to June 2024.pdf"
rep_s8,doc_ndb_report,8,Addressing the human factor,Individuals remain a significant threat to the strength of an entity’s privacy practices. Entities need to mitigate the potential for individuals to intentionally or inadvertently contribute to the occurrence of data breaches.,descriptive statistics and commentary — not an obligation,"Office of the Australian Information Commissioner, Notifiable data breaches report: January to June 2024, 16 September 2024 — KB 2/Australia/Notifiable data breaches report January to June 2024.pdf"
rep_s9,doc_ndb_report,9,Misconfiguration of cloud-based data holdings,Entities need to be aware there is a shared responsibility for the security of data in the cloud. Relevance of a threat actor’s motivation in assessing a data breach Entities should not rely on assumptions and should weigh in favour of notifying the OAIC and affected individuals when a breach occurs.,descriptive statistics and commentary — not an obligation,"Office of the Australian Information Commissioner, Notifiable data breaches report: January to June 2024, 16 September 2024 — KB 2/Australia/Notifiable data breaches report January to June 2024.pdf"
rep_s10,doc_ndb_report,10,Data breaches in the Australian Government,"Government agencies, especially those with service delivery functions, need to build community trust in their ability to protect the security of individuals’ personal information.",descriptive statistics and commentary — not an obligation,"Office of the Australian Information Commissioner, Notifiable data breaches report: January to June 2024, 16 September 2024 — KB 2/Australia/Notifiable data breaches report January to June 2024.pdf"
