ndbguidancesection_id,document_id,ordinal,heading,text,source_document
doc_ndb_factsheet_s1,doc_ndb_factsheet,1,What is the Notifiable Data Breaches scheme?,The Notifiable Data Breaches (NDB) scheme is an amendment to the existing Privacy Act that requires organisations covered by the Australian Privacy Act 1988 (Privacy Act) to notify any individuals likely to be at risk of serious harm by a data breach. The NDB scheme will commence on 22 February 2018.,Notifiable Data Breaches (NDB) scheme factsheet (AMSRO) — KB 2/Australia/Notifiable Data Breaches scheme 2018 Guideline.pdf
doc_ndb_factsheet_s2,doc_ndb_factsheet,2,Why has it been introduced?,• To strengthen the protections afforded to everyone’s personal information. • Improve transparency in reporting procedures and reinforce privacy obligations by companies working with personal information. The scheme also toughens up privacy obligations by companies working with personal information with considerable fines of up to $1.7 million for a privacy breach.,Notifiable Data Breaches (NDB) scheme factsheet (AMSRO) — KB 2/Australia/Notifiable Data Breaches scheme 2018 Guideline.pdf
doc_ndb_factsheet_s3,doc_ndb_factsheet,3,Why is the NDB scheme important?,"The NDB scheme supports consumer and community confidence that personal information is being respected and protected. It also gives individuals the opportunity to take steps to minimise the damage that can result from unauthorised use of their personal information. It is also important to remember the practical purpose of the mandatory requirement, and that is to notify about a data breach is to put the data subject (or ‘research respondent’) who might be affected in a position where they can, as quickly as possible, make their own assessment of its potential seriousness in their individual case, understand what has happened, and make their own choices about what if anything to do as a remedy or mitigation, and how quickly to do it. While this may involve inconvenience, effort, or embarrassment for those dealing with the data breach (and the difficulty of working out the potential seriousness for those affected by an ambiguous or marginal breach) the possible adverse legal and reputation impacts of a delayed, incoherent or ineffective response arise from the potential for depriving the data subject of the best chance to sort out their own affairs before any serious impacts have actually manifest.",Notifiable Data Breaches (NDB) scheme factsheet (AMSRO) — KB 2/Australia/Notifiable Data Breaches scheme 2018 Guideline.pdf
doc_ndb_factsheet_s4,doc_ndb_factsheet,4,Who must comply with the NDB scheme?,"The NDB scheme will apply to businesses (with an annual turnover of $3 million or more), Australian Government agencies, and other organisations that are already required by the Privacy Act to keep information secure.",Notifiable Data Breaches (NDB) scheme factsheet (AMSRO) — KB 2/Australia/Notifiable Data Breaches scheme 2018 Guideline.pdf
doc_ndb_factsheet_s5,doc_ndb_factsheet,5,When does it take effect?,"• The NDB scheme will commence on 22 February 2018. It only applies to eligible data breaches that occur on, or after, that date. • This notice must include recommendations about the steps that individuals should take in response to the data breach. Organisations will need to be prepared to conduct quick assessments of suspected data breaches to determine if they are likely to result in serious harm. The Office of the Australian Information Commissioner (OAIC) must also be notified.",Notifiable Data Breaches (NDB) scheme factsheet (AMSRO) — KB 2/Australia/Notifiable Data Breaches scheme 2018 Guideline.pdf
doc_ndb_factsheet_s6,doc_ndb_factsheet,6,What is a Notifiable Data Breach?,• A Notifiable Data Breach is a data breach that is likely to result in ‘serious harm’ to any of the individuals to whom the information relates. • A data breach occurs when personal information held by an organisation is lost or subjected to unauthorised access or disclosure. Examples of a data breach include when: • A device containing customers’ personal information is lost or stolen • A database containing personal information is hacked • Personal information is mistakenly provided to the wrong person,Notifiable Data Breaches (NDB) scheme factsheet (AMSRO) — KB 2/Australia/Notifiable Data Breaches scheme 2018 Guideline.pdf
doc_ndb_factsheet_s7,doc_ndb_factsheet,7,Which data breaches are notifiable?,"Not all data breaches are notifiable. The NDB scheme only requires organisations to notify when there is a data breach that is likely to result in serious harm to any individual to whom the information relates. Under the OAIC guidelines an eligible data breach occurs when three criteria are met: 1. There is unauthorised access to, or unauthorised disclosure of personal information, or loss of personal information, that an entity holds 2. This is likely to result in serious harm to one or more individuals, and 3. The entity has not been able to prevent the likely risk of serious harm with remedial action. • ‘Serious harm’ can be psychological, emotional, physical, reputational, or other forms of harm. • Understanding whether serious harm is likely or not requires an evaluation of the context of the breach. Exceptions to the NDB scheme will apply for some data breaches, meaning that notification to individuals or to the Commissioner may not be required. For further information - https://www.oaic.gov.au/privacy- law/privacy-act/notifiable-data-breaches-scheme/entities-covered-by-the-ndb-scheme",Notifiable Data Breaches (NDB) scheme factsheet (AMSRO) — KB 2/Australia/Notifiable Data Breaches scheme 2018 Guideline.pdf
doc_ndb_factsheet_s8,doc_ndb_factsheet,8,Assessing suspected data breaches,"Organisations that suspect a data breach may have occurred are required to undertake a quick assessment to determine if the data breach is likely to result in serious harm. For research organisations (suppliers) it is important that everyone involved in handling or control of data should consider they may have a part to play in resolving a response and remedy as soon as possible after a breach, for the benefit of the data subject for whom the clock may be ticking. It may be possible to avoid transference of liability while at the same time creating an obligation for everyone involved to cooperate, assist or contribute any necessary information to a joint quick response effort.",Notifiable Data Breaches (NDB) scheme factsheet (AMSRO) — KB 2/Australia/Notifiable Data Breaches scheme 2018 Guideline.pdf
doc_ndb_factsheet_s9,doc_ndb_factsheet,9,Can I take remedial action?,"Yes. • If you take remedial action that prevents the likelihood of serious harm occurring, then the breach is not an eligible data breach. • For breaches where personal information is lost, the remedial cation is adequate if it prevents the unauthorised access or disclosure of personal information. Appropriate remedial action should comprise of the following: • as fast as possible (so the individuals affected have maximum chance to respond urgently enough to mitigate their own risk), • be simply and clearly expressed (so it can be easily understood by non-experts), • focus on helping the data subject identify what, if anything, they may need or wish to do themselves as mitigation or remedy, • be frank and concrete enough so that the potentially data subjects can get a good picture of what has actually happened (so they can draw their own conclusions about if and how this might affect them).",Notifiable Data Breaches (NDB) scheme factsheet (AMSRO) — KB 2/Australia/Notifiable Data Breaches scheme 2018 Guideline.pdf
doc_ndb_factsheet_s10,doc_ndb_factsheet,10,Notification of an eligible data breach,"Notification of a data breach supports good privacy practice. Where an organisation becomes aware that there are reasonable grounds to believe an eligible data breach has occurred, they are obligated to notify individuals at risk of serious harm and the OAIC as soon as practicable. This notification must set out: • the identity and contact details of the organisation • a description of the data breach • the kinds of information concerned and; • recommendations about the steps individuals should take in response to the data breach.",Notifiable Data Breaches (NDB) scheme factsheet (AMSRO) — KB 2/Australia/Notifiable Data Breaches scheme 2018 Guideline.pdf
