deadline_id,citation,text,source_document
dl_01,§ 312.11(a),The Commission shall issue a written determination within 180 days of the filing of the application.,KB 2/USA/Children's Online Privacy Protection Act.pdf
dl_02,§ 312.11(b)(2),"this mechanism must include a comprehensive review by the safe harbor program, to be conducted not less than annually, of each subject operator’s information policies, practices, and representations",KB 2/USA/Children's Online Privacy Protection Act.pdf
dl_03,§ 312.11(d)(1),"By July 1, 2014, and annually thereafter, submit a report to the Commission",KB 2/USA/Children's Online Privacy Protection Act.pdf
dl_04,§ 312.11(d)(3),"Maintain for a period not less than three years, and upon request make available to the Commission for inspection and copying",KB 2/USA/Children's Online Privacy Protection Act.pdf
dl_05,§ 312.11(f),"Safe harbor programs that were approved prior to the publication of the Final Rule amendments must, by March 1, 2013, submit proposed modifications to their guidelines that would bring them into compliance with such amendments, or their approval shall be revoked.",KB 2/USA/Children's Online Privacy Protection Act.pdf
dl_06,§ 312.12(a),The Commission shall issue a written determination within 120 days of the filing of the request,KB 2/USA/Children's Online Privacy Protection Act.pdf
dl_07,§ 312.12(b),The Commission shall issue a written determination within 120 days of the filing of the request.,KB 2/USA/Children's Online Privacy Protection Act.pdf
