source_id,target_id,rel_type,cited_as
prov_312.3(a),prov_312.4(b),REFERENCES,312.4(b)
prov_312.3(b),sec_312.5,REFERENCES,312.5
prov_312.3(c),sec_312.6,REFERENCES,312.6
prov_312.3(d),sec_312.7,REFERENCES,312.7
prov_312.3(e),sec_312.8,REFERENCES,312.8
prov_312.4(c)(1),prov_312.5(c)(1),REFERENCES,312.5(c)(1)
prov_312.4(c)(2),prov_312.5(c)(2),REFERENCES,312.5(c)(2)
prov_312.4(c)(3),prov_312.5(c)(4),REFERENCES,312.5(c)(4)
prov_312.4(c)(4),prov_312.5(c)(5),REFERENCES,312.5(c)(5)
prov_312.5(b)(2)(vi),sec_312.2,REFERENCES,312.2
prov_312.5(b)(3),sec_312.11,REFERENCES,312.11
prov_312.5(c)(1),prov_312.4(c)(1),REFERENCES,312.4(c)(1)
prov_312.5(c)(2),prov_312.4(c)(2),REFERENCES,312.4(c)(2)
prov_312.5(c)(4),prov_312.4(c)(3),REFERENCES,312.4(c)(3)
prov_312.5(c)(5),prov_312.4(c)(4),REFERENCES,312.4(c)(4)
prov_312.5(c)(7),sec_312.4,REFERENCES,312.4
prov_312.5(c)(8),sec_312.2,REFERENCES,312.2
prov_312.5(c)(8),sec_312.4,REFERENCES,312.4
prov_312.6(c),sec_312.7,REFERENCES,312.7
prov_312.11(b)(1),sec_312.2,REFERENCES,312.2
prov_312.11(b)(1),sec_312.8,REFERENCES,312.8
prov_312.11(b)(1),sec_312.10,REFERENCES,312.10
prov_312.11(c)(3),sec_312.2,REFERENCES,312.2
prov_312.11(c)(3),sec_312.8,REFERENCES,312.8
prov_312.11(c)(3),sec_312.10,REFERENCES,312.10
prov_312.11(d)(1),sec_312.5,REFERENCES,312.5(b)(4)
prov_312.11(g),sec_312.2,REFERENCES,312.2
prov_312.11(g),sec_312.8,REFERENCES,312.8
prov_312.11(g),sec_312.10,REFERENCES,312.10
prov_312.12(a),prov_312.5(b),REFERENCES,312.5(b)
prov_312.12(a),prov_312.5(b)(1),REFERENCES,312.5(b)(1)
def_support_for_the_internal_operations_of_the_web_site_or_onlin1_vii,prov_312.5(c)(3),REFERENCES,312.5(c)(3)
