provision_id,citation,section_id,parent_provision_id,label,level,heading,text,source_document
prov_312.3(a),§ 312.3(a),sec_312.3,,(a),1,,"(a) Provide notice on the Web site or online service of what information it collects from children, how it uses such information, and its disclosure practices for such information (§ 312.4(b));",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.3(b),§ 312.3(b),sec_312.3,,(b),1,,"(b) Obtain verifiable parental consent prior to any collection, use, and/or disclosure of personal information from children (§ 312.5);",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.3(c),§ 312.3(c),sec_312.3,,(c),1,,(c) Provide a reasonable means for a parent to review the personal information collected from a child and to refuse to permit its further use or maintenance (§ 312.6);,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.3(d),§ 312.3(d),sec_312.3,,(d),1,,"(d) Not condition a child’s participation in a game, the offering of a prize, or another activity on the child disclosing more personal information than is reasonably necessary to participate in such activity (§ 312.7); and",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.3(e),§ 312.3(e),sec_312.3,,(e),1,,"(e) Establish and maintain reasonable procedures to protect the confidentiality, security, and integrity of personal information collected from children (§ 312.8).",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(a),§ 312.4(a),sec_312.4,,(a),1,General principles of notice,"(a) General principles of notice. It shall be the obligation of the operator to provide notice and obtain verifiable parental consent prior to collecting, using, or disclosing personal information from children. Such notice must be clearly and understandably written, complete, and must contain no unrelated, confusing, or contradictory materials.",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(b),§ 312.4(b),sec_312.4,,(b),1,Direct notice to the parent,"(b) Direct notice to the parent. An operator must make reasonable efforts, taking into account available technology, to ensure that a parent of a child receives direct notice of the operator’s practices with regard to the collection, use, or disclosure of personal information from children, including notice of any material change in the collection, use, or disclosure practices to which the parent has previously consented.",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c),§ 312.4(c),sec_312.4,,(c),1,Content of the direct notice to the parent,(c) Content of the direct notice to the parent—,KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(1),§ 312.4(c)(1),sec_312.4,prov_312.4(c),(1),2,"Content of the direct notice to the parent under § 312.5(c)(1) (Notice to Obtain Parent's Affirmative Consent to the Collection, Use, or Disclosure of a Child's Personal Information)","(1) Content of the direct notice to the parent under § 312.5(c)(1) (Notice to Obtain Parent’s Affirmative Consent to the Collection, Use, or Disclosure of a Child’s Personal Information). This direct notice shall set forth:",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(1)(i),§ 312.4(c)(1)(i),sec_312.4,prov_312.4(c)(1),(i),3,,"(i) That the operator has collected the parent’s online contact information from the child, and, if such is the case, the name of the child or the parent, in order to obtain the parent’s consent;",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(1)(ii),§ 312.4(c)(1)(ii),sec_312.4,prov_312.4(c)(1),(ii),3,,"(ii) That the parent’s consent is required for the collection, use, or disclosure of such information, and that the operator will not collect, use, or disclose any personal information from the child if the parent does not provide such consent;",KB 2/USA/Children's Online Privacy Protection Act.pdf
prov_312.4(c)(1)(iii),§ 312.4(c)(1)(iii),sec_312.4,prov_312.4(c)(1),(iii),3,,"(iii) The additional items of personal information the operator intends to collect from the child, or the potential opportunities for the disclosure of personal information, should the parent provide consent;",KB 2/USA/Children's Online Privacy Protection Act.pdf
