definitionelement_id,definition_id,label,parent_element_id,text,citation,source_document
def_collects_or_collection1,def_collects_or_collection,(1),,"(1) Requesting, prompting, or encouraging a child to submit personal information online;",§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_collects_or_collection2,def_collects_or_collection,(2),,(2) Enabling a child to make personal information publicly available in identifiable form. An operator shall not be considered to have collected personal information under this paragraph if it takes reasonable measures to delete all or virtually all personal information from a child’s postings before they are made public and also to delete such information from its records; or,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_collects_or_collection3,def_collects_or_collection,(3),,(3) Passive tracking of a child online.,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_disclose_or_disclosure1,def_disclose_or_disclosure,(1),,"(1) The release of personal information collected by an operator from a child in identifiable form for any purpose, except where an operator provides such information to a person who provides support for the internal operations of the Web site or online service; and",§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_disclose_or_disclosure2,def_disclose_or_disclosure,(2),,"(2) Making personal information collected by an operator from a child publicly available in identifiable form by any means, including but not limited to a public posting through the Internet, or through a personal home page or screen posted on a Web site or online service; a pen pal service; an electronic mail service; a message board; or a chat room.",§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_obtaining_verifiable_consent1,def_obtaining_verifiable_consent,(1),,"(1) Receives notice of the operator’s personal information collection, use, and disclosure practices; and",§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_obtaining_verifiable_consent2,def_obtaining_verifiable_consent,(2),,"(2) Authorizes any collection, use, and/or disclosure of the personal information.",§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_operator1,def_operator,(1),,(1) It is collected or maintained by an agent or service provider of the operator; or,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_operator2,def_operator,(2),,(2) The operator benefits by allowing another person to collect personal information directly from users of such Web site or online service.,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_personal_information1,def_personal_information,(1),,(1) A first and last name;,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_personal_information2,def_personal_information,(2),,(2) A home or other physical address including street name and name of a city or town;,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_personal_information3,def_personal_information,(3),,(3) Online contact information as defined in this section;,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_personal_information4,def_personal_information,(4),,"(4) A screen or user name where it functions in the same manner as online contact information, as defined in this section;",§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_personal_information5,def_personal_information,(5),,(5) A telephone number;,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_personal_information6,def_personal_information,(6),,(6) A Social Security number;,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_personal_information7,def_personal_information,(7),,"(7) A persistent identifier that can be used to recognize a user over time and across different Web sites or online services. Such persistent identifier includes, but is not limited to, a customer number held in a cookie, an Internet Protocol (IP) address, a processor or device serial number, or unique device identifier;",§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_personal_information8,def_personal_information,(8),,"(8) A photograph, video, or audio file where such file contains a child’s image or voice;",§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_personal_information9,def_personal_information,(9),,(9) Geolocation information sufficient to identify street name and name of a city or town; or,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_personal_information10,def_personal_information,(10),,(10) Information concerning the child or the parents of that child that the operator collects online from the child and combines with an identifier described in this definition.,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_support_for_the_internal_operations_of_the_web_site_or_onlin1,def_support_for_the_internal_operations_of_the_web_site_or_onlin,(1),,(1) Those activities necessary to:,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_support_for_the_internal_operations_of_the_web_site_or_onlin1_i,def_support_for_the_internal_operations_of_the_web_site_or_onlin,(1)(i),def_support_for_the_internal_operations_of_the_web_site_or_onlin1,(i) Maintain or analyze the functioning of the Web site or online service;,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_support_for_the_internal_operations_of_the_web_site_or_onlin1_ii,def_support_for_the_internal_operations_of_the_web_site_or_onlin,(1)(ii),def_support_for_the_internal_operations_of_the_web_site_or_onlin1,(ii) Perform network communications;,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_support_for_the_internal_operations_of_the_web_site_or_onlin1_iii,def_support_for_the_internal_operations_of_the_web_site_or_onlin,(1)(iii),def_support_for_the_internal_operations_of_the_web_site_or_onlin1,"(iii) Authenticate users of, or personalize the content on, the Web site or online service;",§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_support_for_the_internal_operations_of_the_web_site_or_onlin1_iv,def_support_for_the_internal_operations_of_the_web_site_or_onlin,(1)(iv),def_support_for_the_internal_operations_of_the_web_site_or_onlin1,(iv) Serve contextual advertising on the Web site or online service or cap the frequency of advertising;,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_support_for_the_internal_operations_of_the_web_site_or_onlin1_v,def_support_for_the_internal_operations_of_the_web_site_or_onlin,(1)(v),def_support_for_the_internal_operations_of_the_web_site_or_onlin1,"(v) Protect the security or integrity of the user, Web site, or online service;",§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
