clause_id,clause_ref,article_id,article_number,marker,kind,level,parent_clause_id,text,source_document
CL_9_1_g,9(1)(g),ART_9,9,g,alpha,2,CL_9_1,Processed in accordance with the application of Data Subject rights under this Law;,KB 2/UAE/DIFC Data Protection Law.pdf
CL_9_1_h,9(1)(h),ART_9,9,h,alpha,2,CL_9_1,"accurate and, where necessary, kept up to date, including via erasure or rectification, without undue delay;",KB 2/UAE/DIFC Data Protection Law.pdf
CL_9_1_i,9(1)(i),ART_9,9,i,alpha,2,CL_9_1,kept in a form that permits identification of a Data Subject for no longer than is necessary for the purposes described in Article 9(1)(c); and,KB 2/UAE/DIFC Data Protection Law.pdf
CL_9_1_j,9(1)(j),ART_9,9,j,alpha,2,CL_9_1,"kept secure, including being protected against unauthorised or unlawful Processing (including transfers), and against accidental loss, destruction or damage, using appropriate technical or organisational measures.",KB 2/UAE/DIFC Data Protection Law.pdf
CL_9_2,9(2),ART_9,9,2,numeric,1,,"A Controller or Processor shall be responsible for, and must be able to demonstrate to the Commissioner its compliance with, Article 9(1).",KB 2/UAE/DIFC Data Protection Law.pdf
CL_10_a,10(a),ART_10,10,a,alpha,1,,"a Data Subject has given consent, which complies with Article 12, to the Processing of that Personal Data for specific purposes;",KB 2/UAE/DIFC Data Protection Law.pdf
CL_10_b,10(b),ART_10,10,b,alpha,1,,"Processing is necessary for the performance of a contract to which a Data Subject is a party, or in order to take steps at the request of a Data Subject prior to entering into such contract;",KB 2/UAE/DIFC Data Protection Law.pdf
CL_10_c,10(c),ART_10,10,c,alpha,1,,Processing is necessary for compliance with Applicable Law that a Controller is subject to;,KB 2/UAE/DIFC Data Protection Law.pdf
CL_10_d,10(d),ART_10,10,d,alpha,1,,Processing is necessary in order to protect the vital interests of a Data Subject or of another natural person;,KB 2/UAE/DIFC Data Protection Law.pdf
CL_10_e,10(e),ART_10,10,e,alpha,1,,Processing is necessary for:,KB 2/UAE/DIFC Data Protection Law.pdf
CL_10_e_i,10(e)(i),ART_10,10,i,roman,2,CL_10_e,performance of a task carried out by a DIFC Body in the interests of the DIFC;,KB 2/UAE/DIFC Data Protection Law.pdf
CL_10_e_ii,10(e)(ii),ART_10,10,ii,roman,2,CL_10_e,exercise of a DIFC Body’s powers and functions; or,KB 2/UAE/DIFC Data Protection Law.pdf
CL_10_e_iii,10(e)(iii),ART_10,10,iii,roman,2,CL_10_e,the exercise of powers or functions vested by a DIFC Body in a Third Party to whom Personal Data is disclosed by the DIFC Body; or,KB 2/UAE/DIFC Data Protection Law.pdf
CL_10_f,10(f),ART_10,10,f,alpha,1,,"Processing is necessary for the purpose of legitimate interests pursued by a Controller or a Third Party to whom the Personal Data has been made available, subject to Article 13, except where such interests are overridden by the interests or rights of a Data Subject.",KB 2/UAE/DIFC Data Protection Law.pdf
CL_11_a,11(a),ART_11,11,a,alpha,1,,"a Data Subject has given explicit consent that complies with Article 12, to the Processing of those Special Categories of Personal Data for one (1) or more specified purposes;",KB 2/UAE/DIFC Data Protection Law.pdf
