schedule_id,label,description,source_document
SCHEDULE_1,Schedule 1,Schedule 1 contains: (a) interpretative provisions that apply to this Law; and (b) a list of defined terms used in this Law.,KB 2/UAE/DIFC Data Protection Law.pdf
SCHEDULE_2,Schedule 2,Schedule 2 contains a list of administrative fines that may be issued under Article 62(2) of this Law.,KB 2/UAE/DIFC Data Protection Law.pdf
