interpretationrule_id,rule_ref,schedule_paragraph,paragraph_title,marker,level,parent_rule_id,text,source_document
S1_1_1,"Schedule 1, paragraph 1(1)",1,Rules of interpretation,1,1,,"In this Law, unless otherwise provided, a reference to:",KB 2/UAE/DIFC Data Protection Law.pdf
S1_1_1_a,"Schedule 1, paragraph 1(1)(a)",1,Rules of interpretation,a,2,S1_1_1,a statutory provision includes a reference to the statutory provision as amended or re- enacted from time to time;,KB 2/UAE/DIFC Data Protection Law.pdf
S1_1_1_b,"Schedule 1, paragraph 1(1)(b)",1,Rules of interpretation,b,2,S1_1_1,"a “person” includes any natural person, body corporate or body unincorporate, including a company, partnership, unincorporated association, government or state;",KB 2/UAE/DIFC Data Protection Law.pdf
S1_1_1_c,"Schedule 1, paragraph 1(1)(c)",1,Rules of interpretation,c,2,S1_1_1,"an obligation to publish or cause to be published a particular document shall, unless expressly provided otherwise in this Law, include publishing or causing to be published in printed or electronic form;",KB 2/UAE/DIFC Data Protection Law.pdf
S1_1_1_d,"Schedule 1, paragraph 1(1)(d)",1,Rules of interpretation,d,2,S1_1_1,"a “day” means a calendar day, unless expressly stated otherwise. If an obligation falls on a calendar day which is either a Saturday, Sunday or an official public holiday, the obligation shall take place on the next calendar day which is a business day;",KB 2/UAE/DIFC Data Protection Law.pdf
S1_1_1_e,"Schedule 1, paragraph 1(1)(e)",1,Rules of interpretation,e,2,S1_1_1,"a “business day” means a calendar day, excluding Saturdays, Sundays and official public holidays;",KB 2/UAE/DIFC Data Protection Law.pdf
S1_1_1_f,"Schedule 1, paragraph 1(1)(f)",1,Rules of interpretation,f,2,S1_1_1,"a “week” shall mean a calendar week or seven (7) days, whichever is applicable in the circumstances;",KB 2/UAE/DIFC Data Protection Law.pdf
S1_1_1_g,"Schedule 1, paragraph 1(1)(g)",1,Rules of interpretation,g,2,S1_1_1,a “month” shall mean a period of thirty (30) days;,KB 2/UAE/DIFC Data Protection Law.pdf
S1_1_1_h,"Schedule 1, paragraph 1(1)(h)",1,Rules of interpretation,h,2,S1_1_1,a “year” shall mean a period of three hundred and sixty five (365) days and a “calendar year” shall mean a year of the Gregorian calendar;,KB 2/UAE/DIFC Data Protection Law.pdf
S1_1_1_i,"Schedule 1, paragraph 1(1)(i)",1,Rules of interpretation,i,2,S1_1_1,a reference to the masculine gender includes the feminine and vice versa;,KB 2/UAE/DIFC Data Protection Law.pdf
