source_id,target_id,rel_type,maximum_fine_usd
FINE_9,ART_9,PENALISES,50000
FINE_10,ART_10,PENALISES,50000
FINE_11,ART_11,PENALISES,50000
FINE_12,ART_12,PENALISES,50000
FINE_14_1,ART_14,PENALISES,25000
FINE_14_2,ART_14,PENALISES,50000
FINE_14_3,ART_14,PENALISES,25000
FINE_14_4,ART_14,PENALISES,25000
FINE_14_5,ART_14,PENALISES,25000
FINE_14_7,ART_14,PENALISES,25000
FINE_15,ART_15,PENALISES,25000
FINE_16,ART_16,PENALISES,50000
FINE_19,ART_19,PENALISES,25000
FINE_20,ART_20,PENALISES,50000
FINE_22,ART_22,PENALISES,25000
FINE_23,ART_23,PENALISES,25000
FINE_24,ART_24,PENALISES,25000
FINE_25,ART_25,PENALISES,25000
FINE_26,ART_26,PENALISES,25000
FINE_27,ART_27,PENALISES,50000
FINE_28,ART_28,PENALISES,50000
FINE_29,ART_29,PENALISES,75000
FINE_30,ART_30,PENALISES,75000
FINE_31,ART_31,PENALISES,75000
FINE_32_3,ART_32,PENALISES,75000
FINE_33,ART_33,PENALISES,100000
FINE_34,ART_34,PENALISES,100000
FINE_35,ART_35,PENALISES,100000
FINE_36,ART_36,PENALISES,100000
FINE_37,ART_37,PENALISES,100000
FINE_38,ART_38,PENALISES,100000
FINE_39,ART_39,PENALISES,50000
FINE_40,ART_40,PENALISES,25000
FINE_41,ART_41,PENALISES,50000
FINE_42,ART_42,PENALISES,50000
FINE_59,ART_59,PENALISES,75000
FINE_65,ART_65,PENALISES,75000
