odp_id,parent_id,parent_type,odp_text,source_document
AC-1-a-ODP1,AC-1-a,ControlItem,[Assignment: organization-defined personnel or roles],NIST SP 800-53r5
AC-1-a-1-ODP1,AC-1-a-1,ControlItem,[Selection (one or more): Organization-level; Mission/business process-level; System-level],NIST SP 800-53r5
AC-1-b-ODP1,AC-1-b,ControlItem,[Assignment: organization-defined official],NIST SP 800-53r5
AC-1-c-1-ODP1,AC-1-c-1,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
AC-1-c-1-ODP2,AC-1-c-1,ControlItem,[Assignment: organization-defined events],NIST SP 800-53r5
AC-1-c-2-ODP1,AC-1-c-2,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
AC-1-c-2-ODP2,AC-1-c-2,ControlItem,[Assignment: organization-defined events],NIST SP 800-53r5
AC-2-c-ODP1,AC-2-c,ControlItem,[Assignment: organization-defined prerequisites and criteria],NIST SP 800-53r5
AC-2-d-3-ODP1,AC-2-d-3,ControlItem,[Assignment: organization-defined attributes (as required)],NIST SP 800-53r5
AC-2-e-ODP1,AC-2-e,ControlItem,[Assignment: organization-defined personnel or roles],NIST SP 800-53r5
AC-2-f-ODP1,AC-2-f,ControlItem,"[Assignment: organization-defined policy, procedures, prerequisites, and criteria]",NIST SP 800-53r5
AC-2-h-ODP1,AC-2-h,ControlItem,[Assignment: organization-defined personnel or roles],NIST SP 800-53r5
AC-2-h-1-ODP1,AC-2-h-1,ControlItem,[Assignment: organization-defined time period],NIST SP 800-53r5
AC-2-h-2-ODP1,AC-2-h-2,ControlItem,[Assignment: organization-defined time period],NIST SP 800-53r5
AC-2-h-3-ODP1,AC-2-h-3,ControlItem,[Assignment: organization-defined time period],NIST SP 800-53r5
AC-2-i-3-ODP1,AC-2-i-3,ControlItem,[Assignment: organization-defined attributes (as required)],NIST SP 800-53r5
AC-2-j-ODP1,AC-2-j,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
AC-2(1)-ODP1,AC-2(1),ControlEnhancement,[Assignment: organization-defined automated mechanisms],NIST SP 800-53r5
AC-2(2)-ODP1,AC-2(2),ControlEnhancement,[Selection: remove; disable],NIST SP 800-53r5
AC-2(2)-ODP2,AC-2(2),ControlEnhancement,[Assignment: organization-defined time period for each type of account],NIST SP 800-53r5
AC-2(3)-ODP1,AC-2(3),ControlEnhancement,[Assignment: organization-defined time period],NIST SP 800-53r5
AC-2(3)-d-ODP1,AC-2(3)-d,ControlItem,[Assignment: organization-defined time period],NIST SP 800-53r5
AC-2(5)-ODP1,AC-2(5),ControlEnhancement,[Assignment: organization-defined time period of expected inactivity or description of when to log out],NIST SP 800-53r5
AC-2(6)-ODP1,AC-2(6),ControlEnhancement,[Assignment: organization-defined dynamic privilege management capabilities],NIST SP 800-53r5
AC-2(7)-a-ODP1,AC-2(7)-a,ControlItem,[Selection: a role-based access scheme; an attribute-based access scheme],NIST SP 800-53r5
AC-2(8)-ODP1,AC-2(8),ControlEnhancement,[Assignment: organization-defined system accounts],NIST SP 800-53r5
AC-2(9)-ODP1,AC-2(9),ControlEnhancement,[Assignment: organization-defined conditions for establishing shared and group accounts],NIST SP 800-53r5
AC-2(11)-ODP1,AC-2(11),ControlEnhancement,[Assignment: organization-defined circumstances and/or usage conditions],NIST SP 800-53r5
AC-2(11)-ODP2,AC-2(11),ControlEnhancement,[Assignment: organization-defined system accounts],NIST SP 800-53r5
AC-2(12)-a-ODP1,AC-2(12)-a,ControlItem,[Assignment: organization-defined atypical usage],NIST SP 800-53r5
AC-2(12)-b-ODP1,AC-2(12)-b,ControlItem,[Assignment: organization-defined personnel or roles],NIST SP 800-53r5
AC-2(13)-ODP1,AC-2(13),ControlEnhancement,[Assignment: organization-defined time period],NIST SP 800-53r5
AC-2(13)-ODP2,AC-2(13),ControlEnhancement,[Assignment: organization-defined significant risks],NIST SP 800-53r5
AC-3(2)-ODP1,AC-3(2),ControlEnhancement,[Assignment: organization-defined privileged commands and/or other organization-defined actions],NIST SP 800-53r5
AC-3(3)-ODP1,AC-3(3),ControlEnhancement,[Assignment: organization-defined mandatory access control policy],NIST SP 800-53r5
AC-3(3)-c-ODP1,AC-3(3)-c,ControlItem,[Assignment: organization-defined subjects],NIST SP 800-53r5
AC-3(3)-c-ODP2,AC-3(3)-c,ControlItem,[Assignment: organization-defined privileges],NIST SP 800-53r5
AC-3(4)-ODP1,AC-3(4),ControlEnhancement,[Assignment: organization-defined discretionary access control policy],NIST SP 800-53r5
AC-3(5)-ODP1,AC-3(5),ControlEnhancement,[Assignment: organization-defined security-relevant information],NIST SP 800-53r5
AC-3(7)-ODP1,AC-3(7),ControlEnhancement,[Assignment: organization-defined roles and users authorized to assume such roles],NIST SP 800-53r5
AC-3(8)-ODP1,AC-3(8),ControlEnhancement,[Assignment: organization-defined rules governing the timing of revocations of access authorizations],NIST SP 800-53r5
AC-3(9)-a-ODP1,AC-3(9)-a,ControlItem,[Assignment: organization-defined system or system component],NIST SP 800-53r5
AC-3(9)-a-ODP2,AC-3(9)-a,ControlItem,[Assignment: organization-defined controls],NIST SP 800-53r5
AC-3(9)-b-ODP1,AC-3(9)-b,ControlItem,[Assignment: organization-defined controls],NIST SP 800-53r5
AC-3(10)-ODP1,AC-3(10),ControlEnhancement,[Assignment: organization-defined conditions],NIST SP 800-53r5
AC-3(10)-ODP2,AC-3(10),ControlEnhancement,[Assignment: organization-defined roles],NIST SP 800-53r5
AC-3(11)-ODP1,AC-3(11),ControlEnhancement,[Assignment: organization-defined information types],NIST SP 800-53r5
AC-3(12)-a-ODP1,AC-3(12)-a,ControlItem,[Assignment: organization-defined system applications and functions],NIST SP 800-53r5
AC-3(13)-ODP1,AC-3(13),ControlEnhancement,[Assignment: organization-defined attributes to assume access permissions],NIST SP 800-53r5
