family_id,family_name,section_number,source_document
AC,ACCESS CONTROL,3.1,NIST SP 800-53r5
AT,AWARENESS AND TRAINING,3.2,NIST SP 800-53r5
AU,AUDIT AND ACCOUNTABILITY,3.3,NIST SP 800-53r5
CA,"ASSESSMENT, AUTHORIZATION, AND MONITORING",3.4,NIST SP 800-53r5
CM,CONFIGURATION MANAGEMENT,3.5,NIST.SP.800-53r5.pdf
CP,CONTINGENCY PLANNING,3.6,NIST.SP.800-53r5.pdf
IA,IDENTIFICATION AND AUTHENTICATION,3.7,NIST.SP.800-53r5.pdf
IR,INCIDENT RESPONSE,3.8,NIST.SP.800-53r5.pdf
MA,MAINTENANCE,3.9,NIST.SP.800-53r5.pdf
MP,MEDIA PROTECTION,3.10,NIST.SP.800-53r5.pdf
PE,PHYSICAL AND ENVIRONMENTAL PROTECTION,3.11,NIST.SP.800-53r5.pdf
PL,PLANNING,3.12,NIST.SP.800-53r5.pdf
PM,PROGRAM MANAGEMENT,3.13,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
PS,PERSONNEL SECURITY,3.14,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
PT,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING AND TRANSPARENCY,3.15,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
RA,RISK ASSESSMENT,3.16,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
SA,SYSTEM AND SERVICES ACQUISITION,3.17,NIST SP 800-53r5
SC,SYSTEM AND COMMUNICATIONS PROTECTION,3.18,NIST SP 800-53r5
SI,SYSTEM AND INFORMATION INTEGRITY,3.19,NIST SP 800-53r5
SR,SUPPLY CHAIN RISK MANAGEMENT,3.20,NIST SP 800-53r5
