item_id,parent_id,parent_type,item_label,item_text,source_document
CM-7(4)::(a),CM-7(4),ControlEnhancement,(a),Identify [Assignment: organization-defined software programs not authorized to execute on the system];,NIST.SP.800-53r5.pdf
CM-7(4)::(b),CM-7(4),ControlEnhancement,(b),"Employ an allow-all, deny-by-exception policy to prohibit the execution of unauthorized software programs on the system; and",NIST.SP.800-53r5.pdf
CM-7(4)::(c),CM-7(4),ControlEnhancement,(c),Review and update the list of unauthorized software programs [Assignment: organization-defined frequency].,NIST.SP.800-53r5.pdf
CM-7(5)::(a),CM-7(5),ControlEnhancement,(a),Identify [Assignment: organization-defined software programs authorized to execute on the system];,NIST.SP.800-53r5.pdf
CM-7(5)::(b),CM-7(5),ControlEnhancement,(b),"Employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs on the system; and",NIST.SP.800-53r5.pdf
CM-7(5)::(c),CM-7(5),ControlEnhancement,(c),Review and update the list of authorized software programs [Assignment: organization-defined frequency].,NIST.SP.800-53r5.pdf
CM-7(7)::(a),CM-7(7),ControlEnhancement,(a),Obtained from sources with limited or no warranty; and/or,NIST.SP.800-53r5.pdf
CM-7(7)::(b),CM-7(7),ControlEnhancement,(b),Without the provision of source code.,NIST.SP.800-53r5.pdf
CM-7(8)::(a),CM-7(8),ControlEnhancement,(a),Prohibit the use of binary or machine-executable code from sources with limited or no warranty or without the provision of source code; and,NIST.SP.800-53r5.pdf
CM-7(8)::(b),CM-7(8),ControlEnhancement,(b),Allow exceptions only for compelling mission or operational requirements and with the approval of the authorizing official.,NIST.SP.800-53r5.pdf
CM-7(9)::(a),CM-7(9),ControlEnhancement,(a),Identify [Assignment: organization-defined hardware components authorized for system use];,NIST.SP.800-53r5.pdf
CM-7(9)::(b),CM-7(9),ControlEnhancement,(b),Prohibit the use or connection of unauthorized hardware components;,NIST.SP.800-53r5.pdf
CM-7(9)::(c),CM-7(9),ControlEnhancement,(c),Review and update the list of authorized hardware components [Assignment: organization-defined frequency].,NIST.SP.800-53r5.pdf
CM-8::a.,CM-8,Control,a.,Develop and document an inventory of system components that:,NIST.SP.800-53r5.pdf
CM-8::a.::1.,CM-8::a.,ControlItem,1.,Accurately reflects the system;,NIST.SP.800-53r5.pdf
CM-8::a.::2.,CM-8::a.,ControlItem,2.,Includes all components within the system;,NIST.SP.800-53r5.pdf
CM-8::a.::3.,CM-8::a.,ControlItem,3.,Does not include duplicate accounting of components or components assigned to any other system;,NIST.SP.800-53r5.pdf
CM-8::a.::4.,CM-8::a.,ControlItem,4.,Is at the level of granularity deemed necessary for tracking and reporting; and,NIST.SP.800-53r5.pdf
CM-8::a.::5.,CM-8::a.,ControlItem,5.,Includes the following information to achieve system component accountability: [Assignment: organization-defined information deemed necessary to achieve effective system component accountability]; and,NIST.SP.800-53r5.pdf
CM-8::b.,CM-8,Control,b.,Review and update the system component inventory [Assignment: organization-defined frequency].,NIST.SP.800-53r5.pdf
CM-8(3)::(a),CM-8(3),ControlEnhancement,(a),"Detect the presence of unauthorized hardware, software, and firmware components within the system using [Assignment: organization-defined automated mechanisms] [Assignment: organization-defined frequency]; and",NIST.SP.800-53r5.pdf
CM-8(3)::(b),CM-8(3),ControlEnhancement,(b),Take the following actions when unauthorized components are detected: [Selection (one or more): disable network access by such components; isolate the components; notify [Assignment: organization-defined personnel or roles]].,NIST.SP.800-53r5.pdf
CM-8(9)::(a),CM-8(9),ControlEnhancement,(a),Assign system components to a system; and,NIST.SP.800-53r5.pdf
CM-8(9)::(b),CM-8(9),ControlEnhancement,(b),Receive an acknowledgement from [Assignment: organization-defined personnel or roles] of this assignment.,NIST.SP.800-53r5.pdf
CM-9::a.,CM-9,Control,a.,"Addresses roles, responsibilities, and configuration management processes and procedures;",NIST.SP.800-53r5.pdf
CM-9::b.,CM-9,Control,b.,Establishes a process for identifying configuration items throughout the system development life cycle and for managing the configuration of the configuration items;,NIST.SP.800-53r5.pdf
CM-9::c.,CM-9,Control,c.,Defines the configuration items for the system and places the configuration items under configuration management;,NIST.SP.800-53r5.pdf
CM-9::d.,CM-9,Control,d.,Is reviewed and approved by [Assignment: organization-defined personnel or roles]; and,NIST.SP.800-53r5.pdf
CM-9::e.,CM-9,Control,e.,Protects the configuration management plan from unauthorized disclosure and modification.,NIST.SP.800-53r5.pdf
CM-10::a.,CM-10,Control,a.,Use software and associated documentation in accordance with contract agreements and copyright laws;,NIST.SP.800-53r5.pdf
CM-10::b.,CM-10,Control,b.,Track the use of software and associated documentation protected by quantity licenses to control copying and distribution; and,NIST.SP.800-53r5.pdf
CM-10::c.,CM-10,Control,c.,"Control and document the use of peer-to-peer file sharing technology to ensure that this capability is not used for the unauthorized distribution, display, performance, or reproduction of copyrighted work.",NIST.SP.800-53r5.pdf
CM-11::a.,CM-11,Control,a.,Establish [Assignment: organization-defined policies] governing the installation of software by users;,NIST.SP.800-53r5.pdf
CM-11::b.,CM-11,Control,b.,Enforce software installation policies through the following methods: [Assignment: organization-defined methods]; and,NIST.SP.800-53r5.pdf
CM-11::c.,CM-11,Control,c.,Monitor policy compliance [Assignment: organization-defined frequency].,NIST.SP.800-53r5.pdf
CM-12::a.,CM-12,Control,a.,Identify and document the location of [Assignment: organization-defined information] and the specific system components on which the information is processed and stored;,NIST.SP.800-53r5.pdf
CM-12::b.,CM-12,Control,b.,Identify and document the users who have access to the system and system components where the information is processed and stored; and,NIST.SP.800-53r5.pdf
CM-12::c.,CM-12,Control,c.,"Document changes to the location (i.e., system or system components) where the information is processed and stored.",NIST.SP.800-53r5.pdf
CP-1::a.,CP-1,Control,a.,"Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:",NIST.SP.800-53r5.pdf
CP-1::a.::1.,CP-1::a.,ControlItem,1.,[Selection (one or more): Organization-level; Mission/business process-level; System-level] contingency planning policy that:,NIST.SP.800-53r5.pdf
CP-1::a.::1.::(a),CP-1::a.::1.,ControlItem,(a),"Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",NIST.SP.800-53r5.pdf
CP-1::a.::1.::(b),CP-1::a.::1.,ControlItem,(b),"Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and",NIST.SP.800-53r5.pdf
CP-1::a.::2.,CP-1::a.,ControlItem,2.,Procedures to facilitate the implementation of the contingency planning policy and the associated contingency planning controls;,NIST.SP.800-53r5.pdf
CP-1::b.,CP-1,Control,b.,"Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the contingency planning policy and procedures; and",NIST.SP.800-53r5.pdf
CP-1::c.,CP-1,Control,c.,Review and update the current contingency planning:,NIST.SP.800-53r5.pdf
CP-1::c.::1.,CP-1::c.,ControlItem,1.,Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and,NIST.SP.800-53r5.pdf
CP-1::c.::2.,CP-1::c.,ControlItem,2.,Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,NIST.SP.800-53r5.pdf
CP-2::a.,CP-2,Control,a.,Develop a contingency plan for the system that:,NIST.SP.800-53r5.pdf
CP-2::a.::1.,CP-2::a.,ControlItem,1.,Identifies essential mission and business functions and associated contingency requirements;,NIST.SP.800-53r5.pdf
CP-2::a.::2.,CP-2::a.,ControlItem,2.,"Provides recovery objectives, restoration priorities, and metrics;",NIST.SP.800-53r5.pdf
CP-2::a.::3.,CP-2::a.,ControlItem,3.,"Addresses contingency roles, responsibilities, assigned individuals with contact information;",NIST.SP.800-53r5.pdf
CP-2::a.::4.,CP-2::a.,ControlItem,4.,"Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure;",NIST.SP.800-53r5.pdf
CP-2::a.::5.,CP-2::a.,ControlItem,5.,"Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;",NIST.SP.800-53r5.pdf
CP-2::a.::6.,CP-2::a.,ControlItem,6.,Addresses the sharing of contingency information; and,NIST.SP.800-53r5.pdf
CP-2::a.::7.,CP-2::a.,ControlItem,7.,Is reviewed and approved by [Assignment: organization-defined personnel or roles];,NIST.SP.800-53r5.pdf
CP-2::b.,CP-2,Control,b.,Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];,NIST.SP.800-53r5.pdf
CP-2::c.,CP-2,Control,c.,Coordinate contingency planning activities with incident handling activities;,NIST.SP.800-53r5.pdf
CP-2::d.,CP-2,Control,d.,Review the contingency plan for the system [Assignment: organization-defined frequency];,NIST.SP.800-53r5.pdf
CP-2::e.,CP-2,Control,e.,"Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;",NIST.SP.800-53r5.pdf
CP-2::f.,CP-2,Control,f.,Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];,NIST.SP.800-53r5.pdf
CP-2::g.,CP-2,Control,g.,"Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and",NIST.SP.800-53r5.pdf
CP-2::h.,CP-2,Control,h.,Protect the contingency plan from unauthorized disclosure and modification.,NIST.SP.800-53r5.pdf
CP-3::a.,CP-3,Control,a.,Provide contingency training to system users consistent with assigned roles and responsibilities:,NIST.SP.800-53r5.pdf
CP-3::a.::1.,CP-3::a.,ControlItem,1.,Within [Assignment: organization-defined time period] of assuming a contingency role or responsibility;,NIST.SP.800-53r5.pdf
CP-3::a.::2.,CP-3::a.,ControlItem,2.,When required by system changes; and,NIST.SP.800-53r5.pdf
CP-3::a.::3.,CP-3::a.,ControlItem,3.,[Assignment: organization-defined frequency] thereafter; and,NIST.SP.800-53r5.pdf
CP-3::b.,CP-3,Control,b.,Review and update contingency training content [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,NIST.SP.800-53r5.pdf
CP-4::a.,CP-4,Control,a.,Test the contingency plan for the system [Assignment: organization-defined frequency] using the following tests to determine the effectiveness of the plan and the readiness to execute the plan: [Assignment: organization-defined tests].,NIST.SP.800-53r5.pdf
CP-4::b.,CP-4,Control,b.,Review the contingency plan test results; and,NIST.SP.800-53r5.pdf
CP-4::c.,CP-4,Control,c.,"Initiate corrective actions, if needed.",NIST.SP.800-53r5.pdf
CP-4(2)::(a),CP-4(2),ControlEnhancement,(a),To familiarize contingency personnel with the facility and available resources; and,NIST.SP.800-53r5.pdf
CP-4(2)::(b),CP-4(2),ControlEnhancement,(b),To evaluate the capabilities of the alternate processing site to support contingency operations.,NIST.SP.800-53r5.pdf
CP-6::a.,CP-6,Control,a.,"Establish an alternate storage site, including necessary agreements to permit the storage and retrieval of system backup information; and",NIST.SP.800-53r5.pdf
CP-6::b.,CP-6,Control,b.,Ensure that the alternate storage site provides controls equivalent to that of the primary site.,NIST.SP.800-53r5.pdf
CP-7::a.,CP-7,Control,a.,"Establish an alternate processing site, including necessary agreements to permit the transfer and resumption of [Assignment: organization-defined system operations] for essential mission and business functions within [Assignment: organization-defined time period consistent with recovery time and recovery point objectives] when the primary processing capabilities are unavailable;",NIST.SP.800-53r5.pdf
CP-7::b.,CP-7,Control,b.,"Make available at the alternate processing site, the equipment and supplies required to transfer and resume operations or put contracts in place to support delivery to the site within the organization-defined time period for transfer and resumption; and",NIST.SP.800-53r5.pdf
CP-7::c.,CP-7,Control,c.,Provide controls at the alternate processing site that are equivalent to those at the primary site.,NIST.SP.800-53r5.pdf
CP-8(1)::(a),CP-8(1),ControlEnhancement,(a),Develop primary and alternate telecommunications service agreements that contain priority-of-service provisions in accordance with availability requirements (including recovery time objectives); and,NIST.SP.800-53r5.pdf
CP-8(1)::(b),CP-8(1),ControlEnhancement,(b),Request Telecommunications Service Priority for all telecommunications services used for national security emergency preparedness if the primary and/or alternate telecommunications services are provided by a common carrier.,NIST.SP.800-53r5.pdf
CP-8(4)::(a),CP-8(4),ControlEnhancement,(a),Require primary and alternate telecommunications service providers to have contingency plans;,NIST.SP.800-53r5.pdf
CP-8(4)::(b),CP-8(4),ControlEnhancement,(b),Review provider contingency plans to ensure that the plans meet organizational contingency requirements; and,NIST.SP.800-53r5.pdf
CP-8(4)::(c),CP-8(4),ControlEnhancement,(c),Obtain evidence of contingency testing and training by providers [Assignment: organization-defined frequency].,NIST.SP.800-53r5.pdf
CP-9::a.,CP-9,Control,a.,Conduct backups of user-level information contained in [Assignment: organization-defined system components] [Assignment: organization-defined frequency consistent with recovery time and recovery point objectives];,NIST.SP.800-53r5.pdf
CP-9::b.,CP-9,Control,b.,Conduct backups of system-level information contained in the system [Assignment: organization-defined frequency consistent with recovery time and recovery point objectives];,NIST.SP.800-53r5.pdf
CP-9::c.,CP-9,Control,c.,"Conduct backups of system documentation, including security- and privacy-related documentation [Assignment: organization-defined frequency consistent with recovery time and recovery point objectives]; and",NIST.SP.800-53r5.pdf
CP-9::d.,CP-9,Control,d.,"Protect the confidentiality, integrity, and availability of backup information.",NIST.SP.800-53r5.pdf
IA-1::a.,IA-1,Control,a.,"Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:",NIST.SP.800-53r5.pdf
IA-1::a.::1.,IA-1::a.,ControlItem,1.,[Selection (one or more): Organization-level; Mission/business process-level; System-level] identification and authentication policy that:,NIST.SP.800-53r5.pdf
IA-1::a.::1.::(a),IA-1::a.::1.,ControlItem,(a),"Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",NIST.SP.800-53r5.pdf
IA-1::a.::1.::(b),IA-1::a.::1.,ControlItem,(b),"Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and",NIST.SP.800-53r5.pdf
IA-1::a.::2.,IA-1::a.,ControlItem,2.,Procedures to facilitate the implementation of the identification and authentication policy and the associated identification and authentication controls;,NIST.SP.800-53r5.pdf
IA-1::b.,IA-1,Control,b.,"Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the identification and authentication policy and procedures; and",NIST.SP.800-53r5.pdf
IA-1::c.,IA-1,Control,c.,Review and update the current identification and authentication:,NIST.SP.800-53r5.pdf
IA-1::c.::1.,IA-1::c.,ControlItem,1.,Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and,NIST.SP.800-53r5.pdf
IA-1::c.::2.,IA-1::c.,ControlItem,2.,Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,NIST.SP.800-53r5.pdf
IA-2(6)::(a),IA-2(6),ControlEnhancement,(a),One of the factors is provided by a device separate from the system gaining access; and,NIST.SP.800-53r5.pdf
IA-2(6)::(b),IA-2(6),ControlEnhancement,(b),The device meets [Assignment: organization-defined strength of mechanism requirements].,NIST.SP.800-53r5.pdf
IA-3(3)::(a),IA-3(3),ControlEnhancement,(a),"Where addresses are allocated dynamically, standardize dynamic address allocation lease information and the lease duration assigned to devices in accordance with [Assignment: organization-defined lease information and lease duration]; and",NIST.SP.800-53r5.pdf
IA-3(3)::(b),IA-3(3),ControlEnhancement,(b),Audit lease information when assigned to a device.,NIST.SP.800-53r5.pdf
IA-4::a.,IA-4,Control,a.,"Receiving authorization from [Assignment: organization-defined personnel or roles] to assign an individual, group, role, service, or device identifier;",NIST.SP.800-53r5.pdf
IA-4::b.,IA-4,Control,b.,"Selecting an identifier that identifies an individual, group, role, service, or device;",NIST.SP.800-53r5.pdf
IA-4::c.,IA-4,Control,c.,"Assigning the identifier to the intended individual, group, role, service, or device; and",NIST.SP.800-53r5.pdf
IA-4::d.,IA-4,Control,d.,Preventing reuse of identifiers for [Assignment: organization-defined time period].,NIST.SP.800-53r5.pdf
IA-5::a.,IA-5,Control,a.,"Verifying, as part of the initial authenticator distribution, the identity of the individual, group, role, service, or device receiving the authenticator;",NIST.SP.800-53r5.pdf
IA-5::b.,IA-5,Control,b.,Establishing initial authenticator content for any authenticators issued by the organization;,NIST.SP.800-53r5.pdf
IA-5::c.,IA-5,Control,c.,Ensuring that authenticators have sufficient strength of mechanism for their intended use;,NIST.SP.800-53r5.pdf
IA-5::d.,IA-5,Control,d.,"Establishing and implementing administrative procedures for initial authenticator distribution, for lost or compromised or damaged authenticators, and for revoking authenticators;",NIST.SP.800-53r5.pdf
IA-5::e.,IA-5,Control,e.,Changing default authenticators prior to first use;,NIST.SP.800-53r5.pdf
IA-5::f.,IA-5,Control,f.,Changing or refreshing authenticators [Assignment: organization-defined time period by authenticator type] or when [Assignment: organization-defined events] occur;,NIST.SP.800-53r5.pdf
IA-5::g.,IA-5,Control,g.,Protecting authenticator content from unauthorized disclosure and modification;,NIST.SP.800-53r5.pdf
IA-5::h.,IA-5,Control,h.,"Requiring individuals to take, and having devices implement, specific controls to protect authenticators; and",NIST.SP.800-53r5.pdf
IA-5::i.,IA-5,Control,i.,Changing authenticators for group or role accounts when membership to those accounts changes.,NIST.SP.800-53r5.pdf
IA-5(1)::(a),IA-5(1),ControlEnhancement,(a),"Maintain a list of commonly-used, expected, or compromised passwords and update the list [Assignment: organization-defined frequency] and when organizational passwords are suspected to have been compromised directly or indirectly;",NIST.SP.800-53r5.pdf
IA-5(1)::(b),IA-5(1),ControlEnhancement,(b),"Verify, when users create or update passwords, that the passwords are not found on the list of commonly-used, expected, or compromised passwords in IA-5(1)(a);",NIST.SP.800-53r5.pdf
IA-5(1)::(c),IA-5(1),ControlEnhancement,(c),Transmit passwords only over cryptographically-protected channels;,NIST.SP.800-53r5.pdf
IA-5(1)::(d),IA-5(1),ControlEnhancement,(d),"Store passwords using an approved salted key derivation function, preferably using a keyed hash;",NIST.SP.800-53r5.pdf
IA-5(1)::(e),IA-5(1),ControlEnhancement,(e),Require immediate selection of a new password upon account recovery;,NIST.SP.800-53r5.pdf
IA-5(1)::(f),IA-5(1),ControlEnhancement,(f),"Allow user selection of long passwords and passphrases, including spaces and all printable characters;",NIST.SP.800-53r5.pdf
IA-5(1)::(g),IA-5(1),ControlEnhancement,(g),Employ automated tools to assist the user in selecting strong password authenticators; and,NIST.SP.800-53r5.pdf
IA-5(1)::(h),IA-5(1),ControlEnhancement,(h),Enforce the following composition and complexity rules: [Assignment: organization-defined composition and complexity rules].,NIST.SP.800-53r5.pdf
IA-5(2)::(a),IA-5(2),ControlEnhancement,(a),For public key-based authentication:,NIST.SP.800-53r5.pdf
IA-5(2)::(a)::(1),IA-5(2)::(a),ControlItem,(1),Enforce authorized access to the corresponding private key; and,NIST.SP.800-53r5.pdf
IA-5(2)::(a)::(2),IA-5(2)::(a),ControlItem,(2),Map the authenticated identity to the account of the individual or group; and,NIST.SP.800-53r5.pdf
IA-5(2)::(b),IA-5(2),ControlEnhancement,(b),When public key infrastructure (PKI) is used:,NIST.SP.800-53r5.pdf
IA-5(2)::(b)::(1),IA-5(2)::(b),ControlItem,(1),"Validate certificates by constructing and verifying a certification path to an accepted trust anchor, including checking certificate status information; and",NIST.SP.800-53r5.pdf
IA-5(2)::(b)::(2),IA-5(2)::(b),ControlItem,(2),Implement a local cache of revocation data to support path discovery and validation.,NIST.SP.800-53r5.pdf
IA-5(18)::(a),IA-5(18),ControlEnhancement,(a),Employ [Assignment: organization-defined password managers] to generate and manage passwords; and,NIST.SP.800-53r5.pdf
IA-5(18)::(b),IA-5(18),ControlEnhancement,(b),Protect the passwords using [Assignment: organization-defined controls].,NIST.SP.800-53r5.pdf
IA-8(2)::(a),IA-8(2),ControlEnhancement,(a),Accept only external authenticators that are NIST-compliant; and,NIST.SP.800-53r5.pdf
IA-8(2)::(b),IA-8(2),ControlEnhancement,(b),Document and maintain a list of accepted external authenticators.,NIST.SP.800-53r5.pdf
IA-12::a.,IA-12,Control,a.,Identity proof users that require accounts for logical access to systems based on appropriate identity assurance level requirements as specified in applicable standards and guidelines;,NIST.SP.800-53r5.pdf
IA-12::b.,IA-12,Control,b.,Resolve user identities to a unique individual; and,NIST.SP.800-53r5.pdf
IA-12::c.,IA-12,Control,c.,"Collect, validate, and verify identity evidence.",NIST.SP.800-53r5.pdf
IR-1::a.,IR-1,Control,a.,"Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:",NIST.SP.800-53r5.pdf
IR-1::a.::1.,IR-1::a.,ControlItem,1.,[Selection (one or more): Organization-level; Mission/business process-level; System-level] incident response policy that:,NIST.SP.800-53r5.pdf
IR-1::a.::1.::(a),IR-1::a.::1.,ControlItem,(a),"Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",NIST.SP.800-53r5.pdf
IR-1::a.::1.::(b),IR-1::a.::1.,ControlItem,(b),"Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and",NIST.SP.800-53r5.pdf
IR-1::a.::2.,IR-1::a.,ControlItem,2.,Procedures to facilitate the implementation of the incident response policy and the associated incident response controls;,NIST.SP.800-53r5.pdf
IR-1::b.,IR-1,Control,b.,"Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the incident response policy and procedures; and",NIST.SP.800-53r5.pdf
IR-1::c.,IR-1,Control,c.,Review and update the current incident response:,NIST.SP.800-53r5.pdf
IR-1::c.::1.,IR-1::c.,ControlItem,1.,Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and,NIST.SP.800-53r5.pdf
IR-1::c.::2.,IR-1::c.,ControlItem,2.,Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,NIST.SP.800-53r5.pdf
IR-2::a.,IR-2,Control,a.,Provide incident response training to system users consistent with assigned roles and responsibilities:,NIST.SP.800-53r5.pdf
IR-2::a.::1.,IR-2::a.,ControlItem,1.,Within [Assignment: organization-defined time period] of assuming an incident response role or responsibility or acquiring system access;,NIST.SP.800-53r5.pdf
IR-2::a.::2.,IR-2::a.,ControlItem,2.,When required by system changes; and,NIST.SP.800-53r5.pdf
IR-2::a.::3.,IR-2::a.,ControlItem,3.,[Assignment: organization-defined frequency] thereafter; and,NIST.SP.800-53r5.pdf
IR-2::b.,IR-2,Control,b.,Review and update incident response training content [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,NIST.SP.800-53r5.pdf
IR-3(3)::(a),IR-3(3),ControlEnhancement,(a),Determine the effectiveness of incident response processes;,NIST.SP.800-53r5.pdf
IR-3(3)::(b),IR-3(3),ControlEnhancement,(b),Continuously improve incident response processes; and,NIST.SP.800-53r5.pdf
IR-3(3)::(c),IR-3(3),ControlEnhancement,(c),"Provide incident response measures and metrics that are accurate, consistent, and in a reproducible format.",NIST.SP.800-53r5.pdf
IR-4::a.,IR-4,Control,a.,"Implement an incident handling capability for incidents that is consistent with the incident response plan and includes preparation, detection and analysis, containment, eradication, and recovery;",NIST.SP.800-53r5.pdf
IR-4::b.,IR-4,Control,b.,Coordinate incident handling activities with contingency planning activities;,NIST.SP.800-53r5.pdf
IR-4::c.,IR-4,Control,c.,"Incorporate lessons learned from ongoing incident handling activities into incident response procedures, training, and testing, and implement the resulting changes accordingly; and",NIST.SP.800-53r5.pdf
IR-4::d.,IR-4,Control,d.,"Ensure the rigor, intensity, scope, and results of incident handling activities are comparable and predictable across the organization.",NIST.SP.800-53r5.pdf
IR-4(15)::(a),IR-4(15),ControlEnhancement,(a),Manage public relations associated with an incident; and,NIST.SP.800-53r5.pdf
IR-4(15)::(b),IR-4(15),ControlEnhancement,(b),Employ measures to repair the reputation of the organization.,NIST.SP.800-53r5.pdf
IR-6::a.,IR-6,Control,a.,Require personnel to report suspected incidents to the organizational incident response capability within [Assignment: organization-defined time period]; and,NIST.SP.800-53r5.pdf
IR-6::b.,IR-6,Control,b.,Report incident information to [Assignment: organization-defined authorities].,NIST.SP.800-53r5.pdf
IR-7(2)::(a),IR-7(2),ControlEnhancement,(a),"Establish a direct, cooperative relationship between its incident response capability and external providers of system protection capability; and",NIST.SP.800-53r5.pdf
IR-7(2)::(b),IR-7(2),ControlEnhancement,(b),Identify organizational incident response team members to the external providers.,NIST.SP.800-53r5.pdf
IR-8::a.,IR-8,Control,a.,Develop an incident response plan that:,NIST.SP.800-53r5.pdf
IR-8::a.::1.,IR-8::a.,ControlItem,1.,Provides the organization with a roadmap for implementing its incident response capability;,NIST.SP.800-53r5.pdf
IR-8::a.::2.,IR-8::a.,ControlItem,2.,Describes the structure and organization of the incident response capability;,NIST.SP.800-53r5.pdf
IR-8::a.::3.,IR-8::a.,ControlItem,3.,Provides a high-level approach for how the incident response capability fits into the overall organization;,NIST.SP.800-53r5.pdf
IR-8::a.::4.,IR-8::a.,ControlItem,4.,"Meets the unique requirements of the organization, which relate to mission, size, structure, and functions;",NIST.SP.800-53r5.pdf
IR-8::a.::5.,IR-8::a.,ControlItem,5.,Defines reportable incidents;,NIST.SP.800-53r5.pdf
IR-8::a.::6.,IR-8::a.,ControlItem,6.,Provides metrics for measuring the incident response capability within the organization;,NIST.SP.800-53r5.pdf
IR-8::a.::7.,IR-8::a.,ControlItem,7.,Defines the resources and management support needed to effectively maintain and mature an incident response capability;,NIST.SP.800-53r5.pdf
IR-8::a.::8.,IR-8::a.,ControlItem,8.,Addresses the sharing of incident information;,NIST.SP.800-53r5.pdf
IR-8::a.::9.,IR-8::a.,ControlItem,9.,Is reviewed and approved by [Assignment: organization-defined personnel or roles] [Assignment: organization-defined frequency]; and,NIST.SP.800-53r5.pdf
IR-8::a.::10.,IR-8::a.,ControlItem,10.,"Explicitly designates responsibility for incident response to [Assignment: organization-defined entities, personnel, or roles].",NIST.SP.800-53r5.pdf
IR-8::b.,IR-8,Control,b.,Distribute copies of the incident response plan to [Assignment: organization-defined incident response personnel (identified by name and/or by role) and organizational elements];,NIST.SP.800-53r5.pdf
IR-8::c.,IR-8,Control,c.,"Update the incident response plan to address system and organizational changes or problems encountered during plan implementation, execution, or testing;",NIST.SP.800-53r5.pdf
IR-8::d.,IR-8,Control,d.,Communicate incident response plan changes to [Assignment: organization-defined incident response personnel (identified by name and/or by role) and organizational elements]; and,NIST.SP.800-53r5.pdf
IR-8::e.,IR-8,Control,e.,Protect the incident response plan from unauthorized disclosure and modification.,NIST.SP.800-53r5.pdf
IR-8(1)::(a),IR-8(1),ControlEnhancement,(a),"A process to determine if notice to individuals or other organizations, including oversight organizations, is needed;",NIST.SP.800-53r5.pdf
IR-8(1)::(b),IR-8(1),ControlEnhancement,(b),"An assessment process to determine the extent of the harm, embarrassment, inconvenience, or unfairness to affected individuals and any mechanisms to mitigate such harms; and",NIST.SP.800-53r5.pdf
IR-8(1)::(c),IR-8(1),ControlEnhancement,(c),Identification of applicable privacy requirements.,NIST.SP.800-53r5.pdf
IR-9::a.,IR-9,Control,a.,Assigning [Assignment: organization-defined personnel or roles] with responsibility for responding to information spills;,NIST.SP.800-53r5.pdf
IR-9::b.,IR-9,Control,b.,Identifying the specific information involved in the system contamination;,NIST.SP.800-53r5.pdf
IR-9::c.,IR-9,Control,c.,Alerting [Assignment: organization-defined personnel or roles] of the information spill using a method of communication not associated with the spill;,NIST.SP.800-53r5.pdf
IR-9::d.,IR-9,Control,d.,Isolating the contaminated system or system component;,NIST.SP.800-53r5.pdf
IR-9::e.,IR-9,Control,e.,Eradicating the information from the contaminated system or component;,NIST.SP.800-53r5.pdf
IR-9::f.,IR-9,Control,f.,Identifying other systems or system components that may have been subsequently contaminated; and,NIST.SP.800-53r5.pdf
IR-9::g.,IR-9,Control,g.,Performing the following additional actions: [Assignment: organization-defined actions].,NIST.SP.800-53r5.pdf
MA-1-ITEM-a,MA-1,Control,a.,"Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:",NIST.SP.800-53r5.pdf
MA-1-ITEM-a1,MA-1,Control,a.1.,[Selection (one or more): Organization-level; Mission/business process-level; System-level] maintenance policy that:,NIST.SP.800-53r5.pdf
MA-1-ITEM-a1a,MA-1,Control,a.1.(a),"Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",NIST.SP.800-53r5.pdf
