objective_id,objective_name,objective_definition,related_functions
PRED,Predictability,"Enabling reliable assumptions by individuals, owners, and operators about data and their processing by a system, product, or service.","ID-P,GV-P,CT-P,CM-P,PR-P"
MGMT,Manageability,"Providing the capability for granular administration of data, including alteration, deletion, and selective disclosure.","ID-P,GV-P,CT-P"
DISA,Disassociability,"Enabling the processing of data or events without association to individuals or devices beyond the operational requirements of the system.","ID-P,GV-P,CT-P"
