ruleid,name,citation,description
PRIVACY_RULE,Financial Privacy Rule,16 CFR Part 313,Governs disclosure of nonpublic personal information
SAFEGUARDS_RULE,Safeguards Rule,16 CFR Part 314,Requires comprehensive information security program
