source_requirement_id,relationship_type,target_data_id
GLBA-313.4-R1,APPLIESTODATA,NPI
GLBA-313.10-R1,APPLIESTODATA,NPI
GLBA-314.4-R1,APPLIESTODATA,NPI
GLBA-314.4-R2,APPLIESTODATA,NPI
GLBA-314.4-R3,APPLIESTODATA,NPI
