source_requirement_id,relationship_type,target_enforcement_id
GLBA-313.4-R1,ENFORCEDBY,EA-FTC_CIVIL_PENALTY
GLBA-313.10-R1,ENFORCEDBY,EA-FTC_CIVIL_PENALTY
GLBA-314.4-R1,ENFORCEDBY,EA-BANKING_AGENCY_ACTION
GLBA-314.4-R2,ENFORCEDBY,EA-BANKING_AGENCY_ACTION
GLBA-314.4-R3,ENFORCEDBY,EA-CEASE_AND_DESIST
