annexrequirement_id,annex_id,requirement_kind,label,parent_requirement_id,text,source_document
ANNEX-I.chapeau,ANNEX-I,chapeau,,,Qualified certificates for electronic signatures shall contain:,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-I.chapeau.a,ANNEX-I,point,a,ANNEX-I.chapeau,"an indication, at least in a form suitable for automated processing, that the certificate has been issued as a qualified certificate for electronic signature;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-I.chapeau.b,ANNEX-I,point,b,ANNEX-I.chapeau,"a set of data unambiguously representing the qualified trust service provider issuing the qualified certificates including at least, the Member State in which that provider is established and:",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-I.chapeau.b.—,ANNEX-I,indent,—,ANNEX-I.chapeau.b,"for a legal person: the name and, where applicable, registration number as stated in the official records,",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-I.chapeau.b.—#2,ANNEX-I,indent,—,ANNEX-I.chapeau.b,for a natural person: the person’s name;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-I.chapeau.c,ANNEX-I,point,c,ANNEX-I.chapeau,"at least the name of the signatory, or a pseudonym; if a pseudonym is used, it shall be clearly indicated;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-I.chapeau.d,ANNEX-I,point,d,ANNEX-I.chapeau,electronic signature validation data that corresponds to the electronic signature creation data;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-I.chapeau.e,ANNEX-I,point,e,ANNEX-I.chapeau,details of the beginning and end of the certificate’s period of validity;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-I.chapeau.f,ANNEX-I,point,f,ANNEX-I.chapeau,"the certificate identity code, which must be unique for the qualified trust service provider;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-I.chapeau.g,ANNEX-I,point,g,ANNEX-I.chapeau,the advanced electronic signature or advanced electronic seal of the issuing qualified trust service provider;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
