section_id,section_number,title,chapter_id,source_document
CH-III-SEC-1,1,General provisions,CH-III,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
CH-III-SEC-2,2,Supervision,CH-III,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
CH-III-SEC-3,3,Qualified trust services,CH-III,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
CH-III-SEC-4,4,Electronic signatures,CH-III,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
CH-III-SEC-5,5,Electronic seals,CH-III,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
CH-III-SEC-6,6,Electronic time stamps,CH-III,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
CH-III-SEC-7,7,Electronic registered delivery services,CH-III,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
CH-III-SEC-8,8,Website authentication,CH-III,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
