provision_id,article_id,article_number,provision_kind,label,parent_provision_id,text,source_document
ART-1.chapeau,ART-1,1,chapeau,,,With a view to ensuring the proper functioning of the internal market while aiming at an adequate level of security of electronic identification means and trust services this Regulation:,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-1.chapeau.a,ART-1,1,point,a,ART-1.chapeau,lays down the conditions under which Member States recognise electronic identification means of natural and legal persons falling under a notified electronic identification scheme of another Member State;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-1.chapeau.b,ART-1,1,point,b,ART-1.chapeau,"lays down rules for trust services, in particular for electronic transactions; and",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-1.chapeau.c,ART-1,1,point,c,ART-1.chapeau,"establishes a legal framework for electronic signatures, electronic seals, electronic time stamps, electronic documents, electronic registered delivery services and certificate services for website authentication.",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-2.1,ART-2,2,paragraph,1,,"This Regulation applies to electronic identification schemes that have been notified by a Member State, and to trust service providers that are established in the Union.",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-2.2,ART-2,2,paragraph,2,,This Regulation does not apply to the provision of trust services that are used exclusively within closed systems resulting from national law or from agreements between a defined set of participants.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-2.3,ART-2,2,paragraph,3,,This Regulation does not affect national or Union law related to the conclusion and validity of contracts or other legal or procedural obligations relating to form.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau,ART-3,3,chapeau,,,"For the purposes of this Regulation, the following definitions apply:",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.1,ART-3,3,point,1,ART-3.chapeau,"‘electronic identification’ means the process of using person identification data in electronic form uniquely representing either a natural or legal person, or a natural person representing a legal person;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.2,ART-3,3,point,2,ART-3.chapeau,‘electronic identification means’ means a material and/or immaterial unit containing person identification data and which is used for authentication for an online service;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.3,ART-3,3,point,3,ART-3.chapeau,"‘person identification data’ means a set of data enabling the identity of a natural or legal person, or a natural person representing a legal person to be established;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.4,ART-3,3,point,4,ART-3.chapeau,"‘electronic identification scheme’ means a system for electronic identification under which electronic identification means are issued to natural or legal persons, or natural persons representing legal persons;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.5,ART-3,3,point,5,ART-3.chapeau,"‘authentication’ means an electronic process that enables the electronic identification of a natural or legal person, or the origin and integrity of data in electronic form to be confirmed;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.6,ART-3,3,point,6,ART-3.chapeau,‘relying party’ means a natural or legal person that relies upon an electronic identification or a trust service;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.7,ART-3,3,point,7,ART-3.chapeau,"‘public sector body’ means a state, regional or local authority, a body governed by public law or an association formed by one or several such authorities or one or several such bodies governed by public law, or a private entity mandated by at least one of those authorities, bodies or associations to provide public services, when acting under such a mandate;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.8,ART-3,3,point,8,ART-3.chapeau,‘body governed by public law’ means a body defined in point (4) of Article 2(1) of Directive 2014/24/EU of the European Parliament and of the Council (1);,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.9,ART-3,3,point,9,ART-3.chapeau,‘signatory’ means a natural person who creates an electronic signature;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.10,ART-3,3,point,10,ART-3.chapeau,‘electronic signature’ means data in electronic form which is attached to or logically associated with other data in electronic form and which is used by the signatory to sign;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.11,ART-3,3,point,11,ART-3.chapeau,‘advanced electronic signature’ means an electronic signature which meets the requirements set out in Article 26;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.12,ART-3,3,point,12,ART-3.chapeau,"‘qualified electronic signature’ means an advanced electronic signature that is created by a qualified electronic signature creation device, and which is based on a qualified certificate for electronic signatures;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.13,ART-3,3,point,13,ART-3.chapeau,‘electronic signature creation data’ means unique data which is used by the signatory to create an electronic signature;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.14,ART-3,3,point,14,ART-3.chapeau,‘certificate for electronic signature’ means an electronic attestation which links electronic signature validation data to a natural person and confirms at least the name or the pseudonym of that person;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.15,ART-3,3,point,15,ART-3.chapeau,"‘qualified certificate for electronic signature’ means a certificate for electronic signatures, that is issued by a qualified trust service provider and meets the requirements laid down in Annex I;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
