definition_id,definition_number,term,definition_text,full_text,defined_in_article_id,source_document
DEF-1,1,electronic identification,"the process of using person identification data in electronic form uniquely representing either a natural or legal person, or a natural person representing a legal person","‘electronic identification’ means the process of using person identification data in electronic form uniquely representing either a natural or legal person, or a natural person representing a legal person;",ART-3,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
DEF-2,2,electronic identification means,a material and/or immaterial unit containing person identification data and which is used for authentication for an online service,‘electronic identification means’ means a material and/or immaterial unit containing person identification data and which is used for authentication for an online service;,ART-3,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
DEF-3,3,person identification data,"a set of data enabling the identity of a natural or legal person, or a natural person representing a legal person to be established","‘person identification data’ means a set of data enabling the identity of a natural or legal person, or a natural person representing a legal person to be established;",ART-3,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
DEF-4,4,electronic identification scheme,"a system for electronic identification under which electronic identification means are issued to natural or legal persons, or natural persons representing legal persons","‘electronic identification scheme’ means a system for electronic identification under which electronic identification means are issued to natural or legal persons, or natural persons representing legal persons;",ART-3,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
DEF-5,5,authentication,"an electronic process that enables the electronic identification of a natural or legal person, or the origin and integrity of data in electronic form to be confirmed","‘authentication’ means an electronic process that enables the electronic identification of a natural or legal person, or the origin and integrity of data in electronic form to be confirmed;",ART-3,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
DEF-6,6,relying party,a natural or legal person that relies upon an electronic identification or a trust service,‘relying party’ means a natural or legal person that relies upon an electronic identification or a trust service;,ART-3,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
DEF-7,7,public sector body,"a state, regional or local authority, a body governed by public law or an association formed by one or several such authorities or one or several such bodies governed by public law, or a private entity mandated by at least one of those authorities, bodies or associations to provide public services, when acting under such a mandate","‘public sector body’ means a state, regional or local authority, a body governed by public law or an association formed by one or several such authorities or one or several such bodies governed by public law, or a private entity mandated by at least one of those authorities, bodies or associations to provide public services, when acting under such a mandate;",ART-3,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
DEF-8,8,body governed by public law,a body defined in point (4) of Article 2(1) of Directive 2014/24/EU of the European Parliament and of the Council (1),‘body governed by public law’ means a body defined in point (4) of Article 2(1) of Directive 2014/24/EU of the European Parliament and of the Council (1);,ART-3,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
DEF-9,9,signatory,a natural person who creates an electronic signature,‘signatory’ means a natural person who creates an electronic signature;,ART-3,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
DEF-10,10,electronic signature,data in electronic form which is attached to or logically associated with other data in electronic form and which is used by the signatory to sign,‘electronic signature’ means data in electronic form which is attached to or logically associated with other data in electronic form and which is used by the signatory to sign;,ART-3,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
