id,name,description
SUB-A,Subpart A,Introduction
SUB-B,Subpart B,General Provisions
SUB-C,Subpart C,Uses and Disclosures With Patient Consent
SUB-D,Subpart D,Uses and Disclosures Without Patient Consent
SUB-E,Subpart E,Court Orders Authorizing Use and Disclosure
