usc_section_id,number,citation,heading,text,instrument_id,source_document
USC-3551,3551,44 U.S.C. § 3551,Purposes,The purposes of this subchapter are to—,FISMA-2014,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
USC-3552,3552,44 U.S.C. § 3552,Definitions,,FISMA-2014,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
USC-3553,3553,44 U.S.C. § 3553,Authority and functions of the Director and the Secretary,,FISMA-2014,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
USC-3554,3554,44 U.S.C. § 3554,Federal agency responsibilities,,FISMA-2014,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
USC-3555,3555,44 U.S.C. § 3555,Annual independent evaluation,,FISMA-2014,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
USC-3556,3556,44 U.S.C. § 3556,Federal information security incident center,,FISMA-2014,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
USC-3557,3557,44 U.S.C. § 3557,National security systems,The head of each agency operating or exercising control of a national security system shall be responsible for ensuring that the agency—,FISMA-2014,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
USC-3558,3558,44 U.S.C. § 3558,Effect on existing law,"Nothing in this subchapter, section 11331 of title 40, or section 20 of the National Standards and Technology Act (15 U.S.C. 278g– 3) may be construed as affecting the authority of the President, the Office of Management and Budget or the Director thereof, the National Institute of Standards and Technology, or the head of any agency, with respect to the authorized use or disclosure of information, including with regard to the protection of personal privacy under section 552a of title 5, the disclosure of information under section 552 of title 5, the management and disposition of records under chapters 29, 31, or 33 of title 44, the management of information resources under subchapter I of chapter 35 of this title, or the disclosure of information to the Congress or the Comptroller General of the United States.’’.",FISMA-2014,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
