act_section_id,number,heading,text,instrument_id,source_document
ACT-SEC-1,1,SHORT TITLE.,This Act may be cited as the ‘‘Federal Information Security Modernization Act of 2014’’.,FISMA-2014,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-SEC-2,2,FISMA REFORM.,,FISMA-2014,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
