source_id,target_id,rel_type,maturity_level
IG-1,IGCRIT-1-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-1-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-1,IGCRIT-1-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-1-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-1,IGCRIT-1-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-1-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-1,IGCRIT-1-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-1-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-1,IGCRIT-1-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-1-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-2,IGCRIT-2-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-2-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-2,IGCRIT-2-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-2-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-2,IGCRIT-2-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-2-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-2,IGCRIT-2-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-2-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-2,IGCRIT-2-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-2-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-3,IGCRIT-3-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-3-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-3,IGCRIT-3-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-3-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-3,IGCRIT-3-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-3-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-3,IGCRIT-3-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-3-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-3,IGCRIT-3-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-3-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-5,IGCRIT-5-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-5-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-5,IGCRIT-5-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-5-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-5,IGCRIT-5-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-5-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-5,IGCRIT-5-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-5-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-5,IGCRIT-5-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-5-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-7,IGCRIT-7-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-7-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-7,IGCRIT-7-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-7-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-7,IGCRIT-7-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-7-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-7,IGCRIT-7-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-7-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-7,IGCRIT-7-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-7-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-8,IGCRIT-8-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-8-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-8,IGCRIT-8-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-8-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-8,IGCRIT-8-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-8-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-8,IGCRIT-8-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-8-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-8,IGCRIT-8-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-8-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-9,IGCRIT-9-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-9-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-9,IGCRIT-9-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-9-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-9,IGCRIT-9-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-9-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-9,IGCRIT-9-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-9-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-9,IGCRIT-9-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-9-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-10,IGCRIT-10-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-10-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-10,IGCRIT-10-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-10-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-10,IGCRIT-10-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-10-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-10,IGCRIT-10-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-10-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-10,IGCRIT-10-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-10-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-11,IGCRIT-11-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-11-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
