act_clause_id,act_section_id,path,kind,label,citation,text,source_document
ACT-2(a),ACT-SEC-2,(a),subsection,a,section 2(a) of Public Law 113-283,"(a) IN GENERAL.—Chapter 35 of title 44, United States Code, is amended by striking subchapters II and III and inserting the following:","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(b),ACT-SEC-2,(b),subsection,b,section 2(b) of Public Law 113-283,(b) MAJOR INCIDENT.—The Director of the Office of Management and Budget shall—,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(b)(1),ACT-SEC-2,(b)(1),paragraph,1,section 2(b)(1) of Public Law 113-283,"(1) develop guidance on what constitutes a major incident for purposes of section 3554(b) of title 44, United States Code, as added by subsection (a); and","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(b)(2),ACT-SEC-2,(b)(2),paragraph,2,section 2(b)(2) of Public Law 113-283,(2) provide to Congress periodic briefings on the status of the developing of the guidance until the date on which the guidance is issued.,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(c),ACT-SEC-2,(c),subsection,c,section 2(c) of Public Law 113-283,"(c) CONTINUOUS DIAGNOSTICS.—During the 2 year period beginning on the date of enactment of this Act, the Director of the Office of Management and Budget, with the assistance of the Secretary of Homeland Security, shall include in each report submitted under section 3553(c) of title 44, United States Code, as added by subsection (a), an assessment of the adoption by agencies of continuous diagnostics technologies, including through the Continuous Diagnostics and Mitigation program, and other advanced security tools to provide information security, including challenges to the adoption of such technologies or security tools.","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(d),ACT-SEC-2,(d),subsection,d,section 2(d) of Public Law 113-283,(d) BREACHES.—,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(d)(1),ACT-SEC-2,(d)(1),paragraph,1,section 2(d)(1) of Public Law 113-283,(1) REQUIREMENTS.—The Director of the Office of Management and Budget shall ensure that data breach notification policies and guidelines are updated periodically and require—,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(d)(1)(A),ACT-SEC-2,(d)(1)(A),subparagraph,A,section 2(d)(1)(A) of Public Law 113-283,"(A) except as provided in paragraph (4), notice by the affected agency to each committee of Congress described in section 3554(c)(1) of title 44, United States Code, as added by subsection (a), the Committee on the Judiciary of the Senate, and the Committee on the Judiciary of the House of Representatives, which shall—","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(d)(1)(A)(i),ACT-SEC-2,(d)(1)(A)(i),clause,i,section 2(d)(1)(A)(i) of Public Law 113-283,(i) be provided expeditiously and not later than 30 days after the date on which the agency discovered the unauthorized acquisition or access; and,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(d)(1)(A)(ii),ACT-SEC-2,(d)(1)(A)(ii),clause,ii,section 2(d)(1)(A)(ii) of Public Law 113-283,(ii) include—,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
