bill_title_id,number,heading,instrument_id,source_document
BILL-TITLE-I,I,UPDATES TO FISMA,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-TITLE-II,II,IMPROVING FEDERAL,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-TITLE-III,III,PILOT PROGRAMS TO,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
