bill_section_id,number,heading,text,bill_title_id,instrument_id,source_document
BILL-SEC-3,3,DEFINITIONS.,"In this Act, unless otherwise specified:",,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-SEC-101,101,TITLE 44 AMENDMENTS.,,BILL-TITLE-I,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-SEC-102,102,AMENDMENTS TO SUBTITLE III OF TITLE 40.,,BILL-TITLE-I,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-SEC-103,103,ACTIONS TO ENHANCE FEDERAL INCIDENT RE- SPONSE.,,BILL-TITLE-I,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-SEC-104,104,ADDITIONAL GUIDANCE TO AGENCIES ON FISMA UPDATES.,"Not later than 1 year after the date of enactment of this Act, the Director, in coordination with the Director of the Cybersecurity and Infrastructure Security Agency, shall issue guidance for agencies on—",BILL-TITLE-I,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-SEC-105,105,AGENCY REQUIREMENTS TO NOTIFY ENTITIES IMPACTED BY INCIDENTS.,"Not later than 180 days after the date of enactment of this Act, the Director shall issue guidance that requires agencies to notify entities that are compelled to share sensitive information with the agency of an incident that impacts—",BILL-TITLE-I,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-SEC-201,201,EVALUATION OF EFFECTIVENESS OF STANDARDS.,,BILL-TITLE-II,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-SEC-202,202,MOBILE SECURITY STANDARDS.,,BILL-TITLE-II,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-SEC-203,203,QUANTITATIVE CYBERSECURITY METRICS.,,BILL-TITLE-II,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-SEC-204,204,DATA AND LOGGING RETENTION FOR INCIDENT RESPONSE.,,BILL-TITLE-II,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-SEC-205,205,CISA AGENCY ADVISORS.,,BILL-TITLE-II,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-SEC-206,206,FEDERAL PENETRATION TESTING POLICY.,,BILL-TITLE-II,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-SEC-207,207,ONGOING THREAT HUNTING PROGRAM.,,BILL-TITLE-II,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-SEC-208,208,CODIFYING VULNERABILITY DISCLOSURE PRO- GRAMS.,,BILL-TITLE-II,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-SEC-209,209,IMPLEMENTING PRESUMPTION OF COMPROMISE AND ZERO TRUST ARCHITECTURES.,,BILL-TITLE-II,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-SEC-210,210,AUTOMATION REPORTS.,,BILL-TITLE-II,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-SEC-211,211,EXTENSION OF FEDERAL ACQUISITION SECURITY COUNCIL.,"Section 1328 of title 41, United States Code, is amended by striking ‘‘the date’’ and all that follows and inserting ‘‘December 31, 2026.’’. ENHANCE FEDERAL CYBERSECURITY",BILL-TITLE-II,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-SEC-301,301,CONTINUOUS INDEPENDENT FISMA EVALUATION PILOT.,,BILL-TITLE-III,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-SEC-302,302,ACTIVE CYBER DEFENSIVE PILOT.,,BILL-TITLE-III,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
BILL-SEC-303,303,SECURITY OPERATIONS CENTER AS A SERVICE PILOT.,,BILL-TITLE-III,S2902-2021,"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
