ig_function_id,name,instrument_id,source_document
IGFUNC-GOVERN,Govern,IG-FY25,USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGFUNC-IDENTIFY,Identify,IG-FY25,USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGFUNC-PROTECT,Protect,IG-FY25,USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGFUNC-DETECT,Detect,IG-FY25,USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGFUNC-RESPOND,Respond,IG-FY25,USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGFUNC-RECOVER,Recover,IG-FY25,USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
