saop_question_id,number,saop_section_id,text,source_document
SAOP-1a,1a,SAOP-SEC-1,"Did the agency have a Senior Agency Official for Privacy (SAOP) designated by the head of the agency, as required by Executive Order 13719 and OMB guidance, for the duration of the reporting period?",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-1b,1b,SAOP-SEC-1,"Did the agency ensure that the name, title, and contact information of the SAOP reported to OMB on the Connect.gov (formerly MAX.gov) website of the Federal Privacy Council remained up-to-date?",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-1c,1c,SAOP-SEC-1,"The SAOP is required to have the necessary position, expertise, and authority to serve in the role. Which of the following requirements were met? (Select all that apply.)",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-1d,1d,SAOP-SEC-1,For which of the following areas did the SAOP have the necessary role and responsibilities within the agency? (Select all that apply.),USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-1e,1e,SAOP-SEC-1,Did the agency maintain an up-to-date privacy program plan?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-1f,1f,SAOP-SEC-1,For which of the following areas did the agency’s privacy program plan include a description? (Select all that apply.),USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-2a,2a,SAOP-SEC-2,"Did the agency maintain an inventory of the agency’s information systems that create, collect, use, process, store, maintain, disseminate, disclose, or dispose of personally identifiable information (PII)?",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-2b,2b,SAOP-SEC-2,"What is the number of information systems reported in response to question 1.1 of the FY 2025 Chief Information Officer FISMA Metrics that were used during the reporting period to create, collect, use, process, store, maintain, disseminate, disclose, or dispose of PII?",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-2c,2c,SAOP-SEC-2,What is the number of information systems reported in question 2b that the agency authorized or reauthorized to operate during the reporting period?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-2d,2d,SAOP-SEC-2,"What is the number of information systems reported in question 2c where the SAOP reviewed and approved the categorization of the information system in accordance with OMB guidance, as well as NIST FIPS Publication and NIST Special Publication 800-60?",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-2e,2e,SAOP-SEC-2,What is the number of information systems reported in question 2c where the SAOP reviewed and approved a system privacy plan for the information system prior to the information system’s authorization or reauthorization?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-2f,2f,SAOP-SEC-2,What is the number of information systems reported in question 2c where the SAOP conducted and documented the results of privacy control assessments to verify the continued effectiveness of all privacy controls selected and implemented for the information system prior to the information system’s authorization or reauthorization?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-2g,2g,SAOP-SEC-2,"What is the number of information systems reported in question 2c where the SAOP reviewed the information system’s authorization package to ensure compliance with applicable privacy requirements and manage privacy risks, prior to the authorizing official making a risk determination and acceptance decision?",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-3a,3a,SAOP-SEC-3,"Did the agency maintain an inventory of the agency’s information technology (IT) systems that create, collect, use, process, store, maintain, disseminate, disclose, or dispose of PII?",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-3b,3b,SAOP-SEC-3,"What is the number of IT systems maintained, operated, or used by the agency (or by another entity on behalf of the agency) during the reporting period for which the agency was required to conduct a privacy impact assessment (PIA) under the E-Government Act of 2002?",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-3c,3c,SAOP-SEC-3,What is the number of IT systems reported in question 3b that were covered by an up-to-date PIA?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-3d,3d,SAOP-SEC-3,Which of the following requirements were included in the agency’s written policy for PIAs? (Select all that apply.),USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-3e,3e,SAOP-SEC-3,For which of the following actions did the agency have a process or procedure? (Select all that apply.),USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-4a,4a,SAOP-SEC-4,What is the number of Privacy Act systems of records maintained by the agency during the reporting period (including those operated by a service provider or a contractor on behalf of the agency)?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-4b,4b,SAOP-SEC-4,What is the number of Privacy Act systems of records reported in question 4a that were covered by up-to-date system of records notices (SORNs) published in the Federal Register?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-4c,4c,SAOP-SEC-4,Did the agency have a process for determining whether a new or revised SORN is required when the agency collects or maintains information about individuals?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-4d,4d,SAOP-SEC-4,For which of the following actions did the agency have a process? (Select all that apply.),USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
