instrument_id,title,citation,document_type,status,date,issued_by,source_document
FISMA-2014,Federal Information Security Modernization Act of 2014,"Public Law 113-283; 128 STAT. 3073; 44 U.S.C. ch. 35, subch. II",Enacted public law,Enacted,"Approved December 18, 2014",113th Congress (S. 2521),"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
S2902-2021,Federal Information Security Modernization Act of 2021,"S. 2902, 117th Congress, 1st Session","Bill (introduced, not enacted)",BILL - introduced and read twice and referred to the Committee on Homeland Security and Governmental Affairs,"SEPTEMBER 29, 2021",Mr. PETERS (for himself and Mr. PORTMAN),"USA_FISMA_Federal_Information_Security_Modernization_Act1.txt (S. 2902, 117th Congress, 1st Session)"
CIO-FY25,FY 2025 CIO FISMA Metrics,Version 1.1,Reporting metrics document,Issued,December 2024 (v1.0 12/6/2024; v1.1 1/7/2025),"OMB, CISA, FMSC",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
SAOP-FY25,Fiscal Year 2025 Senior Agency Official for Privacy Federal Information Security Modernization Act of 2014 Reporting Metrics,,Reporting metrics document,Issued,August 2025,OMB,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
IG-FY25,FY 2025 Inspector General Federal Information Security Modernization Act of 2014 (FISMA) Reporting Metrics,v2.0,Reporting metrics document,Issued,"April 3, 2025",OMB and CIGIE,USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGGUIDE-FY25,FY 2025 Inspector General Federal Information Security Modernization Act of 2014 (FISMA) Metrics Evaluator's Guide,VERSION 1.0,Evaluation guidance document,Issued,"MAY 5, 2025","CIGIE, in coordination with OMB, DHS, and the Federal CIO and CISO councils",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
