ig_maturity_criterion_id,ig_metric_id,maturity_level_id,maturity_level,text,source_document
IGCRIT-1-1,IG-1,ML-1,Ad Hoc,The organization has not defined a formal process for developing and maintaining current and target cybersecurity profile(s).,USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-1-2,IG-1,ML-2,Defined,"The organization has defined policies and procedures for developing and maintaining current and target profile(s) that includes, at a minimum, consideration of the organization’s mission objectives, threat landscape, resources (including personnel), and constraints. The organization has determined the scope of its profile(s) (e.g. Entity level, division level, process level, system level).",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-1-3,IG-1,ML-3,Consistently Implemented,The organization develops and maintains current and target cybersecurity profile(s). The target profile(s) considers anticipated changes to the organization’s cybersecurity posture. The organization assesses the gaps between its current and target profiles and creates and implements a prioritized action plan.,USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-1-4,IG-1,ML-4,Managed and Measurable,The organization periodically monitors and reports on progress in reaching its target profiles through measurable objectives. Cybersecurity profiles align with the organization’s risk strategy and are used to align security architectures and investments. The organization refines its organizational profiles periodically based on known risk exposure and residual risk.,USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-1-5,IG-1,ML-5,Optimized,"The organization continuously monitors (i.e. near real-time) the achievement of cybersecurity risk management objectives, leveraging predictive analytics and threat intelligence to adjust its target profiles, when necessary. As applicable, the organization uses its current profile to document and communicate the organization’s cyber capabilities with external stakeholders. As applicable, the organization uses its target profile to express the organization’s cyber risk management requirements and expectations with external stakeholders.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-2-1,IG-2,ML-1,Ad Hoc,"The organization has not developed a risk management strategy that defines the organization’s priorities, constraints, risk tolerance and appetite statements, and assumptions.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-2-2,IG-2,ML-2,Defined,"The organization has developed a risk management strategy that includes the organization’s priorities, constraints, risk tolerance and appetite statements, and assumptions. Risk management objectives have been established and agreed to by organizational stakeholders. Lines of communication are established for cybersecurity risks, including risks from suppliers and other third-parties.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-2-3,IG-2,ML-3,Consistently Implemented,"The organization consistently implements its risk management strategy at the organizational, mission/business process, and system levels. The organization consistently evaluates and adjusts its cybersecurity risk management strategy based on its threat environment and organization wide cyber and privacy risk assessment. The organization consistently calculates, documents, categorizes and prioritizes cybersecurity risks.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-2-4,IG-2,ML-4,Managed and Measurable,"The organization uses qualitative and quantitative data to assess cybersecurity risk management effectiveness. Metrics, dashboards, and automated tools inform adjustments to the strategy. The organization’s cyber risk management strategy integrates security and privacy programs with the management control systems established in the organization’s enterprise risk management strategy.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-2-5,IG-2,ML-5,Optimized,"The organization continuously monitors its cybersecurity risk management program in near real-time, leveraging predictive analytics and threat intelligence to proactively adjust strategies. Governance structures ensure near real-time decisionmaking. The cybersecurity risk management program is fully integrated at the organizational, mission/business process, and information system levels, as well as with the entity’s enterprise risk management program.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-3-1,IG-3,ML-1,Ad Hoc,"The organization has not defined and communicated organization-wide roles, responsibilities, and authorities related to cybersecurity risk management.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-3-2,IG-3,ML-2,Defined,"The organizational has established roles, responsibilities, and authorities related to cybersecurity risk management and has communicated that leadership is responsible and accountable for cybersecurity risk.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
