source_id,target_id,rel_type,basis_text
CIO-FY25,USC-3554,REPORTS_UNDER,"The Federal Information Security Modernization Act (FISMA) of 2014 (44 U.S.C. § 3554) requires the head of each federal agency to provide information security protections commensurate with the risk and magnitude of the harm resulting from unauthorized access, use, disclosure, disruption, modification, or destruction of information and information systems."
IG-FY25,USC-3555,REPORTS_UNDER,"The Federal Information Security Modernization Act of 2014 (FISMA) requires each Federal agency with an Inspector General (IG), or an independent external auditor, to conduct an annual independent evaluation to determine the effectiveness of the information security program and practices of its respective agency."
SAOP-FY25,FISMA-2014,REPORTS_UNDER,"OMB collects the annual Senior Agency Official for Privacy (SAOP) FISMA Metrics pursuant to the authority in the Federal Information Security Modernization Act of 2014, the Privacy Act of 1974, the Paperwork Reduction Act of 1995, the E-Government Act of 2002, Executive Order 13719, OMB Circular No. A-130, OMB Circular No. A-108, and other laws, regulations, and policies."
IGGUIDE-FY25,IG-FY25,COMPANION_DOCUMENT_TO,The guide is a companion document to the FY 2025 IG FISMA metrics and OMB M-25-04 which provides guidance to IGs to assist in their FISMA evaluations.
S2902-2021,FISMA-2014,WOULD_AMEND,"To modernize Federal information security management, and for other purposes."
