response_option_id,instrument_id,parent_id,text,source_document
OPT-CIO-001,CIO-FY25,CIO-1.5,[Source: FedRAMP] Bureau: the agency’s bureau / subcomponent that authorized,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
OPT-CIO-002,CIO-FY25,CIO-1.5,[Source: FedRAMP] FedRAMP Package ID: the ID assigned by the FedRAMP,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
OPT-CIO-003,CIO-FY25,CIO-1.5,[Source: FedRAMP] Cloud Services Provider: the name of the third-party company,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
OPT-CIO-004,CIO-FY25,CIO-1.5,[Source: FedRAMP] Cloud Services Offering: the specific offering of the cloud,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
OPT-CIO-005,CIO-FY25,CIO-1.5,[Source: FedRAMP] FedRAMP Status: the cloud service’s current authorization,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
OPT-CIO-006,CIO-FY25,CIO-1.5,ATO Date (Agency): the issuance date of the agency’s ATO for the cloud service.,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
OPT-CIO-007,CIO-FY25,CIO-1.5,ATO Expiration Date (Agency): the expiration date of the agency’s ATO for the,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
OPT-CIO-008,CIO-FY25,CIO-1.5,"[Source: FedRAMP] ATO Issuance Date (FedRAMP): the date the ATO was signed,",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
OPT-CIO-009,CIO-FY25,CIO-1.5,"[Source: FedRAMP] ATO Expiration Date (FedRAMP): the date the ATO expires,",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
OPT-CIO-010,CIO-FY25,CIO-1.5,[Source: FedRAMP] FedRAMP Authorization Date: the date when the cloud,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
OPT-CIO-011,CIO-FY25,CIO-1.5,[Source: FedRAMP] FedRAMP Annual Assessment Date: the date when the,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
OPT-CIO-012,CIO-FY25,CIO-1.5,[Source: FedRAMP] Service Type: (Categorical) the category at which the,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
OPT-CIO-013,CIO-FY25,CIO-1.5,[Source: FedRAMP] Service Model Type: (Categorical) Platform as a Service,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
OPT-CIO-014,CIO-FY25,CIO-1.5,[Source: FedRAMP] ATO on File: (Yes or No) whether the cloud service has an,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
OPT-CIO-015,CIO-FY25,CIO-1.5,Decommission?: (Yes or No) whether the pre-populated cloud service is no longer,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
OPT-CIO-016,CIO-FY25,CIO-3.1,Tier EL0 Not effective - Logging requirements focused on highest criticality are,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
OPT-CIO-017,CIO-FY25,CIO-3.1,Tier EL1 Basic - Logging requirements only focused on highest criticality,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
OPT-CIO-018,CIO-FY25,CIO-3.1,Tier EL2 Intermediate - Logging requirements focused on highest and,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
