assessor_best_practice_id,guide_metric_id,maturity_level,maturity_level_id,text,source_document
PRAC-001,GUIDE-3,Defined,ML-2,Review the security plan and ensure the organization has defined roles and responsibilities.,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-002,GUIDE-3,Consistently Implemented,ML-3,"Assessor should review (1) organizational charts and ensure defined roles are filled, and (2) organizations IT security budget to ensure it assesses gaps and vacancies and perform interviews with staff to determine adequate resources.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-003,GUIDE-3,Managed and measurable,ML-4,Assessor should evaluate whether the organization has defined metrics to assess roles and ensure individuals with roles have been assessed.,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-004,GUIDE-3,Optimized,ML-5,"Assessor should ensure evidence shows that strategies, policies, procedures, and input from oversight agencies are being implemented and incorporated into decision making.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-005,GUIDE-7,Defined,ML-2,"Assessors should determine whether the agency's system inventory management policies/procedures/processes address the addition of new systems (registration) and the retirement of old systems. Assessors should assess these policies and procedures to determine whether system boundary considerations (e.g., bundling, mobile devices, cloud deployments, etc.) are outlined for inventorying. These policy documents should also outline processes associated with registering information systems and maintaining the organization's information system inventory. Artifacts that support maintaining a current system inventory include those gathered from FISMA compliance tools (e.g., Cybersecurity Assessment and Management (CSAM) and other tools that may be deployed to capture component inventory information, infrastructure configuration management processes, SDLC processes, EA processes, and may be captured in a general Information Security Program policy.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-006,GUIDE-7,Consistently Implemented,ML-3,"As part of the analysis performed by the assessor for public facing web applications, utilize open-source tools/information (e.g., digitaldashboard.gov) to identify the agencies subdomains and related services and compare against the inventory of information maintained by the agency for completeness and accuracy. The assessor should determine if the inventory was approved and completed and maintained in accordance with agency policies and procedures. Determine if the system level inventories reconcile to the organization-wide system inventory. Evidence collected should demonstrate that the agency used the GSA list of non .gov agency websites to reconcile against its approved inventory of webapps/websites sites and performed appropriate actions to update and respond to newly discovered websites/apps. Assessors should use the CISA provided data about agencies’ internet-accessible assets data to evaluate the completeness of the public web app inventory. Assessors may also consider reviewing change control ticket, FedRAMP PMO communications, and EA documentation to confirm the completeness of the approved system inventory (including those hosted on-prem). Assessors should also consider reviewing FISMA compliance tools (e.g., CSAM) records, EA documentation, SDLC/change control records, etc. to ensure the accuracy and completeness of the inventory. Ensure to verify IT assets that are not regularly connected to the agencies’ networks. For examples, they can be: • New IT equipment that have not been put into service • Older IT equipment that are not being used, whether decommissioned or not • IT loaner equipment Agencies that use tools like CSAM as the source of their official IT inventory list do not track the above examples of IT assets since CSAM drops devices that are not connected for some time.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-007,GUIDE-7,Managed and measurable,ML-4,"Assessors should reconcile the list of systems in the organization’s approved inventory to ensure those systems are included in the organization's continuous monitoring processes to identify any variances. CDM artifacts, change control tickets, FedRAMP PMO communications, Web App domain registry information, and EA documentation should all be reflected in the system inventory.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-008,GUIDE-7,Optimized,ML-5,"Sample select systems from the organization's approved inventory to determine whether the agency can automatically identify system hardware/software components and supply chain vendors and make updates in a near-real time fashion. Assessors should also ensure that security tools (e.g., IDS, IPS, NAC etc.) and related configuration management solutions (e.g., CMDBs) are updated in real time as new systems are implemented.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-009,GUIDE-8,Defined,ML-2,"Assessors should determine whether the organization's policies and procedures define the requirements and processes for IT hardware asset management, including the standard data elements/taxonomy required to be recorded, reported, and accurately maintained. Assessors should also ensure that the organization is not double counting system components (please see CM-8 for more information on this). These policies and procedures should also include how automated asset discovery is planned or being used to inventorying IT hardware assets. In addition, assessors should verify that the agency has defined how the organization maintains an up-to-date inventory of the hardware assets connected to its network, and the organization's processes to control which hardware assets (including BYOD mobile devices) can connect to its network. These may be defined in SOPs and control baselines. Assessors should also ensure that these policies and procedures include the DHS BOD 23-01 requirements, such as automated asset discovery frequencies (minimum at least every 7 days), includes (at least) the entire IPv4 space used by the organization, collecting appropriate CISA approvals, and a requirement to perform automated asset recovery upon CISA demand within 72 hours.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-010,GUIDE-8,Consistently Implemented,ML-3,"Determine if the agency can reconcile its hardware asset inventory to the assets live on its network (i.e., through automated hardware asset discovery. Please note, any sample should include assets connected to the infrastructure physically, virtually, remotely, and those within cloud environments. The sample should also be inclusive of all assets that are regularly connected to the enterprise’s network infrastructure, even if they are not under control of the enterprise. In addition, the organization has made sufficient progress towards reporting at least 80% of its Government Furnished Equipment (GFE) through the DHS CDM program (e.g., if 80% is not achieved a reasonable plan to reach this goal has been documented and approved by the appropriate stakeholders). Assessors should also validate the completeness of the hardware inventory by reconciling the Information System Component Inventories against the hardware inventory. Assessors should also consider reviewing firewall/configuration logs to identify unauthorized hardware.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
