source_evidence_id,guide_metric_id,text,source_document
EVID-001,GUIDE-1,Cybersecurity program policy;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-002,GUIDE-1,"Cybersecurity Risk Management policies, procedures, strategies;",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-003,GUIDE-1,Cybersecurity Framework profiles;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-004,GUIDE-1,Information Security Program Plan;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-005,GUIDE-1,Privacy Risk Assessments.,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-006,GUIDE-1,"Risk management policies, procedures, and strategies, lessons learned;",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-007,GUIDE-1,Enterprise Risk Profiles;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-008,GUIDE-1,"Cybersecurity Framework profiles; periodic reviews of risk tolerance levels, etc.; implementation documentation; continuous reviews of risk tolerance levels, etc.; risk management dashboards; profile (see NIST CSF, section 3.3); assessments/risk registers; artifacts.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-009,GUIDE-2,"Enterprise Risk Management policies, procedures, and strategies;",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-010,GUIDE-2,"Cybersecurity Risk Management policies, procedures, strategies;",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-011,GUIDE-3,Information security program policy;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-012,GUIDE-3,"Organizational strategy, policies, and procedures;",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-013,GUIDE-3,Organizational charts;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-014,GUIDE-3,Delegations of authority;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-015,GUIDE-3,Defined roles and responsibilities.,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-016,GUIDE-3,"Evidence that individuals that are assigned the defined roles are carrying out their responsibilities at all levels (organization, business process, and information system);",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-017,GUIDE-3,Agency's IT security budget;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-018,GUIDE-3,Interviews with system security staff;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-019,GUIDE-5,"Organizational SCRM policies, procedures and strategies that addresses the SCRM role and responsibilities;",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-020,GUIDE-5,"SCRM policies and procedures include the organization’s risk profile and persistent threats, and appropriate controls;",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-021,GUIDE-5,"SCRM processes and monitoring strategies; baseline for assessing SCRM risks to IT assets, including threats to the IT system and assets and the supply chain.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-022,GUIDE-5,SCRM Risk analysis and evaluation documents;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
EVID-023,GUIDE-5,Evidence of SCRM threat analysis/evaluation/scenario;,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
