source_id,target_id,rel_type,ref_kind
CA-R2,SCH-IV,REFERENCES,schedule
CA-R7,CA-R6,REFERENCES,rule
CA-R10,SCH-I,REFERENCES,schedule
CA-R10,CA-R8,REFERENCES,rule
CA-R10,CA-R20,REFERENCES,rule
CA-R12,CA-R20,REFERENCES,rule
CA-R14,CA-R8,REFERENCES,rule
CA-R15,CA-R8,REFERENCES,rule
CA-R15,CA-R13,REFERENCES,rule
CA-R16,CA-R8,REFERENCES,rule
CA-R17,CA-R31,REFERENCES,rule
CA-R19,SCH-II,REFERENCES,schedule
CA-R19,SCH-III,REFERENCES,schedule
CA-R20,CA-R31,REFERENCES,rule
CA-R23,SCH-IV,REFERENCES,schedule
CA-R34,CA-R33,REFERENCES,rule
CRAT-R7,CA-R3,REFERENCES,rule
CA-R2-m,SCH-IV,REFERENCES,schedule
CA-R10-i,SCH-I,REFERENCES,schedule
CA-R10-ii-g,CA-R20,REFERENCES,rule
CA-R10-ii-h,CA-R8,REFERENCES,rule
CA-R12-1,CA-R20,REFERENCES,rule
CA-R14-2,CA-R8,REFERENCES,rule
CA-R15-1,CA-R8,REFERENCES,rule
CA-R15-1,CA-R13,REFERENCES,rule
CA-R16-2-a,CA-R8,REFERENCES,rule
CA-R17-vii,CA-R31,REFERENCES,rule
CA-R19-2,SCH-II,REFERENCES,schedule
CA-R19-2,SCH-III,REFERENCES,schedule
CA-R20-c,CA-R31,REFERENCES,rule
CA-R23-a,SCH-IV,REFERENCES,schedule
CA-R34-2,CA-R33,REFERENCES,rule
CRAT-R7-1,CRAT-R3,REFERENCES,rule
S2-P5.2,S2-P8.3,REFERENCES,para
S2-P5.3,S2-P3,REFERENCES,para
S2-P15,S2-P21,REFERENCES,para
S2-P17,S2-P4.4,REFERENCES,para
S2-P17,S2-P6.2,REFERENCES,para
S2-P20,S2-P6,REFERENCES,para
S3-P2,SCH-II,REFERENCES,schedule
S3-P2,SCH-III,REFERENCES,schedule
S3-P3,SCH-II,REFERENCES,schedule
S3-P3,S2-P15,REFERENCES,para
S3-P3,S2-P4,REFERENCES,para
S3-P3,S2-P4.1,REFERENCES,para
S3-P3,S2-P4.2,REFERENCES,para
S3-P3,S2-P4.4,REFERENCES,para
S3-P4,SCH-II,REFERENCES,schedule
S3-P4,S2-P8.3,REFERENCES,para
S3-P4,S2-P8.4,REFERENCES,para
S3-P8,SCH-II,REFERENCES,schedule
S3-P8,S2-P17,REFERENCES,para
S3-P8,S2-P18,REFERENCES,para
S3-P8,S2-P19,REFERENCES,para
S3-P8,S2-P20,REFERENCES,para
S3-P9.3,SCH-II,REFERENCES,schedule
S3-P9.3,S2-P10,REFERENCES,para
S3-P10,S2-P9,REFERENCES,para
S3-P16,S2-P15,REFERENCES,para
S2-P5.2-c2,S2-P8.3,REFERENCES,para
S2-P5.3-c2,S2-P3,REFERENCES,para
S2-P15-c7,S2-P21,REFERENCES,para
S2-P17-c4,S2-P4.4,REFERENCES,para
S2-P17-c5,S2-P6.2,REFERENCES,para
S2-P20-c6,S2-P6,REFERENCES,para
S3-P2-t1,SCH-II,REFERENCES,schedule
S3-P2-t1,SCH-III,REFERENCES,schedule
S3-P3-c1,SCH-II,REFERENCES,schedule
S3-P3-c1,S2-P4,REFERENCES,para
S3-P3-c2,SCH-II,REFERENCES,schedule
S3-P3-c2,S2-P4.4,REFERENCES,para
S3-P3-c3-i,SCH-II,REFERENCES,schedule
S3-P3-c3-i,S2-P4.2,REFERENCES,para
S3-P3-c3-ii,SCH-II,REFERENCES,schedule
S3-P3-c3-ii,S2-P4.1,REFERENCES,para
S3-P3-c6,SCH-II,REFERENCES,schedule
S3-P3-c12,SCH-II,REFERENCES,schedule
S3-P3-c12,S2-P15,REFERENCES,para
S3-P4-t1,SCH-II,REFERENCES,schedule
S3-P4-t1,S2-P8.3,REFERENCES,para
S3-P4-t1,S2-P8.4,REFERENCES,para
S3-P8-c1,SCH-II,REFERENCES,schedule
S3-P8-c1,S2-P17,REFERENCES,para
S3-P8-c1,S2-P18,REFERENCES,para
S3-P8-c1,S2-P19,REFERENCES,para
S3-P8-c1,S2-P20,REFERENCES,para
S3-P9.3-t1,SCH-II,REFERENCES,schedule
S3-P9.3-t1,S2-P10,REFERENCES,para
S3-P10-c2,S2-P9,REFERENCES,para
S3-P16-t1,S2-P15,REFERENCES,para
