form_id,schedule_id,ruleset_id,title,see,source_document
FORM-SCH-I,SCH-I,RS-CA,Form for Application for grant of Licence to be a Certifying Authority,[See rule 10],KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV,SCH-IV,RS-CA,Form for Application for issue of Digital Signature Certificate,[See rule 23],KB 2/India/Information Technology Act 2000.pdf
FORM-1,,RS-CRAT,"Application under section 57 of the Information Technology Act, 2000",(See rule 4),KB 2/India/Information Technology Act 2000.pdf
FORM-2,,RS-CRAT,Application for the registration of a clerk,(See Rule 24),KB 2/India/Information Technology Act 2000.pdf
