glossaryterm_id,schedule_id,term,definition,act_section_refs,source_document
GLOSS-ACCEPT-A-DIGITAL-SIGNATURE-CERTIFICATE,SCH-V,ACCEPT (A DIGITAL SIGNATURE CERTIFICATE),To demonstrate approval of a Digital Signature Certificate by a Digital Signature Certificate applicant while knowing or having notice of its informational contents.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-ACCESS,SCH-V,ACCESS,"Gaining entry into, instructing or communicating with the logical, arithmetical, or memory function resources of a computer, computer system or computer network;",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-ACCESS-CONTROL,SCH-V,ACCESS CONTROL,"The process of limiting access to the resources of a computer system only to authorized users, programs or other computer systems.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-ACCREDITATION,SCH-V,ACCREDITATION,"A formal declaration by the Controller that a particular information system, professional or other employee or contractor, or organization is approved to perform certain duties and to operate in a specific security mode, using a prescribed set of safeguards.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-AUTHORITY-REVOCATION-LIST-ARL,SCH-V,AUTHORITY REVOCATION LIST (ARL),A list of revoked Certifying Authority certificates. An ARL is a CRL for Certifying Authority cross-certificates.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-ADDRESSEE,SCH-V,ADDRESSEE,A person who is intended by the originator to receive the electronic record but does not include any intermediary.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-AFFILIATED-CERTIFICATE,SCH-V,AFFILIATED CERTIFICATE,A certificate issued to an affiliated individual. (See also AFFILIATED INDIVIDUAL),,KB 2/India/Information Technology Act 2000.pdf
GLOSS-AFFIRM-AFFIRMATION,SCH-V,AFFIRM / AFFIRMATION,To state or indicate by conduct that data is correct or information is true.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-AFFIXING-DIGITAL-SIGNATURE,SCH-V,AFFIXING DIGITAL SIGNATURE,With its grammatical variations and cognate expressions means adoption of any methodology or procedure by a person for the purpose of authenticating an electronic record by means of digital signature;,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-ALIAS,SCH-V,ALIAS,A pseudonym.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-APPLICANT-SEE-CA-APPLICANT-CERTIFICATE-APPLICANT,SCH-V,APPLICANT (See CA APPLICANT; CERTIFICATE APPLICANT),,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-APPLICATION-SOFTWARE,SCH-V,APPLICATION SOFTWARE,A software that is specific to the solution of an application problem. It is the software coded by or for an end user that performs a service or relates to the user’s work.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-APPLICATION-SYSTEM,SCH-V,APPLICATION SYSTEM,"A family of products designed to offer solutions for commercial data processing, office, and communications environments, as well as to provide simple, consistent programmer and end user interfaces for businesses of all sizes.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-ARCHIVE,SCH-V,ARCHIVE,"To store records and associated journals for a given period of time for security, backup, or auditing purposes.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-ASSURANCES,SCH-V,ASSURANCES,"Statements or conduct intended to convey a general intention, supported by a good-faith effort, to provide and maintain a specified service. “Assurances” does not necessarily imply a guarantee that the services will be performed fully and satisfactorily. Assurances are distinct from insurance, promises, guarantees, and warranties, unless otherwise expressly indicated.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-ASYMMETRIC-CRYPTO-SYSTEM,SCH-V,ASYMMETRIC CRYPTO SYSTEM,A system of a secure key pair consisting of a private key for creating a digital signature and a public key to verify the digital signature.,,KB 2/India/Information Technology Act 2000.pdf
