definition_id,term,definition,source_provision_id,instrument_part,source_document
CA-DEF-a,Act,"“Act” means the Information Technology Act, 2000 (21 of 2000);",CA-R2-a,CA,KB 2/India/Information Technology Act 2000.pdf
CA-DEF-b,applicant,“applicant” means Certifying Authority applicant;,CA-R2-b,CA,KB 2/India/Information Technology Act 2000.pdf
CA-DEF-c,auditor,“auditor” means any internationally accredited computer security professional or agency appointed by the Certifying Authority and recognized by the Controller for conducting technical audit of operation of Certifying Authority;,CA-R2-c,CA,KB 2/India/Information Technology Act 2000.pdf
CA-DEF-d,Controller,“Controller” means Controller of Certifying Authorities appointed under sub-section (1) of Section 17 of the Act;,CA-R2-d,CA,KB 2/India/Information Technology Act 2000.pdf
CA-DEF-e,Digital Signature Certificate,“Digital Signature Certificate” means Digital Signature Certificate issued under sub-section (4) of section 35 of the Act;,CA-R2-e,CA,KB 2/India/Information Technology Act 2000.pdf
CA-DEF-f,information asset,"“information asset” means all information resources utilized in the course of any organisation’s business and includes all information, applications (software developed or purchased), and technology (hardware, system software and networks);",CA-R2-f,CA,KB 2/India/Information Technology Act 2000.pdf
CA-DEF-g,licence,“licence” means a licence granted to Certifying Authorities for the issue of Digital Signature Certificates under these rules;,CA-R2-g,CA,KB 2/India/Information Technology Act 2000.pdf
CA-DEF-h,licensed Certifying Authority,“licensed Certifying Authority” means Certifying Authority who has been granted a licence to issue Digital Signature Certificates;,CA-R2-h,CA,KB 2/India/Information Technology Act 2000.pdf
CA-DEF-i,person,"“person” shall include an individual; or a company or association or body of individuals; whether incorporated or not; or Central Government or a State Government or any of the Ministries or Departments, Agencies or Authorities of such Governments;",CA-R2-i,CA,KB 2/India/Information Technology Act 2000.pdf
CA-DEF-j,Schedule,“Schedule” means a schedule annexed to these rules;,CA-R2-j,CA,KB 2/India/Information Technology Act 2000.pdf
CA-DEF-k,subscriber identity verification method,“subscriber identity verification method” means the method used to verify and authenticate the identity of a subscriber;,CA-R2-k,CA,KB 2/India/Information Technology Act 2000.pdf
CA-DEF-l,trusted person,“trusted person” means any person who has: –,CA-R2-l,CA,KB 2/India/Information Technology Act 2000.pdf
CA-DEF-l-i,,"direct responsibilities for the day-to-day operations, security and performance of those business activities that are regulated under the Act or these Rules in respect of a Certifying Authority; or",CA-R2-l-i,CA,KB 2/India/Information Technology Act 2000.pdf
CA-DEF-l-ii,,"duties directly involving the issuance, renewal, suspension, revocation of Digital Signature Certificates (including the identification of any person requesting a Digital Signature Certificate from a licensed Certifying Authority), creation of private keys or administration of a Certifying Authority's computing facilities.",CA-R2-l-ii,CA,KB 2/India/Information Technology Act 2000.pdf
CA-DEF-m,words and expressions used herein and not defined but defined in Schedule-IV shall have the meaning respectively assigned to them in that schedule,words and expressions used herein and not defined but defined in Schedule-IV shall have the meaning respectively assigned to them in that schedule.,CA-R2-m,CA,KB 2/India/Information Technology Act 2000.pdf
CRAT-DEF-a,Act,"""Act'' means the Information Technology Act, 2000; (21 of 2000);",CRAT-R2-a,CRAT,KB 2/India/Information Technology Act 2000.pdf
CRAT-DEF-b,agent,"""agent"" means a person duly authorised by a party to present an application or reply on its behalf before the Tribunal;",CRAT-R2-b,CRAT,KB 2/India/Information Technology Act 2000.pdf
CRAT-DEF-c,application,“application” means an application made to the Tribunal under section 57;,CRAT-R2-c,CRAT,KB 2/India/Information Technology Act 2000.pdf
CRAT-DEF-d,legal practitioner,"“legal practitioner” shall have the same meaning as is assigned to it in the Advocates Act, 1961 (25 of 1971):",CRAT-R2-d,CRAT,KB 2/India/Information Technology Act 2000.pdf
CRAT-DEF-e,Presiding Officer,“Presiding Officer” means the Presiding Officer of the Tribunal;,CRAT-R2-e,CRAT,KB 2/India/Information Technology Act 2000.pdf
CRAT-DEF-f,Registrar,“Registrar” means the Registrar of the Tribunal and includes any officer to whom the powers and functions of the Registrar may be delegated;,CRAT-R2-f,CRAT,KB 2/India/Information Technology Act 2000.pdf
CRAT-DEF-g,registry,“registry” means the Registry of the Tribunal;,CRAT-R2-g,CRAT,KB 2/India/Information Technology Act 2000.pdf
CRAT-DEF-h,section,“section” means a section of the Act;,CRAT-R2-h,CRAT,KB 2/India/Information Technology Act 2000.pdf
CRAT-DEF-i,transferred application,“transferred application” means the suit or other proceeding which has been transferred to the Tribunal under sub-section (1) of section 29;,CRAT-R2-i,CRAT,KB 2/India/Information Technology Act 2000.pdf
CRAT-DEF-j,Tribunal,“Tribunal” means the Cyber Regulations Appellate Tribunal established under section 48.,CRAT-R2-j,CRAT,KB 2/India/Information Technology Act 2000.pdf
