rule_id,ruleset_id,rule_number,title,chapeau,act_section_refs,rule_refs,schedule_refs,source_document
CA-R1,RS-CA,1,Short title and commencement,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R2,RS-CA,2,Definitions,"In these Rules, unless the context otherwise requires,–",17;35,,IV,KB 2/India/Information Technology Act 2000.pdf
CA-R3,RS-CA,3,The manner in which information be authenticated by means of Digital Signature,"A Digital Signature shall,-",,,,KB 2/India/Information Technology Act 2000.pdf
CA-R4,RS-CA,4,Creation of Digital Signature,To sign an electronic record or any other item,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R5,RS-CA,5,Verification of Digital Signature,The verification of a Digital Signature shall,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R6,RS-CA,6,Standards,The Information Technology (IT) architecture for Certifying,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R7,RS-CA,7,Digital Signature Certificate Standard,All Digital Signature Certificates issued by,,6,,KB 2/India/Information Technology Act 2000.pdf
CA-R8,RS-CA,8,Licensing of Certifying Authorities,,2;3;25,,,KB 2/India/Information Technology Act 2000.pdf
CA-R9,RS-CA,9,Location of the Facilities,The infrastructure associated with all functions of,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R10,RS-CA,10,Submission of Application,Every application for a licensed Certifying,,8;20,I,KB 2/India/Information Technology Act 2000.pdf
CA-R11,RS-CA,11,Fee,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R12,RS-CA,12,Cross Certification,,,20,,KB 2/India/Information Technology Act 2000.pdf
CA-R13,RS-CA,13,Validity of licence,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R14,RS-CA,14,Suspension of Licence,,25,8,,KB 2/India/Information Technology Act 2000.pdf
CA-R15,RS-CA,15,Renewal of licence,,,8;13,,KB 2/India/Information Technology Act 2000.pdf
CA-R16,RS-CA,16,Issuance of Licence,,,8,,KB 2/India/Information Technology Act 2000.pdf
CA-R17,RS-CA,17,Refusal of Licence,The Controller may refuse to grant or renew a licence,,31,,KB 2/India/Information Technology Act 2000.pdf
CA-R18,RS-CA,18,Governing Laws,The Certification Practice Statement of the,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R19,RS-CA,19,Security Guidelines for Certifying Authorities,,,,II;III,KB 2/India/Information Technology Act 2000.pdf
CA-R20,RS-CA,20,Commencement of Operation by Licensed Certifying Authorities,The,,31,,KB 2/India/Information Technology Act 2000.pdf
CA-R21,RS-CA,21,Requirements Prior to Cessation as Certifying Authority,Before ceasing to,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R22,RS-CA,22,Database of Certifying Authorities,The Controller shall maintain a,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R23,RS-CA,23,Digital Signature Certificate,"The Certifying Authority shall, for issuing the",35,,IV,KB 2/India/Information Technology Act 2000.pdf
CA-R24,RS-CA,24,Generation of Digital Signature Certificate,The generation of the Digital,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R25,RS-CA,25,Issue of Digital Signature Certificate,Before the issue of the Digital,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R26,RS-CA,26,Certificate Lifetime,,37,,,KB 2/India/Information Technology Act 2000.pdf
CA-R27,RS-CA,27,Archival of Digital Signature Certificate,A Certifying Authority shall archive -,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R28,RS-CA,28,Compromise of Digital Signature Certificate,Digital Signature Certificates in,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R29,RS-CA,29,Revocation of Digital Signature Certificate,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R30,RS-CA,30,Fees for issue of Digital Signature Certificate,,35,,,KB 2/India/Information Technology Act 2000.pdf
CA-R31,RS-CA,31,Audit,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R32,RS-CA,32,Auditor’s relationship with Certifying Authority,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R33,RS-CA,33,Confidential Information,The following information shall be confidential,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R34,RS-CA,34,Access to Confidential Information,,,33,,KB 2/India/Information Technology Act 2000.pdf
