schedule_id,ruleset_id,label,see_rule,title,source_document
SCH-I,RS-CA,SCHEDULE-I,[See rule 10],Form for Application for grant of Licence to be a Certifying Authority,KB 2/India/Information Technology Act 2000.pdf
SCH-II,RS-CA,SCHEDULE-II,[See rule 19(2)],Information Technology (IT) Security Guidelines,KB 2/India/Information Technology Act 2000.pdf
SCH-III,RS-CA,SCHEDULE-III,[See rule 19(2)],Security Guidelines for Certifying Authorities,KB 2/India/Information Technology Act 2000.pdf
SCH-IV,RS-CA,SCHEDULE-IV,[See rule 23],Form for Application for issue of Digital Signature Certificate,KB 2/India/Information Technology Act 2000.pdf
SCH-V,RS-CA,SCHEDULE—V,,Glossary,KB 2/India/Information Technology Act 2000.pdf
