ruleset_id,title,made_under,notification_id,commencement,rule_count,source_document
RS-CA,"Information Technology (Certifying Authorities) Rules, 2000","section 87 of the Information Technology Act, 2000 (21 of 2000)",GSR-789E,on the date of publication in the Official Gazette,34,KB 2/India/Information Technology Act 2000.pdf
RS-CRAT,"Cyber Regulations Appellate Tribunal (Procedure) Rules, 2000","section 87 of the Information Technology Act, 2000 (21 of 2000)",GSR-791E,on the date of publication in the Official Gazette,28,KB 2/India/Information Technology Act 2000.pdf
