provision_id,rule_id,ruleset_id,label,level,text,act_section_refs,rule_refs,schedule_refs,para_refs,source_document
CA-R23-f,CA-R23,RS-CA,(f),alpha,"where the Digital Signature Certificate is issued to a person (referred to in this clause as a New Digital Signature Certificate) on the basis of another valid Digital Signature Certificate held by the said person (referred in this clause as an Originating Digital Signature Certificate) and subsequently the originating Digital Signature Certificate has been suspended or revoked, the Certifying Authority that issued the new Digital Signature Certificate shall conduct investigations to determine whether it is necessary to suspend or revoke the new Digital Signature Certificate;",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R23-g,CA-R23,RS-CA,(g),alpha,the Certifying Authority shall provide a reasonable opportunity for the subscriber to verify the contents of the Digital Signature Certificate before it is accepted;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R23-h,CA-R23,RS-CA,(h),alpha,"if the subscriber accepts the issued Digital Signature Certificate, the Certifying Authority shall publish a signed copy of the Digital Signature Certificate in a repository;",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R23-i,CA-R23,RS-CA,(i),alpha,"where the Digital Signature Certificate has been issued by the licensed Certifying Authority and accepted by the subscriber, and the Certifying Authority comes to know of any fact, or otherwise, that affects the validity or reliability of such Digital Signature Certificate, it shall notify the same to the subscriber immediately;",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R23-j,CA-R23,RS-CA,(j),alpha,all Digital Signature Certificates shall be issued with a designated expiry date.,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R24-a,CA-R24,RS-CA,(a),alpha,receipt of an approved and verified Digital Signature Certificate request;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R24-b,CA-R24,RS-CA,(b),alpha,creating a new Digital Signature Certificate;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R24-c,CA-R24,RS-CA,(c),alpha,binding the key pair associated with the Digital Signature Certificate to a Digital Signature Certificate owner;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R24-d,CA-R24,RS-CA,(d),alpha,issuing the Digital Signature Certificate and the associated public key for operational use;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R24-e,CA-R24,RS-CA,(e),alpha,a distinguished name associated with the Digital Signature Certificate owner; and,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R24-f,CA-R24,RS-CA,(f),alpha,a recognized and relevant policy as defined in Certification Practice Statement.,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R25-i,CA-R25,RS-CA,(i),roman,confirm that the user’s name does not appear in its list of compromised users;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R25-ii,CA-R25,RS-CA,(ii),roman,comply with the procedure as defined in his Certification Practice Statement including verification of identification and/or employment;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R25-iii,CA-R25,RS-CA,(iii),roman,comply with all privacy requirements;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R25-iv,CA-R25,RS-CA,(iv),roman,"obtain a consent of the person requesting the Digital Signature Certificate, that the details of such Digital Signature Certificate can be published on a directory service.",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R26-1,CA-R26,RS-CA,(1),num,"A Digital Signature Certificate,-",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R26-1-a,CA-R26,RS-CA,(1)(a),alpha,shall be issued with a designated expiry date;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R26-1-b,CA-R26,RS-CA,(1)(b),alpha,"which is suspended shall return to the operational use, if the suspension is withdrawn in accordance with the provisions of section 37 of the Act;",37,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R26-1-c,CA-R26,RS-CA,(1)(c),alpha,shall expire automatically upon reaching the designated expiry date at which time the Digital Signature Certificate shall be archived;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R26-1-d,CA-R26,RS-CA,(1)(d),alpha,"on expiry, shall not be re-used.",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R26-2,CA-R26,RS-CA,(2),num,"The period for which a Digital Signature Certificate has been issued shall not be extended, but a new Digital Signature Certificate may be issued after the expiry of such period.",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R27-a,CA-R27,RS-CA,(a),alpha,applications for issue of Digital Signature Certificates;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R27-b,CA-R27,RS-CA,(b),alpha,registration and verification documents of generated Digital Signature Certificates;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R27-c,CA-R27,RS-CA,(c),alpha,Digital Signature Certificates;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R27-d,CA-R27,RS-CA,(d),alpha,notices of suspension;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R27-e,CA-R27,RS-CA,(e),alpha,information of suspended Digital Signature Certificates;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R27-f,CA-R27,RS-CA,(f),alpha,information of revoked Digital Signature Certificates;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R27-g,CA-R27,RS-CA,(g),alpha,"expired Digital Signature Certificates, for a minimum period of seven years or for a period in accordance with legal requirement.",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R28-a,CA-R28,RS-CA,(a),alpha,be deemed to be compromised where the integrity of:-,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R28-a-i,CA-R28,RS-CA,(a)(i),roman,the private key associated with the Digital Signature Certificate is in doubt;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R28-a-ii,CA-R28,RS-CA,(a)(ii),roman,"the Digital Signature Certificate owner is in doubt, as to the use, or attempted use of his key pairs, or otherwise, for malicious or unlawful purposes;",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R28-b,CA-R28,RS-CA,(b),alpha,remain in the compromised state for only such time as it takes to arrange for revocation.,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R29-1,CA-R29,RS-CA,(1),num,"Digital Signature Certificate shall be revoked and become invalid for any trusted use, where -",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R29-1-a,CA-R29,RS-CA,(1)(a),alpha,there is a compromise of the Digital Signature Certificate owner’s private key;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R29-1-b,CA-R29,RS-CA,(1)(b),alpha,there is a misuse of the Digital Signature Certificate;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R29-1-c,CA-R29,RS-CA,(1)(c),alpha,there is a misrepresentation or errors in the Digital Signature Certificate;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R29-1-d,CA-R29,RS-CA,(1)(d),alpha,the Digital Signature Certificate is no longer required.,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R29-2,CA-R29,RS-CA,(2),num,The revoked Digital Signature Certificate shall be added to the Certificate Revocation List (CRL).,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R30-1,CA-R30,RS-CA,(1),num,The Certifying Authority shall charge such fee for the issue of Digital Signature Certificate as may be prescribed by the Central Government under sub-section (2) of section 35 of the Act.,35,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R30-2,CA-R30,RS-CA,(2),num,"Fee may be payable in respect of access to Certifying Authority’s X.500 directory for certificate downloading. Where fees are payable, Certifying Authority shall provide an up-to-date fee schedule to all its subscribers and users, this may be done by publishing fee schedule on a nominated website.",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R30-3,CA-R30,RS-CA,(3),num,"Fees may be payable in respect of access to Certifying Authority’s X.500 directory service for certificate revocation or status information. Where fees are payable, Certifying Authority shall provide an up-to-date fee schedule to all its subscribers and users, this may be done by publishing the fee schedule on a nominated website.",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R30-4,CA-R30,RS-CA,(4),num,No fee is to be levied for access to Certification Practice Statement via Internet. A fee may be charged by the Certifying Authority for providing printed copies of its Certification Practice Statement.,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R31-1,CA-R31,RS-CA,(1),num,"The Certifying Authority shall get its operations audited annually by an auditor and such audit shall include inter alia,-",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R31-1-i,CA-R31,RS-CA,(1)(i),roman,security policy and planning;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R31-1-ii,CA-R31,RS-CA,(1)(ii),roman,physical security;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R31-1-iii,CA-R31,RS-CA,(1)(iii),roman,technology evaluation;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R31-1-iv,CA-R31,RS-CA,(1)(iv),roman,Certifying Authority’s services administration;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R31-1-v,CA-R31,RS-CA,(1)(v),roman,relevant Certification Practice Statement;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R31-1-vi,CA-R31,RS-CA,(1)(vi),roman,compliance to relevant Certification Practice Statement;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R31-1-vii,CA-R31,RS-CA,(1)(vii),roman,contracts/agreements;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R31-1-viii,CA-R31,RS-CA,(1)(viii),roman,regulations prescribed by the Controller;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R31-1-ix,CA-R31,RS-CA,(1)(ix),roman,"policy requirements of Certifying Authorities Rules, 2000.",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R31-2,CA-R31,RS-CA,(2),num,"The Certifying Authority shall conduct,-",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R31-2-a,CA-R31,RS-CA,(2)(a),alpha,"half yearly audit of the Security Policy, physical security and planning of its operation;",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R31-2-b,CA-R31,RS-CA,(2)(b),alpha,a quarterly audit of its repository.,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R31-3,CA-R31,RS-CA,(3),num,"The Certifying Authority shall submit copy of each audit report to the Controller within four weeks of the completion of such audit and where irregularities are found, the Certifying Authority shall take immediate appropriate action to remove such irregularities.",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R32-1,CA-R32,RS-CA,(1),num,"The auditor shall be independent of the Certifying Authority being audited and shall not be a software or hardware vendor which is, or has been providing services or supplying equipment to the said Certifying Authority.",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R32-2,CA-R32,RS-CA,(2),num,"The auditor and the Certifying Authority shall not have any current or planned financial, legal or other relationship, other than that of an auditor and the audited party.",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R33-a,CA-R33,RS-CA,(a),alpha,"Digital Signature Certificate application, whether approved or rejected;",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R33-b,CA-R33,RS-CA,(b),alpha,Digital Signature Certificate information collected from the subscriber or elsewhere as part of the registration and verification record but not included in the Digital Signature Certificate information;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R33-c,CA-R33,RS-CA,(c),alpha,subscriber agreement.,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R34-1,CA-R34,RS-CA,(1),num,Access to confidential information by Certifying Authority’s operational staff shall be on a “need-to-know” and “need-to- use” basis.,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R34-2,CA-R34,RS-CA,(2),num,"Paper based records, documentation and backup data containing all confidential information as prescribed in rule 33 shall be kept in secure and locked container or filing system, separately from all other records.",,33,,,KB 2/India/Information Technology Act 2000.pdf
CA-R34-3,CA-R34,RS-CA,(3),num,The confidential information shall not be taken out of the country except in a case where a properly constitutional warrant or other legally enforceable document is produced to the Controller and he permits to do so.,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R1-1,CRAT-R1,RS-CRAT,(1),num,"These rules may be called the Cyber Regulations Appellate Tribunal (Procedure) Rules, 2000.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R1-2,CRAT-R1,RS-CRAT,(2),num,They shall come into force on the date of publication in the Official Gazette.,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R2-a,CRAT-R2,RS-CRAT,(a),alpha,"""Act'' means the Information Technology Act, 2000; (21 of 2000);",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R2-b,CRAT-R2,RS-CRAT,(b),alpha,"""agent"" means a person duly authorised by a party to present an application or reply on its behalf before the Tribunal;",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R2-c,CRAT-R2,RS-CRAT,(c),alpha,“application” means an application made to the Tribunal under section 57;,57,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R2-d,CRAT-R2,RS-CRAT,(d),alpha,"“legal practitioner” shall have the same meaning as is assigned to it in the Advocates Act, 1961 (25 of 1971):",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R2-e,CRAT-R2,RS-CRAT,(e),alpha,“Presiding Officer” means the Presiding Officer of the Tribunal;,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R2-f,CRAT-R2,RS-CRAT,(f),alpha,“Registrar” means the Registrar of the Tribunal and includes any officer to whom the powers and functions of the Registrar may be delegated;,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R2-g,CRAT-R2,RS-CRAT,(g),alpha,“registry” means the Registry of the Tribunal;,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R2-h,CRAT-R2,RS-CRAT,(h),alpha,“section” means a section of the Act;,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R2-i,CRAT-R2,RS-CRAT,(i),alpha,“transferred application” means the suit or other proceeding which has been transferred to the Tribunal under sub-section (1) of section 29;,29,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R2-j,CRAT-R2,RS-CRAT,(j),alpha,“Tribunal” means the Cyber Regulations Appellate Tribunal established under section 48.,48,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R3-1,CRAT-R3,RS-CRAT,(1),num,"An application to the Tribunal shall be presented in Form-1 annexed to these rules by the applicant in person or by an agent or by a duly authorized legal practitioner, to the Registrar or sent by registered post addressed to the Registrar.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R3-2,CRAT-R3,RS-CRAT,(2),num,"The application under sub-rule (1) shall be presented in six complete sets in a paper-book form along with one empty file size envelope bearing full address of the respondent. Where the number of respondents is more than one, sufficient number of extra paper-books together with required number of empty file size envelopes bearing the full address of each respondent shall be furnished by the applicant.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R3-3,CRAT-R3,RS-CRAT,(3),num,The applicant may attach to and present with his application a receipt slips as in Form No. 1 which shall be signed by the Registrar or the officer receiving the applications on behalf of-the Registrar in acknowledgement of the receipt of the application.,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R3-4,CRAT-R3,RS-CRAT,(4),num,"Notwithstanding anything contained in sub rules (1), (2) and (3), the Tribunal may permit:—",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R3-4-a,CRAT-R3,RS-CRAT,(4)(a),alpha,"more than one person to join together and file a single application if it is satisfied, having regard to the cause of action and the nature of relief prayed for, that they have the same interest in the service matter; or",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R3-4-b,CRAT-R3,RS-CRAT,(4)(b),alpha,"an Association representing the persons desirous of joining in a single application provided, however, that the application shall disclose the names of all the persons on whose behalf it has been filed.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R4-1,CRAT-R4,RS-CRAT,(1),num,"The Registrar, or the officer authorised by the Registrar shall endorse on every application the date on which it is presented or deemed to have been presented under that rule and shall sign the endorsement.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R4-2,CRAT-R4,RS-CRAT,(2),num,"If, on scrutiny, the application is found to be in order, it shall be duly registered and given a serial number.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R4-3,CRAT-R4,RS-CRAT,(3),num,"If the application, on scrutiny, is found to be defective, and the defect noticed is formal in nature, the Registrar may allow the party to rectify the same in his presence, and if the said defect is not formal in nature, the Registrar may allow the applicant such time to rectify the defect as he may deem fit.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R4-4,CRAT-R4,RS-CRAT,(4),num,"If the applicant fails to rectify the defect within the time allowed under sub rule (3), the Registrar may, by order and for reasons to be recorded in writing, decline to register the application.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R4-5,CRAT-R4,RS-CRAT,(5),num,An appeal against the order of the Registrar under sub rule (4) shall be made within 15 days of the making of such order to the Tribunal whose decision thereon shall be final.,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R7-1,CRAT-R7,RS-CRAT,(1),num,"Every application filed under rule 3 shall set forth concisely under distinct heads, the grounds for such application and such grounds shall be numbered consecutively and typed in double space on one side of the paper.",,3,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R7-2,CRAT-R7,RS-CRAT,(2),num,It shall not be necessary to present a separate application to seek an interim order or direction if the application contains a prayer seeking an interim order or direction pending final disposal of the application.,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R7-3,CRAT-R7,RS-CRAT,(3),num,"An application may, subsequent to the filing of application under section 57 of the Act, apply for an interim order or direction . Such an application shall, as far as possible, be in the same form as is prescribed for on application under section 57 and shall be accompanied by a fee of Rs. 5/- (Rupees five only) which shall be payable in court fee stamps affixed on such application.",57,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R8-1,CRAT-R8,RS-CRAT,(1),num,Every application shall be accompanied by a paper book containing:—,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R8-1-i,CRAT-R8,RS-CRAT,(1)(i),roman,a certified copy of the order against which the application has been filed;,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R8-1-ii,CRAT-R8,RS-CRAT,(1)(ii),roman,copies of the documents relied upon by the applicant and referred to in the application; and,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R8-1-iii,CRAT-R8,RS-CRAT,(1)(iii),roman,an index of documents.,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R8-2,CRAT-R8,RS-CRAT,(2),num,The documents referred to in sub rule (I) may be attested by an advocate or by a Gazetted Officer.,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R8-3,CRAT-R8,RS-CRAT,(3),num,"Where an Application is filed by an agent, documents arthorising him to act as such agent shall also be appended to the application : Provided that where an application is filed by an advocate it shall be accompanied by a duly executed ‘vakalatname’.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R10-1,CRAT-R10,RS-CRAT,(1),num,A copy of the application in the paper-book shall ordinarily be served on each of the respondents by the Registrar in one of the following modes:—,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R10-1-i,CRAT-R10,RS-CRAT,(1)(i),roman,hand delivery (dasti) through the applicant or through a process server; or,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R10-1-ii,CRAT-R10,RS-CRAT,(1)(ii),roman,through registered post with acknowledgement due.,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R10-2,CRAT-R10,RS-CRAT,(2),num,"Notwithstanding anything contained in sub rule (1), the Registrar may, taking into account the number of respondents and their places of residence or work and other circumstances direct that notice of the application shall be served upon the respondents in any other manner including any manner of substituted service, as it appear to the Registrar just and convenient.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R10-3,CRAT-R10,RS-CRAT,(3),num,"Every applicant shall pay a fee for the service or execution of processes, in respect of an application where the number of respondents exceeds five, as under:—",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R10-3-i,CRAT-R10,RS-CRAT,(3)(i),roman,a sum of Rs. 50 (Rupees fifty) for each respondent in excess of five respondents; or,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R10-3-ii,CRAT-R10,RS-CRAT,(3)(ii),roman,"where the service is in such manner as the Registrar may direct under sub rule (2), a sum not exceeding the actual charges incurred in effecting the service as may be determined by the Registrar.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R10-4,CRAT-R10,RS-CRAT,(4),num,The fee for the service or execution of processes under 'sub rule (3) shall be remitted by the applicant either in the form of a crossed Demand Draft drawn on a Scheduled Bank in favour of the Registrar and payable at the station where Registrar’s office is situated or remitted through a crossed Indian Postal Order drawn in favour of the Registrar and payable in General Post Office of the station where the Tribunal is located.,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R10-5,CRAT-R10,RS-CRAT,(5),num,"Notwithstanding anything contained in sub rules (1), (2), (3) and (4), if the Tribunal is satisfied that it is not reasonably practicable to serve notice of application upon all the respondents, if may for reasons to be recorded in writing, direct that the application shall be heard notwithstanding that some of the respondents have not been served with notice of the application, provided that no application shall be heard unless:—",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R10-5-i,CRAT-R10,RS-CRAT,(5)(i),roman,"notice of the application has been served on the Government, if Government is respondent;",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R10-5-ii,CRAT-R10,RS-CRAT,(5)(ii),roman,notice of the application has been served on the authority which passed the order against which the application has been filed; and,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R10-5-iii,CRAT-R10,RS-CRAT,(5)(iii),roman,the Tribunal is satisfied that the interests of the respondents on whom notice of the application has not been served are adequately and sufficiently represented by the respondents on whom notice of the application has been served.,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R11-I,CRAT-R11,RS-CRAT,(I),upper,The respondent shall file six complete sets containing the reply to the application alongwith the documents in a paper-book form with the Registrar within one month of the date of service of the notice of the application on him.,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R11-2,CRAT-R11,RS-CRAT,(2),upper,"The respondent shall also serve a copy of the reply along with copies of documents as mentioned in sub rule (1) to the applicant or his advocate, if any, and file proof of such service with the Registrar. The Tribunal may, on application by the respondent, allow filing of the reply after the expiry of the period of one month.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R14-I,CRAT-R14,RS-CRAT,(I),upper,Tribunal shall draw up a calendar for the hearing of transferred cases and as far as possible hear and decide the cases according to the calendar.,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R14-2,CRAT-R14,RS-CRAT,(2),upper,"Every application shall be heard and decided, as far us possible, within six months of the date of its presentation.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R14-3,CRAT-R14,RS-CRAT,(3),upper,"For purposes of sub-rule (1) and (2), the Tribunal shall have the power to decline an adjournment and to limit the time for oral arguments.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R15-I,CRAT-R15,RS-CRAT,(I),upper,"Where on the date fixed for hearing of the application or on any other date to which such hearing may be adjourned, the applicant does not appear when the application is called on for hearing, the Tribunal may, in its discretion, either dismiss the application for default or hear and decide it on merit.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R15-2,CRAT-R15,RS-CRAT,(2),upper,"Where an application has been dismissed for default and the applicant appears afterwards and satisfies the Tribunal that there was sufficient cause for his non-appearance when the application was called on for hearing, the Tribunal shall make an order setting aside the order dismissing the application and restore the same.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R16-1,CRAT-R16,RS-CRAT,(1),num,"Where on the date fixed for hearing the application or on any other date to which hearing is adjourned, the applicant appears and the respondent does not appear when the application is called on for hearing, the Tribunal may, in its discretion, adjourn or hear and decide the application ex-parte.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R16-2,CRAT-R16,RS-CRAT,(2),num,"Where an application has been heard ex-parte against a respondent or respondents, such respondent or respondents may apply to the Tribunal for an order to set it aside and if such respondent or respondents satisfy the Tribunal that the notice was not duly served, or that he or they were prevented by any sufficient cause from appearing when the application was called on for hearing, the Tribunal may make an order setting aside the ex-parte hearing as against him or them upon such terms as it thinks fit, and shall appoint a day for proceeding with the application: Provided that where the ex-parte hearing of the application is of such nature that it cannot be set aside as against one respondent only, it may be set aside as against all or any of the other respondents also: Provided further that Tribunal shall not set aside ex-parte hearing of an application merely on the ground that there has been an irregularity in the service of notice, if it is satisfied that the respondent had notice of the date of hearing and had sufficient time to appear and answer the applicant's claim.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R23-1,CRAT-R23,RS-CRAT,(1),num,"A clerk employed by a legal practitioner and permitted as such to have access to the records and to obtain copies of the orders of the Tribunal in which the legal practitioner ordinarily practices shall be known as a ""registered clerk"".",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R23-2,CRAT-R23,RS-CRAT,(2),num,A legal practitioner desirous of registering his clerk shall make an application to the Registrar in Form 2.,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R23-3,CRAT-R23,RS-CRAT,(3),num,A legal practitioner shall have at a time not more than two registered clerks unless the Registrar by general or special order otherwise permits.,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R23-4,CRAT-R23,RS-CRAT,(4),num,"A register of all the registered clerks shall, be maintained in the office of the Registrar and after registration of the clerk, the Registrar sliall direct the issue of an identity card to him which shall be non transferable and shall be produced by the holder upon request by an officer or any other employee of the Tribunal.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R23-5,CRAT-R23,RS-CRAT,(5),num,The identity card mentioned in sub-rule (4) shall be issued under the signatures of the Registrar of the Tribunal.,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R23-6,CRAT-R23,RS-CRAT,(6),num,"whenever a legal practitioner ceases to employ a registered clerk, he shall notify the fact at once to the Registrar by means of a letter enclosing therewith the identity card issued to his clerk and on receipt of such letter the name of the said registered clerk shall be struck off from the register.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R26-1,CRAT-R26,RS-CRAT,(1),num,The Register shall have the custody of the records of the Tribunal and shall exercise such other functions as may be assigned to him under these rules or by the Presiding Officer.,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R26-2,CRAT-R26,RS-CRAT,(2),num,"The Registrar may, with the approval of the Presiding Officer, delegate to another officer of the Tribunal any functions required by these rules to be exercised by the Registrar.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R26-3,CRAT-R26,RS-CRAT,(3),num,"In the absence of the Registrar, officer of the Tribunal authorised in writing by the Presiding Officer in his behalf may perform or exercise ail or any of tlie functions and powers of the Registrar.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R26-4,CRAT-R26,RS-CRAT,(4),num,The Registrar shall keep in his custody the official seal of the Tribunal.,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R26-5,CRAT-R26,RS-CRAT,(5),num,"The Registrar shall, subject to any general or special direction by the Presiding Officer, affix the official seal of the Tribunal on any order, notice or other process.",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R26-6,CRAT-R26,RS-CRAT,(6),num,The Registrar shall have the power to authorise in writing the affixing of the seal of the Tribunal on a certified copy of any order of the Tribunal.,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R27-i,CRAT-R27,RS-CRAT,(i),roman,to receive all applications and other documents including transferred applications;,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R27-ii,CRAT-R27,RS-CRAT,(ii),roman,to decide all questions arising out of the scrutiny of the applications before they are registered;,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R27-iii,CRAT-R27,RS-CRAT,(iii),roman,to require any application presented to the Tribunal to be amended in accordance with the Act and the rules;,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R27-iv,CRAT-R27,RS-CRAT,(iv),roman,subject to the directions of the Tribunal (o fix dates of hearing of the applications or other proceedings and issue notices thereof ;,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R27-v,CRAT-R27,RS-CRAT,(v),roman,to direct any formal amendment of records;,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R27-vi,CRAT-R27,RS-CRAT,(vi),roman,to order grant of copies of documents to parties to the proceedings;,,,,,KB 2/India/Information Technology Act 2000.pdf
