provision_id,rule_id,ruleset_id,label,level,text,act_section_refs,rule_refs,schedule_refs,para_refs,source_document
CA-R8-1-b-i,CA-R8,RS-CA,(1)(b)(i),roman,paid up capital of not less than five crores of rupees; and,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-1-b-ii,CA-R8,RS-CA,(1)(b)(ii),roman,"net worth of not less than fifty crores of rupees: Provided that no company in which the equity share capital held in aggregate by the Non-resident Indians, Foreign Institutional Investors, or foreign companies, exceeds forty-nine per cent of its capital, shall be eligible for grant of licence: Provided further that in a case where the company has been registered under the Companies Act, 1956 (1 of 1956) during the preceding financial year or in the financial year during which it applies for grant of licence under the Act and whose main object is to act as Certifying Authority, the net worth referred to in sub-clause (ii) of this clause shall be the aggregate net worth of its majority shareholders holding at least 51% of paid equity capital, being the Hindu Undivided Family, firm or company: Provided also that the majority shareholders referred to in the second proviso shall not include Non-resident Indian, foreign national, Foreign Institutional Investor and foreign company: Provided also that the majority shareholders of a company referred to in the second proviso whose net worth has been determined on the basis of such majority shareholders, shall not sell or transfer its equity shares held in such company-",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-1-b-ii-i,CA-R8,RS-CA,(1)(b)(ii)(i),roman,unless such a company acquires or has its own net worth of not less than fifty crores of rupees;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-1-b-ii-ii,CA-R8,RS-CA,(1)(b)(ii)(ii),roman,without prior approval of the Controller;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-1-c,CA-R8,RS-CA,(1)(c),alpha,a firm having –,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-1-c-i,CA-R8,RS-CA,(1)(c)(i),roman,capital subscribed by all partners of not less than five crores of rupees; and,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-1-c-ii,CA-R8,RS-CA,(1)(c)(ii),roman,"net worth of not less than fifty crores of rupees: Provided that no firm, in which the capital held in aggregate by any Non-resident Indian, and foreign national, exceeds forty-nine per cent of its capital, shall be eligible for grant of licence: Provided further that in a case where the firm has been registered under the Indian Partnership Act, 1932 (9 of 1932) during the preceding financial year or in the financial year during which it applies for grant of licence under the Act and whose main object is to act as Certifying Authority, the net worth referred to in sub-clause (ii) of this clause shall be the aggregate net worth of all of its partners: Provided also that the partners referred to in the second proviso shall not include Non-resident Indian and foreign national: Provided also that the partners of a firm referred to in the second proviso whose net worth has been determined on the basis of such partners, shall not sell or transfer its capital held in such firm-",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-1-c-ii-i,CA-R8,RS-CA,(1)(c)(ii)(i),roman,unless such firm has acquired or has its own net worth of not less than fifty crores of rupees;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-1-c-ii-ii,CA-R8,RS-CA,(1)(c)(ii)(ii),roman,without prior approval of the Controller;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-1-d,CA-R8,RS-CA,(1)(d),alpha,"Central Government or a State Government or any of the Ministries or Departments, Agencies or Authorities of such Governments. Explanation.- For the purpose of this rule,-",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-1-d-i,CA-R8,RS-CA,(1)(d)(i),roman,"“company” shall have the meaning assigned to it in clause 17 of section 2 of the Income-tax Act,1961 (43 of 1961);",2,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-1-d-ii,CA-R8,RS-CA,(1)(d)(ii),roman,"“firm”, “partner” and “partnership” shall have the meanings respectively assigned to them in the Indian Partnership Act, 1932 (9 of 1932); but the expression “partner” shall also include any person who, being a minor has been admitted to the benefits of partnership;",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-1-d-iii,CA-R8,RS-CA,(1)(d)(iii),roman,"“foreign company” shall have the meaning assigned to it in clause (23A) of section 2 of the Income-tax Act,1961 (43 of 1961);",2,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-1-d-iv,CA-R8,RS-CA,(1)(d)(iv),roman,“net worth” shall have the meaning assigned to it in clause,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-1-d-ga,CA-R8,RS-CA,(1)(d)(ga),roman,"of sub-section (1) of section 3 of the Sick Industrial Companies (Special Provisions) Act, 1985 (1 of 1986);",3,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-1-d-v,CA-R8,RS-CA,(1)(d)(v),roman,"“Non-resident” shall have the meaning assigned to it as in clause 26 of section 2 of the Income-tax Act,1961 (43 of 1961).",2,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-2,CA-R8,RS-CA,(2),num,"The applicant being an individual, or a company, or a firm under sub-rule",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-2-1,CA-R8,RS-CA,(2)(1),num,", shall submit a performance bond or furnish a banker’s guarantee from a scheduled bank in favour of the Controller in such form and in such manner as may be approved by the Controller for an amount of not less than five crores of rupees and the performance bond or banker’s guarantee shall remain valid for a period of six years from the date of its submission: Provided that the company and firm referred to in the second proviso to clause (b) and the second proviso to clause (c) of sub-rule (1) shall submit a performance bond or furnish a banker’s guarantee for ten crores of rupees: Provided further that nothing in the first proviso shall apply to the company or firm after it has acquired or has its net worth of fifty crores of rupees.",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-3,CA-R8,RS-CA,(3),num,"Without prejudice to any penalty which may be imposed or prosecution may be initiated for any offence under the Act or any other law for the time being in force, the performance bond or banker’s guarantee may be invoked –",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-3-a,CA-R8,RS-CA,(3)(a),alpha,when the Controller has suspended the licence under sub-section (2) of section 25 of the Act; or,25,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-3-b,CA-R8,RS-CA,(3)(b),alpha,for payment of an offer of compensation made by the Controller; or,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-3-c,CA-R8,RS-CA,(3)(c),alpha,"for payment of liabilities and rectification costs attributed to the negligence of the Certifying Authority, its officers or employees; or",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-3-d,CA-R8,RS-CA,(3)(d),alpha,"for payment of the costs incurred in the discontinuation or transfer of operations of the licensed Certifying Authority, if the Certifying Authority's licence or operations is discontinued; or",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R8-3-e,CA-R8,RS-CA,(3)(e),alpha,"any other default made by the Certifying Authority in complying with the provisions of the Act or rules made thereunder. Explanation.- “transfer of operation” shall have the meaning assigned to it in clause (47) of section 2 of the Income-tax Act, 1961 (43 of 1961).",2,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R10-i,CA-R10,RS-CA,(i),roman,in the form given at Schedule-I; and,,,I,,KB 2/India/Information Technology Act 2000.pdf
CA-R10-ii,CA-R10,RS-CA,(ii),roman,"in such manner as the Controller may, from time to time, determine, supported by such documents and information as the Controller may require and it shall inter alia include-",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R10-ii-a,CA-R10,RS-CA,(ii)(a),alpha,a Certification Practice Statement (CPS);,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R10-ii-b,CA-R10,RS-CA,(ii)(b),alpha,a statement including the procedures with respect to identification of the applicant;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R10-ii-c,CA-R10,RS-CA,(ii)(c),alpha,"a statement for the purpose and scope of anticipated Digital Signature Certificate technology, management, or operations to be outsourced;",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R10-ii-d,CA-R10,RS-CA,(ii)(d),alpha,certified copies of the business registration documents of Certifying Authority that intends to be licensed;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R10-ii-e,CA-R10,RS-CA,(ii)(e),alpha,"a description of any event, particularly current or past insolvency, that could materially affect the applicant's ability to act as a Certifying Authority;",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R10-ii-f,CA-R10,RS-CA,(ii)(f),alpha,an undertaking by the applicant that to its best knowledge and belief it can and will comply with the requirements of its Certification Practice Statement;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R10-ii-g,CA-R10,RS-CA,(ii)(g),alpha,"an undertaking that the Certifying Authority’s operation would not commence until its operation and facilities associated with the functions of generation, issue and management of Digital Signature Certificate are audited by the auditors and approved by the Controller in accordance with rule 20;",,20,,,KB 2/India/Information Technology Act 2000.pdf
CA-R10-ii-h,CA-R10,RS-CA,(ii)(h),alpha,an undertaking to submit a performance bond or banker’s guarantee in accordance with sub-rule (2) of rule 8 within one month of Controller indicating his approval for the grant of licence to operate as a Certifying Authority;,,8,,,KB 2/India/Information Technology Act 2000.pdf
CA-R10-ii-i,CA-R10,RS-CA,(ii)(i),alpha,any other information required by the Controller.,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R11-1,CA-R11,RS-CA,(1),num,The application for the grant of a licence shall be accompanied by a non-refundable fee of twenty-five thousand rupees payable by a bank draft or by a pay order drawn in the name of the Controller.,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R11-2,CA-R11,RS-CA,(2),num,The application submitted to the Controller for renewal of Certifying Authority’s licence shall be accompanied by a non-refundable fee of five thousand rupees payable by a bank draft or by a pay order drawn in the name of the Controller.,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R11-3,CA-R11,RS-CA,(3),num,Fee or any part thereof shall not be refunded if the licence is suspended or revoked during its validity period.,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R12-1,CA-R12,RS-CA,(1),num,"The licensed Certifying Authority shall have arrangement for cross certification with other licensed Certifying Authorities within India which shall be submitted to the Controller before the commencement of their operations as per rule 20: Provided that any dispute arising as a result of any such arrangement between the Certifying Authorities; or between Certifying Authorities or Certifying Authority and the Subscriber, shall be referred to the Controller for arbitration or resolution.",,20,,,KB 2/India/Information Technology Act 2000.pdf
CA-R12-2,CA-R12,RS-CA,(2),num,"The arrangement for Cross Certification by the licensed Certifying Authority with a Foreign Certifying Authority along with the application, shall be submitted to the Controller in such form and in such manner as may be provided in the regulations made by the Controller; and the licensed Certifying Authority shall not commence cross certification operations unless it has obtained the written or digital signature approval from the Controller.",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R13-1,CA-R13,RS-CA,(1),num,A licence shall be valid for a period of five years from the date of its issue.,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R13-2,CA-R13,RS-CA,(2),num,The licence shall not be transferable.,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R14-1,CA-R14,RS-CA,(1),num,The Controller may by order suspend the licence in accordance with the provisions contained in sub-section (2) of section 25 of the Act.,25,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R14-2,CA-R14,RS-CA,(2),num,The licence granted to the persons referred to in clauses (a) to (c) of sub-rule (1) of rule 8 shall stand suspended when the performance bond submitted or the banker’s guarantee furnished by such persons is invoked under sub-rule (2) of that rule.,,8,,,KB 2/India/Information Technology Act 2000.pdf
CA-R15-1,CA-R15,RS-CA,(1),num,"The provisions of rule 8 to rule 13, shall apply in the case of an application for renewal of a licence as it applies to a fresh application for licensed Certifying Authority.",,8;13,,,KB 2/India/Information Technology Act 2000.pdf
CA-R15-2,CA-R15,RS-CA,(2),num,A Certifying Authority shall submit an application for the renewal of its licence not less than forty-five days before the date of expiry of the period of validity of licence.,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R15-3,CA-R15,RS-CA,(3),num,The application for renewal of licence may be submitted in the form of electronic record subject to such requirements as the Controller may deem fit.,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R16-1,CA-R16,RS-CA,(1),num,"The Controller may, within four weeks from the date of receipt of the application, after considering the documents accompanying the application and such other factors, as he may deem fit, grant or renew the licence or reject the application: Provided that in exceptional circumstances and for reasons to be recorded in writing, the period of four weeks may be extended to such period, not exceeding eight weeks in all as the Controller may deem fit.",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R16-2,CA-R16,RS-CA,(2),num,"If the application for licensed Certifying Authority is approved, the applicant shall -",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R16-2-a,CA-R16,RS-CA,(2)(a),alpha,submit a performance bond or furnish a banker’s guarantee within one month from the date of such approval to the Controller in accordance with sub-rule (2) of rule 8; and,,8,,,KB 2/India/Information Technology Act 2000.pdf
CA-R16-2-b,CA-R16,RS-CA,(2)(b),alpha,execute an agreement with the Controller binding himself to comply with the terms and conditions of the licence and the provisions of the Act and the rules made thereunder.,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R17-i,CA-R17,RS-CA,(i),roman,"the applicant has not provided the Controller with such information relating to its business, and to any circumstances likely to affect its method of conducting business, as the Controller may require; or",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R17-ii,CA-R17,RS-CA,(ii),roman,the applicant is in the course of being wound up or liquidated; or,,,,,KB 2/India/Information Technology Act 2000.pdf
